year,voulait_VERB acheter_VERB,voulait_VERB racheter_VERB
1800,4.7162465932615305e-08,9.432493897065797e-09
1801,5.714838380299625e-08,9.524730337773235e-09
1802,3.1329761895904085e-08,0.0
1803,2.3404069793286908e-08,7.801356893821776e-09
1804,1.4831105232815389e-08,2.4718509461507665e-09
1805,6.254330742194725e-08,0.0
1806,2.881669125542885e-08,0.0
1807,5.693910054560547e-08,0.0
1808,3.172503681980743e-08,0.0
1809,5.873479480555943e-08,4.518061036407062e-09
1810,5.616304221689461e-08,1.4040760554223652e-08
1811,2.5070768572277302e-08,7.521229861140455e-09
1812,7.468182872116813e-08,2.6672082320544632e-09
1813,4.601186631703058e-08,0.0
1814,3.1466772298927026e-08,0.0
1815,3.506390555685357e-08,2.697223555614414e-09
1816,4.4034472068688046e-08,2.3176038865813098e-09
1817,7.628679554727569e-08,4.670620334934483e-09
1818,2.5034472272977837e-08,0.0
1819,8.073818946741085e-08,7.24573512300708e-09
1820,5.6959109429044474e-08,5.933240565525466e-09
1821,8.480879643002481e-08,3.94459531705138e-09
1822,1.0226128210888419e-07,1.9048670196752937e-08
1823,6.028439258898288e-08,3.9530747564242574e-09
1824,4.463189640091514e-08,5.894778887238772e-09
1825,6.516027895031584e-08,4.4027217427355936e-09
1826,6.958307352533666e-08,1.4973572604048968e-08
1827,8.479891278057039e-08,1.1982455028203276e-08
1828,9.355747465633613e-08,9.172301140836225e-09
1829,7.887322084343396e-08,1.800366966620004e-08
1830,6.575206867864836e-08,8.349468672008697e-09
1831,9.978371906527173e-08,1.870944643656003e-08
1832,6.494385473843067e-08,5.682587200794842e-08
1833,7.992703388026712e-08,1.1583628500844156e-09
1834,5.3206825612051034e-08,9.334530925997342e-10
1835,1.096647750387092e-07,2.647080776796429e-08
1836,6.58633538819231e-08,9.409050427677812e-09
1837,6.122944284925325e-08,3.1310509740478665e-08
1838,7.511472688292997e-08,1.4517972601879592e-08
1839,6.082583325905944e-08,1.677954131196202e-08
1840,9.23604872582473e-08,3.184844388215424e-08
1841,7.57624718517036e-08,2.43980835534785e-08
1842,6.238686722781495e-08,1.2745703159566801e-08
1843,8.624090241937665e-08,2.008349753168659e-08
1844,7.409557412074719e-08,1.4819115712327857e-08
1845,8.370341930685754e-08,2.4553003186156275e-08
1846,8.54757189472366e-08,3.7468808500307205e-08
1847,9.16848037491036e-08,1.1865092020002521e-08
1848,1.0539240236084879e-07,2.091757700384278e-08
1849,8.630797054820505e-08,1.9272654583346593e-08
1850,7.264225843073291e-08,2.1045888587423178e-08
1851,5.224045551699419e-08,2.7087642351375507e-08
1852,8.984552835045179e-08,4.427170807730363e-08
1853,6.748282999069488e-08,1.3735443005202796e-08
1854,7.793496337171746e-08,1.3508727469968562e-08
1855,1.1675261646360013e-07,1.1675261646360013e-08
1856,8.645906035553708e-08,1.5531567143511893e-08
1857,8.200935042168567e-08,1.0251168802710708e-08
1858,7.976692018019094e-08,2.202154192332273e-08
1859,5.906921174414492e-08,1.4258085379026397e-08
1860,1.0939469774484678e-07,6.865775947773045e-09
1861,9.573406600793533e-08,3.0182167876091626e-08
