year,pourront_VERB assembler_VERB,pourront_VERB rassembler_VERB
1800,3.144164484325529e-09,2.5153315874604232e-08
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,1.1371510844071508e-08,0.0
1806,0.0,0.0
1807,1.4234775136401367e-08,0.0
1808,0.0,0.0
1809,1.129515236897305e-08,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,1.5733386149463513e-08,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,0.0,0.0
1818,7.152706427149269e-09,0.0
1819,1.3456364911235141e-08,0.0
1820,3.085285271708926e-08,0.0
1821,8.875339574387908e-09,1.97229765852569e-09
1822,1.0025615893027862e-08,1.0025615893027862e-09
1823,1.9765373782121287e-09,0.0
1824,4.210556348027694e-09,7.57900142644985e-09
1825,7.924898959288385e-09,8.805443041381977e-10
1826,4.403992281964975e-09,8.807984341885344e-10
1827,2.1199728195142598e-08,7.373818444733615e-09
1828,3.210305266065916e-08,3.668920500743411e-09
1829,1.2859763920403111e-08,6.858540846366168e-09
1830,0.0,2.0873671680021744e-09
1831,4.677361609140007e-09,0.0
1832,0.0,8.117981842303834e-09
1833,1.1583628500844156e-09,0.0
1834,9.334531370086552e-09,4.667265685043276e-09
1835,1.8151411040889798e-08,7.563087933704082e-09
1836,1.3441500135158435e-09,0.0
1837,1.1132625488130543e-08,2.0873671680021744e-09
1838,1.3886756633496589e-08,8.837027110075724e-09
1839,1.1885507689157748e-08,5.5931801412612e-09
1840,1.592422194107712e-08,3.1848443882154243e-09
1841,7.0626033910059505e-09,4.494383976094696e-09
1842,8.049918065466954e-09,0.0
1843,5.906911071384968e-10,0.0
1844,1.6465684371524958e-09,7.683985892015244e-09
1845,1.1160455670733427e-08,0.0
1846,7.025401593807601e-09,7.025401593807601e-09
1847,7.550513103637968e-09,3.775256551818984e-09
1848,1.448139919091318e-08,0.0
1849,1.4245005175439474e-08,0.0
1850,1.3577992064028876e-09,0.0
1851,1.2898877521649865e-09,3.8696632564949596e-09
1852,6.510545436100301e-10,0.0
1853,1.4929829816878737e-08,5.3747388761848924e-09
1854,5.195664343204953e-09,4.676098175337984e-09
1855,2.4942604426314574e-08,0.0
1856,8.801221973442352e-09,5.177189232874468e-10
1857,6.8341128311999455e-09,1.4644527812635033e-09
1858,9.297984604472731e-09,9.787352039936081e-10
1859,4.582956236731661e-09,1.018434669930457e-09
1860,6.408057640072684e-09,7.781213007262977e-09
1861,4.715963730639317e-10,6.13075279431996e-09
1862,0.0,3.6143890103090826e-09
1863,1.0988165932701577e-08,9.989241656072068e-10
1864,6.233146443435089e-09,1.9178911792039344e-09
1865,4.706844247692743e-09,1.1296426905005319e-08
1866,2.919367858567057e-09,0.0
1867,9.7056229719783e-09,0.0
1868,1.1361710683388537e-08,1.4819622196071691e-09
1869,6.348574999037737e-09,2.441759683335931e-09
1870,3.4404292748035914e-09,0.0
1871,2.0180236148803488e-08,4.248470908407853e-09
1872,3.265563108811875e-08,0.0
1873,1.7958012854535355e-09,0.0
1874,1.8521287614703397e-08,5.974609140757536e-10
1875,3.432916173551348e-09,5.721527140956084e-10
1876,1.0278225381910033e-08,3.627608879952504e-09
1877,1.7317484335421796e-08,8.658742167710898e-09
1878,1.2078177347163432e-09,6.039088673581716e-10
1879,6.109325489944695e-09,6.10932526790009e-10
1880,3.2089231272180996e-09,2.5671385017744797e-09
1881,8.367009307619355e-09,2.091752326904839e-09
1882,6.655385131892899e-10,9.983077475794744e-09
1883,4.423537092179686e-09,0.0
1884,1.0562715146988921e-08,0.0
1885,3.2228177904158883e-09,2.5782542767416317e-09
1886,9.680196200179125e-09,1.936039106809062e-09
1887,0.0,1.3057849246322917e-09
1888,1.9021844099853524e-09,5.07249175996094e-09
1889,1.3156786771162388e-08,4.385595886446936e-09
1890,3.9326319978272295e-09,1.9663159989136147e-09
1891,4.461953917456185e-09,6.374220040683554e-10
1892,8.149066310636499e-09,6.268512375839919e-10
1893,6.158416554491453e-10,1.2316833108982905e-09
1894,7.561847148451761e-09,6.301539290376468e-10
1895,1.2037228991346183e-08,0.0
1896,6.486732040400511e-09,5.89702897624278e-10
1897,4.661370844871726e-09,1.1653427112179315e-09
1898,5.6583548957434e-10,1.6975064687230201e-09
1899,0.0,9.949641111006713e-09
1900,3.114631885736685e-09,6.22926377147337e-09
1901,1.676621730339889e-09,0.0
1902,7.365425602756659e-09,2.455141867585553e-09
1903,7.560307935250421e-09,3.2401321625741275e-09
1904,3.2247751136083025e-09,1.0749250378694342e-09
1905,1.0321518084666081e-09,1.0321518084666081e-09
1906,6.173021205313489e-09,4.629765903985117e-09
1907,6.685696440911215e-09,6.1714118260169926e-09
1908,2.4556945366072114e-09,9.822778146428846e-10
1909,1.1001967115120692e-09,1.6502950117569526e-09
1910,1.068830179917768e-08,5.344150677544235e-10
1911,6.384448969498635e-09,1.0640748282497725e-09
1912,0.0,1.0418842455450772e-09
1913,5.30298971401777e-10,2.6514948014977335e-09
1914,7.366418142140674e-09,3.3483718020477227e-09
1915,0.0,1.1780761921542648e-09
1916,1.0987462051303964e-09,3.2962386153911893e-09
1917,4.386569774084137e-09,3.289927441585405e-09
1918,4.594550517822427e-09,2.2972752589112133e-09
1919,0.0,0.0
1920,0.0,2.2716695191604686e-09
1921,1.5145494858259667e-09,7.572747429129834e-10
1922,1.4755870969551665e-09,2.2133805899215986e-09
1923,0.0,3.1847844361720945e-09
1924,0.0,1.289162443462999e-09
1925,2.1996355847875293e-09,2.1996355847875293e-09
1926,1.1146138456652466e-09,1.1146138456652466e-09
1927,3.3447675740205796e-09,5.574612327308159e-09
1928,0.0,2.2852082448565625e-09
1929,1.1140406375176326e-09,0.0
1930,0.0,0.0
1931,3.4216069977333063e-09,1.1405356659111021e-09
1932,0.0,1.0959536611565568e-09
1933,1.1470662197865522e-09,2.2941324395731044e-09
1934,2.3963160344919743e-09,1.1981580172459871e-09
