year,devront_VERB aller_VERB
1800,0.0
1801,4.7623651688866175e-09
1802,1.1189200677108602e-08
1803,0.0
1804,1.2359254952798437e-08
1805,5.685755422035754e-09
1806,0.0
1807,1.1387820464392462e-08
1808,4.5321479902327155e-09
1809,0.0
1810,0.0
1811,2.757784400841956e-08
1812,2.6672082320544632e-09
1813,3.4508900625951355e-08
1814,3.1466771410748606e-09
1815,0.0
1816,2.0858434979231788e-08
1817,4.3592454090912724e-08
1818,7.152706427149269e-09
1819,1.7596784473994376e-08
1820,1.0679833017945839e-08
1821,2.9584463767662328e-09
1822,8.02049271442229e-09
1823,5.929612356680991e-09
1824,1.0947446504872005e-08
1825,6.075755720758025e-08
1826,2.2019960965735663e-08
1827,9.217273166939322e-09
1828,1.1923991571904935e-08
1829,2.0575622983187714e-08
1830,3.444155893816969e-08
1831,4.053713453799901e-08
1832,3.5177919244233635e-08
1833,6.718504863556518e-08
1834,2.8003592333902816e-08
1835,1.0588323107185715e-08
1836,2.2850549896702432e-08
1837,2.852735292435682e-08
1838,2.3354999711955315e-08
1839,3.076248944466897e-08
1840,2.4204817705708592e-08
1841,2.632424944692957e-08
1842,2.817471411731276e-08
1843,4.666459574309556e-08
1844,2.360081374774836e-08
1845,5.0780073479472776e-08
1846,3.6297908678761814e-08
1847,2.534815024546333e-08
1848,4.666228647920434e-08
1849,2.4300303991253713e-08
1850,4.480737203493845e-08
1851,1.805842941848823e-08
1852,9.114764054629632e-09
1853,2.9859659633757474e-08
1854,1.8184826089395756e-08
1855,2.4942604426314574e-08
1856,1.9155599773057475e-08
1857,3.417056504417815e-08
1858,1.1255455234504552e-08
1859,2.6988518087023294e-08
1860,3.61597543019343e-08
1861,2.782418562219391e-08
1862,3.207770404856092e-08
1863,4.2454278315062766e-08
1864,3.8837296045812764e-08
1865,1.3649848362717876e-08
1866,2.5301186923343266e-08
1867,3.396968040192405e-08
1868,3.013323279787983e-08
1869,2.9789466893248573e-08
1870,2.2936195165357276e-08
1871,6.585129597169725e-08
1872,4.8378716144270584e-08
1873,2.573981916498269e-08
1874,2.5093358502203955e-08
1875,4.3483606049221635e-08
1876,1.6324239737741664e-08
1877,3.277952487223956e-08
1878,3.38188961279684e-08
1879,2.5659165459046562e-08
1880,1.6686399817444908e-08
1881,1.1853263259808955e-08
1882,2.3959387362992857e-08
1883,3.222862687835004e-08
1884,3.3668655419205606e-08
1885,2.707166935067562e-08
1886,4.130216879616455e-08
1887,2.8727267675776602e-08
1888,3.6775563927449184e-08
1889,2.255449160770695e-08
1890,3.6704562944578356e-08
1891,2.5496881050912634e-08
1892,5.8924015888806025e-08
1893,2.278614097406262e-08
1894,5.356308463433379e-08
1895,3.8519132772307785e-08
1896,3.3023361822870356e-08
1897,2.7968225069230357e-08
1898,4.3003495875382214e-08
1899,5.140648084989152e-08
1900,5.813979697677496e-08
1901,3.129693837422565e-08
1902,2.9461702411026636e-08
1903,6.696273402440056e-08
1904,3.547252447333449e-08
1905,3.973784501454247e-08
1906,4.629766081620801e-08
1907,3.7028470956101955e-08
1908,3.192402786567072e-08
1909,2.9155213354670195e-08
1910,3.473697773870299e-08
1911,5.7992078694724114e-08
1912,4.323819524643113e-08
1913,3.446943352969356e-08
1914,2.9465672568562695e-08
1915,3.652036184575991e-08
1916,3.735737053034427e-08
1917,5.3735480065597585e-08
1918,4.824278221349232e-08
1919,4.1435317399418636e-08
1920,4.164727585020955e-08
1921,2.6504615391331754e-08
1922,3.9840852394945614e-08
1923,4.140219900250486e-08
1924,1.933743654092268e-08
1925,4.3992713472107425e-08
1926,2.8979959765251806e-08
1927,1.6723836537835268e-08
1928,3.5420729460611255e-08
1929,2.8965056131369238e-08
1930,2.4158287814657342e-08
1931,2.8513390759599133e-08
1932,4.164623845781534e-08
1933,1.3764794637438627e-08
1934,5.152079296522061e-08
1935,2.5133395809007197e-08
1936,3.6374142808881516e-08
1937,3.399602022113868e-08
1938,3.5006078036303734e-08
1939,2.141167065872196e-08
1940,3.0429394115571995e-08
1941,2.6563522936839945e-08
1942,2.730790527039062e-08
1943,4.645176332473966e-08
1944,1.6065930807940276e-08
1945,3.267756198965799e-08
1946,2.3665876369705074e-08
1947,2.3841742802233057e-08
1948,2.717971980814582e-08
1949,2.1597418964347526e-08
1950,2.7651939404904624e-08
1951,2.7719645245838365e-08
1952,3.1634410646574906e-08
1953,3.663101466599983e-08
1954,2.443134050622575e-08
1955,2.7218263198847126e-08
1956,3.488456457034772e-08
1957,1.6786572132332367e-08
1958,2.1507833736222892e-08
1959,3.1778064624177205e-08
1960,4.221708493901133e-08
1961,3.196153386397782e-08
1962,3.297817485758969e-08
1963,2.8450633848819962e-08
1964,2.1293889318485526e-08
1965,3.6115487489496445e-08
1966,2.99110034518435e-08
1967,3.1554147739143446e-08
1968,3.6829611360644776e-08
1969,2.997560244466513e-08
1970,3.678979965116014e-08
1971,5.1897814046242274e-08
1972,2.7189777540570503e-08
1973,4.134902908958793e-08
1974,3.3753430273009144e-08
1975,3.3126585918807905e-08
1976,2.1140049710766107e-08
1977,2.52701610747863e-08
1978,3.029701645118621e-08
1979,3.160065631391262e-08
1980,3.240536017301565e-08
1981,3.6055631369436014e-08
1982,3.5382761609525915e-08
1983,2.462973291983417e-08
