year,tout_DET est_NOUN,tout_DET reste_NOUN
1800,1.6978488570629224e-07,1.1633408547595536e-07
1801,1.9763816005990975e-07,8.810375362600098e-08
1802,1.656001700212073e-07,7.832440473976021e-08
1803,2.4964341704958315e-07,6.63115335974851e-08
1804,2.1752287970855377e-07,4.943701981119375e-08
1805,1.535154026122143e-07,3.1271653710973624e-08
1806,1.7578180955268863e-07,1.181484350354367e-07
1807,1.4804166736936963e-07,7.971474502710407e-08
1808,1.9488235869502546e-07,6.345007053099039e-08
1809,1.6942728708890797e-07,2.4849335922283444e-08
1810,1.7550950826006328e-07,5.8503168531842675e-08
1811,1.7298828991485493e-07,3.259199843341776e-08
1812,1.1468995353425271e-07,6.934741048070237e-08
1813,1.1790540810352468e-07,5.7514834228555856e-08
1814,1.573338606064567e-07,5.034683425719777e-08
1815,1.5104452599778995e-07,1.8880565111345504e-08
1816,1.7845550281947453e-07,4.6352077731626196e-08
1817,2.3975850904633944e-07,6.22749372070075e-08
1818,1.9193095424085982e-07,1.5020682964106413e-07
1819,1.7907316696152975e-07,1.2938812510299158e-07
1820,1.803705185210447e-07,1.0917162818202542e-07
1821,2.080774066381963e-07,8.678109963966563e-08
1822,2.7069162911175226e-07,7.017931125119503e-08
1823,1.8184144268129643e-07,5.237824041159911e-08
1824,2.0210671003439984e-07,7.747423858006641e-08
1825,1.532147047011989e-07,8.365170600654892e-08
1826,1.5766292327246134e-07,8.455664612938563e-08
1827,1.6130227153965393e-07,7.005127677928158e-08
1828,2.494865934399293e-07,7.246118127746115e-08
1829,1.6974888789045295e-07,9.944884543644505e-08
1830,2.3795985648611406e-07,6.992680035011745e-08
1831,2.822008351444083e-07,9.666547695630356e-08
1832,1.9889055113964105e-07,9.876877404835227e-08
1833,2.9190743866536195e-07,1.10044471313131e-07
1834,2.1282730222615953e-07,1.250827148524536e-07
1835,2.1327907973045512e-07,7.109302657681837e-08
1836,2.00950428630442e-07,6.92237258625994e-08
1837,1.642062215090334e-07,8.071153145827736e-08
1838,1.8747121433015934e-07,6.817134590164642e-08
1839,1.5660905028358485e-07,8.040196330938443e-08
1840,2.420481717280154e-07,8.471686213651353e-08
1841,2.433387904510198e-07,6.613164904578639e-08
1842,2.3680174976448143e-07,7.848670335874885e-08
1843,2.994803821043668e-07,8.446883059676225e-08
1844,2.255798698946876e-07,5.927646240522222e-08
1845,2.0814249968026388e-07,6.919482853362524e-08
1846,1.9612578761041277e-07,1.3231173223715587e-07
1847,1.9954928109910952e-07,7.496581133636937e-08
1848,1.8986722810643286e-07,6.355725390427835e-08
1849,1.474776984977666e-07,4.273501730267526e-08
1850,2.2335796501238292e-07,8.214685109919628e-08
1851,2.2573035773909567e-07,4.2566295377355345e-08
1852,2.819066251547042e-07,6.901178384310924e-08
1853,2.4962674904926985e-07,1.0212003198617481e-07
1854,2.8368327964489737e-07,7.845453664501179e-08
1855,2.52079509266423e-07,7.270503843415099e-08
1856,2.2831403917455972e-07,5.384276846598368e-08
1857,1.7329356838402532e-07,8.152120489768322e-08
1858,2.5838609341022334e-07,1.2234190083226792e-07
1859,2.7395892732151594e-07,1.0744485834379702e-07
1860,2.6730754232318077e-07,1.0161348118487012e-07
1861,2.2872423566244748e-07,1.2733101684148096e-07
1862,1.7665326149107763e-07,4.743885684277416e-08
1863,2.4523588804115093e-07,8.19117792483226e-08
1864,2.5076426801717844e-07,1.0548401396803797e-07
1865,2.381663309347637e-07,9.50782554909324e-08
1866,2.106810375046564e-07,7.249763100958262e-08
1867,1.8974493620760313e-07,7.570385918143074e-08
1868,1.5264211083998447e-07,9.435159142867633e-08
1869,2.3196716092410696e-07,1.0401896055611815e-07
1870,2.0126510946738563e-07,7.339582408505407e-08
1871,1.4763436118059303e-07,9.028000391708701e-08
1872,1.7355863779489056e-07,1.1973731472991744e-07
1873,1.747913245253585e-07,7.602225737812773e-08
1874,1.4279316085108462e-07,9.081405916155916e-08
1875,1.853774801996444e-07,7.03747842223379e-08
1876,2.073783065270618e-07,9.673623413419818e-08
1877,1.781227026986798e-07,4.886004489890183e-08
1878,2.0110165838138627e-07,8.877460411227389e-08
1879,1.4356914590507586e-07,6.536978069959787e-08
1880,1.4183440000259395e-07,9.113341725708324e-08
1881,1.6455118206915031e-07,1.1992712867225919e-07
1882,1.397630882138401e-07,7.919908417974852e-08
1883,1.2891451151020306e-07,7.456820094731142e-08
1884,1.5580005108262185e-07,8.648222937779337e-08
1885,1.2117795239463547e-07,6.703460941892558e-08
1886,1.1616235012779086e-07,6.066255986425517e-08
1887,1.469008013010864e-07,1.0642146897055227e-07
1888,1.3061665993241434e-07,7.291707149192916e-08
1889,1.334474115100015e-07,1.0588080900930663e-07
1890,1.0683649637188708e-07,7.406456381531257e-08
1891,1.4278253079869074e-07,6.374219951865712e-08
