year,veulent_VERB approcher_VERB,veulent_VERB rapprocher_VERB
1800,0.0,1.2576657937302116e-08
1801,1.1905912700171939e-08,4.7623651688866175e-09
1802,1.7902721083373763e-08,1.1189200677108602e-08
1803,1.950339267864365e-08,0.0
1804,1.730295728918918e-08,1.730295728918918e-08
1805,2.842877711017877e-09,2.2743021688143017e-08
1806,8.645007376628655e-09,8.645007376628655e-09
1807,0.0,1.1387820464392462e-08
1808,3.3991110370834576e-08,2.2660739951163578e-09
1809,2.0331274441787173e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,0.0,1.3486118000116676e-08
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,2.2772310259711048e-08,4.140420006848444e-09
1820,0.0,1.1866481131050932e-09
1821,1.2819934447350079e-08,0.0
1822,5.3135764233047666e-08,2.0051231786055723e-08
1823,1.581229902569703e-08,0.0
1824,1.3473780313688621e-08,0.0
1825,2.641632912414593e-09,0.0
1826,1.5854372037438225e-08,6.1655889282974385e-09
1827,4.608636583469661e-09,0.0
1828,1.8344602503717056e-09,1.8344602503717056e-09
1829,1.714635211591542e-09,0.0
1830,8.349468672008697e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,1.6235963684607668e-08,4.058990921151917e-09
1833,1.1583628500844156e-09,0.0
1834,1.120143711119681e-08,0.0
1835,0.0,0.0
1836,1.6129799718100912e-08,0.0
1837,2.0873671680021744e-09,1.0436836284100082e-08
1838,1.2624323808552163e-08,5.049729523420865e-09
1839,2.0974426639952526e-09,2.0974426639952526e-09
1840,4.458782232319436e-09,3.821813088222825e-09
1841,1.0914932957462042e-08,1.2841097074556274e-09
1842,6.708265054555795e-10,0.0
1843,2.3627644285539873e-09,5.906911071384968e-10
1844,7.1351298203126134e-09,1.6465684371524958e-09
1845,8.37034175305007e-09,5.580227946389016e-10
1846,5.269050973311096e-09,0.0
1847,0.0,1.0786447290911383e-09
1848,2.091757700384278e-08,0.0
1849,1.6758829879393033e-09,0.0
1850,8.146795238417326e-09,5.431196825611551e-09
1851,1.9348316282474798e-09,2.579775504329973e-09
1852,1.9531636308300904e-09,2.278690836021724e-08
1853,1.1943863675867306e-09,2.388772735173461e-09
1854,1.506742641765868e-08,4.676098175337984e-09
1855,0.0,7.429711956774554e-09
1856,5.177189343896771e-09,4.141751386299575e-09
1857,1.1715622250108026e-08,4.881508974818871e-09
1858,5.872411001917044e-09,5.3830437884982985e-09
1859,7.638259802433822e-09,5.092173349652285e-10
1860,1.0069804545764782e-08,0.0
1861,2.8295783494058924e-09,1.226150558863992e-08
1862,2.2589932147099034e-09,4.517986262886353e-10
1863,6.493007020935693e-09,2.9967726078439227e-09
1864,4.315255264231155e-09,8.151037178549814e-09
1865,1.3179164426446732e-08,0.0
1866,6.811858188626729e-09,4.379051787850585e-09
1867,6.79393608038481e-09,6.308654931785895e-09
1868,0.0,1.975949714960734e-08
1869,3.906815315701806e-09,3.906815315701806e-09
1870,4.013834153937523e-09,1.1468097582678638e-09
1871,0.0,0.0
1872,0.0,6.047339295989218e-10
1873,5.986004469882289e-10,4.190203295451056e-09
1874,2.9873046258899194e-09,5.974609140757536e-10
1875,4.005069165202713e-09,5.721527140956084e-10
1876,2.418405919968336e-09,7.859819461941697e-09
1877,4.9478527941460015e-09,1.2369631985365004e-09
1878,6.039088673581716e-10,1.2078177347163432e-09
1879,1.221865053580018e-09,1.221865053580018e-09
1880,3.2089231272180996e-09,5.776061406947974e-09
1881,5.5780060570498335e-09,0.0
1882,1.0648616211028639e-08,0.0
1883,6.319338829996468e-09,2.5277355764075082e-09
1884,7.922036360241691e-09,8.582206056928499e-09
1885,2.5782542767416317e-09,1.2891271383708158e-09
1886,1.2906927748801422e-09,0.0
1887,8.48760173255414e-09,3.264462256069578e-09
