year,voulait_VERB éveiller_VERB,voulait_VERB réveiller_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,1.4287095950749062e-08
1802,0.0,0.0
1803,0.0,1.5602713787643552e-08
1804,0.0,4.943701892301533e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,4.518061036407062e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,6.293354282149721e-09
1815,0.0,0.0
1816,0.0,4.6352077731626196e-09
1817,0.0,1.401186100480345e-08
1818,0.0,1.1921176934492905e-08
1819,1.035105001712111e-09,1.449147024601416e-08
1820,9.493184904840746e-09,1.542642635854463e-08
1821,0.0,8.875339574387908e-09
1822,0.0,1.5038423839541792e-08
1823,0.0,1.087095569118901e-08
1824,8.421112696055388e-10,1.9368560089105813e-08
1825,0.0,2.641632912414593e-09
1826,0.0,1.9377566218281572e-08
1827,0.0,1.7512819638909605e-08
1828,0.0,1.834460228167245e-08
1829,0.0,1.971830521085849e-08
1830,9.39315203396518e-09,1.2524203008013046e-08
1831,0.0,7.795603274018958e-09
1832,0.0,4.058990921151917e-09
1833,8.108539617524002e-09,2.89590715851773e-08
1834,0.0,1.8669062740173104e-08
1835,3.781543966852041e-09,1.5126175867408165e-09
1836,0.0,2.083432448785061e-08
1837,3.478945576063097e-09,1.530736071231331e-08
1838,0.0,1.8936486156917454e-08
1839,0.0,2.586845759822154e-08
1840,6.369688665408546e-10,5.86011346115356e-08
1841,6.420548537278137e-10,1.6051371787284552e-08
1842,0.0,2.1466448174578545e-08
1843,7.678984559333912e-09,1.8902115428431898e-08
1844,0.0,2.030767731753258e-08
1845,3.348136878855712e-09,1.2834524554250493e-08
1846,5.854501328173001e-10,2.5759806732139623e-08
1847,1.6179670936367074e-09,7.550513103637968e-09
1848,8.045221711050488e-10,6.43617736884039e-09
1849,0.0,5.865590679832167e-09
1850,0.0,2.7155984128057753e-09
1851,0.0,2.579775504329973e-09
1852,1.3021090872200602e-09,2.2135854038651814e-08
1853,1.7915795513800958e-09,1.5527023222716707e-08
1854,5.195664454227256e-10,5.195664343204953e-09
1855,0.0,1.751289246954002e-08
1856,2.5885946719483854e-09,2.0708757375587084e-08
1857,1.9526036343364694e-09,2.3431244500216053e-08
1858,4.893676019968041e-10,2.3489644007668176e-08
1859,5.092173349652285e-10,1.018434669930457e-08
1860,1.8308735638683515e-09,1.2816115280145368e-08
1861,3.3011746669586728e-09,2.0750240636857598e-08
1862,4.517986429419807e-09,1.445755604123633e-08
1863,1.2486552236623538e-08,4.994620717013731e-09
1864,2.8768367688059016e-09,1.3904711160250827e-08
1865,1.4120533631256649e-09,2.118079933666195e-08
1866,2.919367858567057e-09,6.811858188626729e-09
1867,2.91168689159349e-09,1.9896527092555516e-08
1868,7.409810987013543e-09,1.1855697756857353e-08
1869,7.813630631403612e-09,1.8069020057964735e-08
1870,7.454262984651905e-09,8.601073631098188e-09
1871,2.1242354542039266e-09,1.0621176826930423e-08
1872,7.256807155187062e-09,1.3908880269752899e-08
1873,2.3944017879529156e-09,1.1972008939764578e-09
1874,2.9873046258899194e-09,1.5533982988813477e-08
1875,4.577221712764867e-09,3.432916173551348e-09
1876,3.02300739996042e-09,9.673623679873344e-09
1877,4.9478527941460015e-09,0.0
1878,6.039088673581716e-10,1.4493812372506909e-08
1879,3.665595160740054e-09,6.720257683667796e-09
1880,1.1552122813895949e-08,1.2193908105473383e-08
1881,4.183504653809678e-09,1.3945014920579979e-08
1882,9.317538740560849e-09,8.652000893505374e-09
