year,ont_VERB établi_VERB,ont_VERB etabli_VERB,ont_VERB rétabli_VERB
1800,2.1600410491373623e-06,0.0,1.3519907327008696e-07
1801,2.1811631540913368e-06,4.7623651688866175e-09,1.262026785298076e-07
1802,2.2893104869581293e-06,4.475680270843441e-09,2.0811913259422e-07
1803,2.554944330768194e-06,7.801356893821776e-09,1.618781624301846e-07
1804,2.2296096631180262e-06,2.4718509461507665e-09,1.1864884186252311e-07
1805,2.413603169770795e-06,0.0,2.1321582721611776e-07
1806,2.3226252778840717e-06,2.305335300434308e-08,1.815451611264507e-07
1807,2.585035190350027e-06,2.2775640928784924e-08,1.8789903322158352e-07
1808,2.3023312678560615e-06,3.3991110370834576e-08,2.4020383193601447e-07
1809,2.471379275448271e-06,6.7770917766551975e-09,1.2876473931555665e-07
1810,1.9563460682547884e-06,1.8721014072298203e-08,1.825298880930859e-07
1811,2.231298367405543e-06,0.0,1.6295999216708879e-07
1812,2.016409325733548e-06,1.0668832928217853e-08,1.1202274663446588e-07
1813,2.314972107342328e-06,1.1502966579257645e-08,1.7254450312975678e-07
1814,1.9509398043737747e-06,1.2586708564299443e-08,2.4229413497778296e-07
1815,1.9797621462203097e-06,0.0,2.1038343334112142e-07
1816,2.236487716800184e-06,1.3905623319487859e-08,2.3407798721564177e-07
1817,2.3882437290012604e-06,0.0,2.428722609693068e-07
1818,1.9944129689974943e-06,3.5763532135746345e-09,2.22926018977887e-07
1819,2.753379249043064e-06,5.175524897538253e-09,2.4221458261308726e-07
1820,2.2736178380000638e-06,1.0679833017945839e-08,1.6257078527814883e-07
1821,2.084718516925932e-06,3.94459531705138e-09,2.0709124726181471e-07
1822,2.33195828513999e-06,5.012807946513931e-09,1.5639960793123464e-07
1823,1.887593157334777e-06,4.941343334508019e-09,1.946889369719429e-07
1824,1.7675915842119139e-06,5.052667617633233e-09,1.7347491620967048e-07
1825,1.8544262729847105e-06,7.924898959288385e-09,1.4176762874740234e-07
1826,2.232824044767767e-06,1.6735169694470642e-08,1.268349762995058e-07
1827,3.06289985019248e-06,1.1060727445055818e-08,1.456329101756637e-07
1828,2.2939925656828564e-06,2.4765213879618386e-08,1.5134297370877903e-07
1829,2.3301893179450417e-06,1.0287811491593857e-08,2.709123521071888e-07
1830,2.2950603124627378e-06,2.0873671680021744e-09,1.7846988953351683e-07
1831,2.639591230035876e-06,9.354723218280014e-09,1.0757932500382594e-07
1832,2.2676229036733275e-06,6.764984572527055e-09,2.408334580650262e-07
1833,1.927515768329613e-06,6.950177322551099e-09,1.18153010930655e-07
1834,2.088134579025791e-06,2.8003592777992026e-09,1.8202335638761724e-07
1835,2.0329580365796573e-06,1.5126175867408165e-09,9.075705520444899e-08
1836,1.7641968952375464e-06,8.064899859050456e-09,6.58633538819231e-08
1837,1.95238408196019e-06,2.0873671680021744e-09,1.3985361135837593e-07
1838,1.826108473323984e-06,3.787297142565649e-09,1.2876810728812416e-07
1839,2.0247312022547703e-06,3.4957374772659477e-09,1.125627520082162e-07
1840,1.9128174244542606e-06,3.1848443882154243e-09,1.6752281339904584e-07
1841,2.0565016711771023e-06,2.5682194149112547e-09,7.961480008589206e-08
1842,2.0165043679298833e-06,8.049918065466954e-09,1.348361280406607e-07
1843,2.100497567880666e-06,4.134837805480629e-09,9.923610377882142e-08
1844,2.136696821253281e-06,6.586273748609983e-09,1.3721403036015545e-07
1845,2.013346147577977e-06,3.348136878855712e-09,1.2667116777720366e-07
1846,2.2352485302690184e-06,4.0981511517657054e-09,1.4987523400122882e-07
1847,2.0105937892367365e-06,6.47186837454683e-09,1.7096519400183752e-07
1848,2.06279491976602e-06,7.24069959545659e-09,1.8423557435198745e-07
1849,2.111612502631033e-06,4.1897072478036534e-09,1.7512977024125576e-07
1850,1.888698648144782e-06,2.7155984128057753e-09,1.2288083439671027e-07
1851,2.1109012777742464e-06,2.579775504329973e-09,1.3995281733514275e-07
1852,2.225955540779978e-06,0.0,1.354193415181726e-07
