year,pouvant_VERB égaler_VERB
1800,9.432493897065797e-09
1801,2.6193008650921e-08
1802,0.0
1803,3.900678446910888e-09
1804,9.887403784603066e-09
1805,2.842877711017877e-09
1806,2.5935023018064385e-08
1807,2.8469551160981155e-09
1808,3.3991110370834576e-08
1809,1.581321384946932e-08
1810,0.0
1811,2.5070767684098882e-09
1812,5.3344164641089264e-09
1813,8.627225156487839e-09
1814,0.0
1815,2.966945977789237e-08
1816,3.7081662185300956e-08
1817,4.670620334934483e-09
1818,1.7881765401739358e-08
1819,2.2772310259711048e-08
1820,0.0
1821,6.903041693817613e-09
1822,1.0025615893027862e-09
1823,4.941343334508019e-09
1824,2.0210670470532932e-08
1825,4.4027217427355936e-09
1826,1.0569580766173203e-08
1827,7.373818444733615e-09
1828,2.7516904310687096e-09
1829,1.8860987438529264e-08
1830,5.218417697960831e-09
1831,7.795603274018958e-09
1832,1.3529969367098715e-09
1833,1.0425265983826648e-08
1834,0.0
1835,4.5378527602224494e-09
1836,2.016224964762614e-09
1837,3.478945576063097e-09
1838,6.312161904276081e-09
1839,2.7965900706306e-09
1840,1.2739377330817092e-09
1841,1.2841097074556274e-08
1842,8.720745015011744e-09
1843,5.31621990873532e-09
1844,4.390849017710252e-09
1845,1.1160455892778032e-09
1846,5.854501328173001e-09
1847,3.775256551818984e-09
1848,4.02261068899179e-09
1849,8.379414939696517e-10
1850,1.0183494048021657e-08
1851,8.384270167027807e-09
1852,7.812654523320361e-09
1853,1.3138249599364826e-08
1854,4.676098175337984e-09
1855,8.491099379170919e-09
1856,2.019103817474388e-08
1857,1.610898081594314e-08
1858,4.893676130990343e-09
1859,5.092173349652285e-09
1860,4.57718396518203e-09
1861,3.772770984511453e-09
1862,3.6143890103090826e-09
1863,3.995696662428827e-09
1864,3.835782358407869e-09
1865,1.0825742080555756e-08
1866,1.1190909532388105e-08
1867,4.85281148598915e-09
1868,1.4819622196071691e-09
1869,9.278686263769487e-09
1870,5.734048791339319e-10
1871,1.0621177271019633e-09
1872,1.3908880269752899e-08
1873,6.584604861359367e-09
1874,7.169530746864439e-09
1875,5.721527251978387e-09
1876,2.9625471853478302e-08
1877,4.9478527941460015e-09
1878,1.1474268646338714e-08
1879,1.8938909107646396e-08
1880,1.2193908105473383e-08
1881,1.1853263259808955e-08
1882,1.1314154946262533e-08
1883,9.479008689083912e-09
1884,1.9805090900604227e-08
1885,4.511945039809007e-09
1886,5.162771099520569e-09
1887,6.528924623161458e-10
1888,7.60873763994141e-09
1889,3.132568426877924e-09
