year,avaient_VERB acheté_VERB,avaient_VERB racheté_VERB
1800,1.1947824418712116e-07,5.0306631749208464e-08
1801,1.0239084957675004e-07,7.143547975374531e-09
1802,1.096541666356643e-07,1.5664880947952042e-08
1803,1.5212646076179226e-07,0.0
1804,2.8920655381625693e-07,7.4155526164076946e-09
1805,7.960057502032214e-08,0.0
1806,1.0950342499427279e-07,8.645007376628655e-09
1807,3.3024679169102455e-07,2.8469551160981155e-09
1808,1.2690014727922971e-07,6.798221985349073e-09
1809,1.4457795316502597e-07,2.259030518203531e-09
1810,1.4742798271072388e-07,0.0
1811,7.019814773912003e-08,1.7549536934780008e-08
1812,2.667208320872305e-07,2.6672082320544632e-09
1813,1.9555042740648787e-07,1.1502966579257645e-08
1814,1.8565394555025705e-07,3.1466772298927026e-08
1815,2.1308066777692147e-07,1.0788894222457657e-08
1816,1.4369143741532753e-07,2.3176038865813098e-09
1817,1.3389110620209976e-07,6.227493631882908e-09
1818,2.7657131340674823e-07,2.384235386898581e-08
1819,2.6084646265189804e-07,1.035105001712111e-09
1820,3.5124784858453495e-07,9.493184904840746e-09
1821,2.4160647171811434e-07,1.676452932031225e-08
1822,2.7871212182617455e-07,1.5038423839541792e-08
1823,3.073515699725249e-07,2.9648061783404955e-09
1824,2.1389625715073635e-07,3.452656116564867e-08
1825,2.403886014690215e-07,4.226612659863349e-08
1826,3.611273484693811e-07,3.52319382557198e-08
1827,2.9310928084669285e-07,1.8434546333878643e-08
1828,3.228649916309223e-07,1.4675682002973645e-08
1829,3.343538708122651e-07,3.257806824308318e-08
1830,2.995371914948919e-07,2.1917355041978226e-08
1831,2.401045833266835e-07,2.6505050598757407e-08
1832,2.54363413887404e-07,5.411987746839486e-09
1833,3.3592522186154383e-07,1.853380560135065e-08
1834,2.473650795309368e-07,3.733812548034621e-08
1835,2.881536431686982e-07,8.31939672707449e-09
1836,3.232680683140643e-07,2.352262562510532e-08
1837,3.5137350096192677e-07,2.99189295560609e-08
1838,3.067710565574089e-07,3.5348108440302894e-08
1839,2.3840929941343347e-07,1.8177836125232716e-08
1840,3.4842196328099817e-07,1.7835128929277744e-08
1841,3.165330326737603e-07,1.4125206782011901e-08
1842,2.9583449645542714e-07,1.7441490030023488e-08
1843,3.0834075914754067e-07,1.3585895075607368e-08
1844,3.386442415376223e-07,1.4270259640625227e-08
1845,3.0021627139831253e-07,1.3950569588416784e-08
1846,2.897978106375376e-07,1.5807152919933287e-08
1847,3.554134480054927e-07,9.168480197274675e-09
1848,3.19395297765368e-07,1.850401076808339e-08
1849,2.8825186859648966e-07,7.54147322368226e-09
1850,2.1181668330427783e-07,2.4440385715251978e-08
1851,2.70231481636074e-07,2.257303499675345e-08
1852,3.151104124299309e-07,8.463708844885787e-09
1853,2.9381905619629833e-07,1.1346670270029335e-08
1854,2.9511375032598153e-07,3.533051895487915e-08
1855,2.865746182578732e-07,2.600399184871094e-08
1856,2.4177472823794233e-07,3.986435714864456e-08
1857,2.660422353528702e-07,2.2943092758964667e-08
1858,2.6425851729072747e-07,3.670256987220455e-08
1859,3.39647954206157e-07,2.3933214521321133e-08
1860,3.4740824617074395e-07,2.334363813361051e-08
1861,2.9144655400159536e-07,5.517677692523648e-08
1862,2.7243456202086236e-07,1.8523744316212287e-08
1863,3.196557258888788e-07,2.597202808374277e-08
1864,2.5651794999248523e-07,2.9247839705703882e-08
1865,3.6713385043185554e-07,2.58876440284439e-08
1866,2.8220554781910323e-07,2.8707116683790446e-08
1867,2.7903666932616034e-07,2.038180824115443e-08
1868,2.9935637257949566e-07,8.397785578040384e-09
1869,2.456410186368885e-07,7.813630631403612e-09
1870,2.9071628659949056e-07,1.7202147262196377e-08
1871,2.74026376700931e-07,2.549082545044712e-08
1872,2.890628252316674e-07,4.8378714367913744e-09
1873,2.57996788377568e-07,2.454261860407314e-08
1874,2.0851385329478944e-07,3.525019565131515e-08
1875,2.2142310740491666e-07,1.4303817685856757e-08
1876,2.1402892969035747e-07,3.264847947548333e-08
1877,2.3564149387311772e-07,1.4843558382438005e-08
1878,2.892723500735883e-07,2.6571990829893366e-08
1879,3.201286347120913e-07,4.093248051617593e-08
1880,2.6826597832041443e-07,2.759673911612026e-08
1881,2.9354256980695936e-07,2.022027167924989e-08
1882,3.008234159551648e-07,1.9300616216355593e-08
1883,2.4519036401216e-07,2.5909288936531993e-08
1884,2.6472804393051774e-07,1.9805090900604227e-08
1885,2.745840674833744e-07,2.2559724754955823e-08
1886,2.800803429181542e-07,2.1296431285122708e-08
1887,2.696445733363362e-07,2.415702127223085e-08
1888,3.113241859864502e-07,8.242799331981132e-09
1889,2.9007583179918583e-07,1.8168895721260014e-08
1890,2.765951023775415e-07,1.7696843102044113e-08
1891,2.4540747745049885e-07,1.3385862196457765e-08
1892,2.6766548444356886e-07,1.56712811616444e-08
1893,2.4325746039721707e-07,1.2932674486876294e-08
1894,2.482806564785278e-07,2.0164925729204697e-08
1895,2.7805998570329393e-07,1.444467478961542e-08
1896,2.429575829410169e-07,1.533227589334274e-08
1897,2.2957252099331527e-07,2.0393496669157685e-08
1898,2.529284586216818e-07,1.1316709347397591e-08
1899,2.4155517053259246e-07,9.39688327150634e-09
1900,2.64224610191377e-07,1.9206897405865675e-08
1901,2.6490621962693695e-07,1.2295225282343836e-08
1902,1.7087788251046732e-07,2.356936334990678e-08
1903,2.3976977558959334e-07,1.7280704867062013e-08
1904,2.300339616567726e-07,1.7736262236667244e-08
1905,3.019044072516408e-07,1.3934049469810361e-08
1906,2.3508923163717554e-07,8.230695236477459e-09
1907,2.5868502007142524e-07,1.902852098112362e-08
1908,2.4949855514933006e-07,2.0627833663411366e-08
1909,2.7174857564205013e-07,1.4302557360679202e-08
1910,2.1269720207328646e-07,1.1757131268552712e-08
1911,3.037933709038043e-07,1.702519725199636e-08
1912,2.406752628303366e-07,1.6670147928721235e-08
1913,2.073469005381412e-07,1.484837142129436e-08
1914,1.908571931608094e-07,2.0090231700464756e-08
1915,2.509302419184678e-07,7.068456930880984e-09
1916,2.2634171159552352e-07,8.789969641043172e-09
1917,2.664841076693847e-07,5.483212106582869e-09
1918,3.101321510712296e-07,1.378365155346728e-08
1919,2.51374274284899e-07,2.1178051312631396e-08
1920,1.9687801966483676e-07,2.0445025228355007e-08
1921,2.1809512418258237e-07,7.572747762196741e-09
1922,2.4642304197186604e-07,3.6889677978990676e-09
1923,2.1550374640355585e-07,2.229349149729387e-08
1924,2.6427829880049103e-07,1.804827398643738e-08
1925,2.6065680458486895e-07,1.9796720707176974e-08
1926,2.708511601667851e-07,5.57306911730393e-09
1927,2.4974264078991837e-07,2.1183527820767267e-08
1928,2.410894808235753e-07,2.5137291359556002e-08
1929,2.0052731031228177e-07,2.6736975300423182e-08
1930,2.4578432089583657e-07,1.8906487042613662e-08
1931,2.0643695108901738e-07,5.7026783295555106e-09
1932,2.1371096181610483e-07,2.301502632917618e-08
1933,2.2023671419901802e-07,6.882397318719313e-09
1934,2.1806475558605598e-07,1.9170528275935794e-08
1935,2.2859423154386604e-07,1.0771455727365264e-08
1936,2.1581992371011438e-07,8.487299751891442e-09
1937,2.165672299270227e-07,1.6368453259474336e-08
1938,2.061469075442801e-07,1.8151300906765755e-08
1939,1.7894039672228246e-07,1.3764645423464117e-08
1940,1.927194972495272e-07,1.2678914806940611e-08
1941,2.036536841387715e-07,8.854508237732261e-09
1942,3.1859224236541195e-07,3.034211770724937e-09
1943,2.2645234309948137e-07,8.709705845433291e-09
1944,2.1207029021752533e-07,1.2852744646352221e-08
1945,2.287429197167512e-07,8.714016175304096e-09
1946,2.143850110769563e-07,2.3665876369705074e-08
1947,1.8596558959416143e-07,2.7418003867296648e-08
1948,1.5764237559778849e-07,8.697510267552389e-09
1949,1.521636221468725e-07,1.2762110479513922e-08
1950,1.5527628249856207e-07,8.508289184305795e-09
1951,1.9510365234509663e-07,2.1322803078760444e-08
1952,2.0878711382010806e-07,8.435843135146115e-09
1953,1.7453599809869047e-07,1.2928593307037772e-08
1954,2.4235890805357485e-07,4.886268278880834e-09
1955,1.9334352430178114e-07,7.508486277174597e-09
1956,1.569805476719921e-07,1.5698054411927842e-08
1957,1.5991417967597954e-07,7.068030161150318e-09
1958,1.7868045176783198e-07,1.3235589513271862e-08
1959,2.0229451536124543e-07,1.3176271629333769e-08
1960,1.7025250542701542e-07,2.145458388724819e-08
1961,1.7370398097682482e-07,1.737039845295385e-08
1962,1.90892890827854e-07,8.8787386332001e-09
1963,1.8492912090550817e-07,1.8751554975438012e-08
1964,2.3788315672845783e-07,1.0951143103454797e-08
1965,1.8659667944120883e-07,1.094408652591028e-08
1966,1.9331370992858865e-07,1.8832853498906843e-08
1967,1.9179005050773412e-07,1.1832804958089582e-08
1968,2.092999835667797e-07,1.5719955115400808e-08
1969,2.102833889239264e-07,2.2254612375149918e-08
1970,1.8348913499721675e-07,1.3336302728816918e-08
1971,1.9217605995436315e-07,7.707596338946132e-09
1972,1.9032844988942088e-07,1.9494558856081312e-08
1973,1.797304491901741e-07,1.0475087464101307e-08
1974,2.1152149543013365e-07,1.1251143128276908e-08
1975,1.6848866835061926e-07,1.3707552426467373e-08
1976,1.6912039768612885e-07,8.570290255249802e-09
1977,1.6513756406766333e-07,2.291944944943225e-08
1978,1.9663357875288057e-07,2.1386128423728223e-08
1979,1.831667617580024e-07,2.750427441355896e-08
1980,2.0921353893754713e-07,1.193881615790815e-08
1981,1.6952472492448578e-07,1.138598904049104e-08
1982,1.9243256588197255e-07,9.932003663948308e-09
1983,1.9198560607947002e-07,1.8314416649900522e-08
1984,1.9252708227668336e-07,8.118611560803402e-09
1985,1.876854156535046e-07,2.1054452403745927e-08
1986,1.7563841936407698e-07,8.991728250862252e-09
1987,1.8210234031812433e-07,2.199894133525504e-08
1988,1.9548765806121082e-07,1.739000587974715e-08
1989,1.9812121365703206e-07,2.359892548042808e-08
1990,1.8470926477220928e-07,1.9070277801347402e-08
1991,1.811192760214908e-07,1.875668864670388e-08
1992,1.8403213175588462e-07,2.8651710337612712e-08
1993,1.8944089674732822e-07,1.3294098266669607e-08
1994,1.8936987089546164e-07,9.494868002946077e-09
1995,1.7568740418028028e-07,1.843633334885908e-08
1996,1.8096132237133133e-07,1.3345230698291743e-08
1997,1.8316497119030828e-07,1.965906726297817e-08
1998,1.8500341525395925e-07,2.0026142522056034e-08
1999,2.0520202781426633e-07,1.3253583119876566e-08
2000,1.8776633226025297e-07,1.6346715980830595e-08
2001,1.8707774529502785e-07,1.270551397425379e-08
2002,2.0504116093889024e-07,1.0514931148009055e-08
2003,1.9792884131675237e-07,1.2084076850271686e-08
2004,1.9292986053187633e-07,1.8500124099318782e-08
2005,1.9906573811567796e-07,1.9366122927522156e-08
2006,1.9395261574572942e-07,2.141302779534726e-08
2007,2.3847042029956356e-07,2.157018919035636e-08
2008,2.392681039964373e-07,1.9158479247494142e-08
2009,2.8466109824876185e-07,1.192048149079028e-08
2010,3.0279514362518967e-07,2.5036102968556406e-08
2011,3.12418507064649e-07,2.1796640936599943e-08
2012,3.8672311575282947e-07,1.8042539906559796e-08
2013,3.9577685129188467e-07,2.1755175438897822e-08
2014,4.1468274503131397e-07,2.013864097705209e-08
2015,3.945504261082533e-07,2.4825643762937943e-08
2016,4.142680154473055e-07,2.2577607339258066e-08
2017,3.952025338094245e-07,2.5910797063488644e-08
2018,3.931573928639409e-07,2.1942467398616827e-08
2019,4.1249472815252375e-07,1.989770481714004e-08
