year,ont_VERB assuré_VERB,ont_VERB rassuré_VERB
1800,1.2293683084863005e-06,2.2009151834367913e-08
1801,1.5025261745904572e-06,3.5717739876872656e-08
1802,1.1032551583411987e-06,0.0
1803,1.322330035691266e-06,3.900678446910888e-09
1804,1.2062632777087856e-06,0.0
1805,1.2423375892467448e-06,0.0
1806,9.50950834521791e-07,5.76333825108577e-09
1807,1.067608195626235e-06,4.27043254092041e-08
1808,1.3936355571786407e-06,2.4926814390369145e-08
1809,1.2085813523299294e-06,2.25903047379461e-08
1810,1.2543079037641292e-06,2.3401267590372754e-09
1811,1.1306916576359072e-06,2.5070767684098882e-09
1812,1.1522339491421008e-06,0.0
1813,1.3257168802738306e-06,8.627225156487839e-09
1814,1.2869909369328525e-06,3.1466772298927026e-08
1815,1.2164477993792389e-06,1.0788894222457657e-08
1816,1.082320977729978e-06,2.3176038865813098e-09
1817,1.3638210702993092e-06,1.2454987263765815e-08
1818,1.299408381782996e-06,2.6226590676969863e-08
1819,1.4015321312399465e-06,3.001804671498576e-08
1820,1.1059560165449511e-06,4.50926265216367e-08
1821,1.187323164231202e-06,1.3806083387635226e-08
1822,1.1729970310625504e-06,1.604098542884458e-08
1823,1.037682068272261e-06,4.941343334508019e-09
1824,8.640061537334986e-07,1.51580028528997e-08
1825,9.474656508245971e-07,2.641632912414593e-09
1826,9.001760190585628e-07,3.082794464148719e-08
1827,1.113446614908753e-06,2.3043183361437514e-08
1828,8.860442903824151e-07,2.7516904310687096e-08
1829,1.0030615840150858e-06,1.457439946506156e-08
1830,1.080212541637593e-06,2.1917355041978226e-08
1831,9.650956371842767e-07,1.5591206548037917e-08
1832,1.0377486887591658e-06,1.2176972319366541e-08
1833,8.467632710562611e-07,1.0425265983826648e-08
1834,1.0090627711178968e-06,1.5868701908061666e-08
1835,7.343758170463843e-07,1.8907719834260206e-08
1836,7.856556862861908e-07,4.704525213838906e-09
1837,7.918079631963337e-07,1.1132625488130543e-08
1838,8.401487434639421e-07,1.2624323808552163e-09
1839,8.026213436096441e-07,9.088918062616358e-09
1840,9.293376024288591e-07,1.0828470564661075e-08
1841,7.76886395215115e-07,1.3483152372373297e-08
1842,7.244926223393122e-07,8.720745015011744e-09
1843,7.247779763019935e-07,4.7255288571079745e-09
1844,7.804733854754886e-07,1.2074834465636286e-08
1845,6.417262170543836e-07,9.48638767539478e-09
1846,7.218600330816116e-07,1.0538101946622191e-08
1847,8.53208007356443e-07,1.1325769655456952e-08
1848,8.503799335812801e-07,2.011305433313737e-08
1849,7.340367460528796e-07,2.8490010350878947e-08
1850,6.687160976071027e-07,2.7155984128057753e-09
1851,6.829955623288697e-07,6.449438760824933e-09
1852,7.005347129052097e-07,1.4323200403509873e-08
1853,7.691847940805019e-07,1.3138249599364826e-08
1854,6.614080803046818e-07,9.871762074453727e-09
1855,6.554067226716143e-07,8.491099379170919e-09
1856,7.123812224563153e-07,1.1389816201301528e-08
1857,7.24415940567269e-07,1.0739319655783675e-08
1858,6.185606480357819e-07,1.4191660291373864e-08
1859,6.467060416071035e-07,2.5460867192350634e-08
1860,7.689669132560084e-07,1.4646988510946812e-08
1861,6.809851811340195e-07,2.87673795895671e-08
1862,7.237813974825258e-07,2.2589931703009825e-08
