year,fallait_VERB emporter_VERB,fallait_VERB remporter_VERB
1800,6.288328968651058e-09,0.0
1801,2.3811825844433088e-09,0.0
1802,8.951360541686881e-09,0.0
1803,1.1702034896643454e-08,0.0
1804,0.0,0.0
1805,1.1371510844071508e-08,0.0
1806,6.051504897186533e-08,2.881669125542885e-09
1807,2.8469550272802735e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,4.969867006821005e-08,4.518061036407062e-09
1810,2.3401267590372754e-09,0.0
1811,2.0056614147279106e-08,2.5070767684098882e-09
1812,2.6672082320544632e-09,1.3336041604361526e-08
1813,2.5881675469463516e-08,0.0
1814,3.776012391654149e-08,0.0
1815,2.6972236000233352e-08,2.697223555614414e-09
1816,2.3176038865813098e-09,0.0
1817,1.71256075987003e-08,1.5568733857662664e-08
1818,3.5763530803478716e-08,8.344824387052086e-09
1819,2.2772310259711048e-08,1.6561680027393777e-08
1820,3.797273961936298e-08,5.933240565525466e-09
1821,1.577838126820552e-08,4.930744257336528e-09
1822,1.0025615893027862e-08,2.0051231786055723e-09
1823,2.174191138237802e-08,4.941343334508019e-09
1824,5.3053010873327366e-08,3.3684450784221553e-09
1825,5.459374818883589e-08,1.7610886082763955e-09
1826,2.906634755106552e-08,1.0569580766173203e-08
1827,4.147772969531616e-08,3.6869092223668076e-09
1828,1.7427371545863934e-08,2.7516904310687096e-09
1829,2.914879893012312e-08,2.8291481157793896e-08
1830,4.696576283436116e-08,4.174734336004349e-09
1831,2.8064171431196883e-08,4.677361609140007e-09
1832,1.6235963684607668e-08,4.058990921151917e-09
1833,3.938433579264711e-08,0.0
1834,5.2273371409228275e-08,9.334530925997342e-10
1835,3.932805725526123e-08,2.2689263801112247e-09
1836,3.8980349614803345e-08,6.048674894287842e-09
1837,2.852735292435682e-08,1.3915781860163179e-09
1838,5.112851297894849e-08,3.1560809521380406e-09
1839,5.942753844578874e-08,0.0
1840,2.993753511759678e-08,6.369688665408546e-10
1841,2.43980835534785e-08,1.2841097074556274e-09
1842,5.433694738599115e-08,1.341653010911159e-08
1843,3.071593823733565e-08,8.269675610961258e-09
1844,3.1284798751585186e-08,4.390849017710252e-09
1845,3.2923345827384765e-08,6.138250796539069e-09
1846,3.2785209214125643e-08,1.7563503984519002e-09
1847,5.55502026600152e-08,2.1572894581822766e-09
1848,3.942158599556933e-08,0.0
1849,4.9438547478075634e-08,1.6758829879393033e-09
1850,2.851378333446064e-08,4.073397619208663e-09
1851,2.7087642351375507e-08,6.449438760824933e-09
1852,1.3021090872200602e-08,1.3021090872200602e-09
1853,1.3138249599364826e-08,1.7915795513800958e-09
1854,1.1950028522278444e-08,0.0
1855,1.539011762474729e-08,1.0613874223963649e-09
1856,3.882891874695815e-08,3.6240324075009767e-09
1857,2.7336451324799782e-08,2.4407544874094356e-09
1858,1.4191660291373864e-08,2.4468380654951716e-09
1859,3.1571474323754956e-08,8.147477359443656e-09
1860,4.7602711106264906e-08,7.323494255473406e-09
1861,3.678451676591976e-08,2.357981809808507e-09
1862,2.5300723294208183e-08,9.035972525772706e-10
1863,1.548332484446746e-08,4.994620717013731e-09
1864,1.2466292886870178e-08,1.4384183844029508e-09
1865,2.118079933666195e-08,3.765475486972036e-09
1866,3.16264845423575e-08,3.8924903300596725e-09
1867,2.426405742994575e-08,3.396968040192405e-09
1868,1.778354707937524e-08,1.975949626142892e-09
1869,2.3440891894210836e-08,5.371870948067681e-09
1870,1.834895613228582e-08,3.4404292748035914e-09
1871,2.6552942955504477e-08,2.1242354542039266e-09
1872,2.8422494580127022e-08,3.628403577593531e-09
1873,1.616221290134945e-08,5.9860045809045914e-09
1874,1.6131444624534197e-08,5.377148060148329e-09
1875,1.716458086775674e-08,4.005069165202713e-09
1876,2.478866001354163e-08,0.0
1877,2.3502300550148902e-08,3.0924081073635534e-09
1878,3.0799352401800206e-08,7.2469061862534545e-09
1879,1.8938909107646396e-08,3.0546627449723474e-09
1880,4.55667077403632e-08,3.2089231272180996e-09
1881,2.7890029841159958e-08,3.4862537301449947e-09
1882,1.9300616216355593e-08,6.655385131892899e-10
1883,1.2638677659992936e-08,0.0
1884,2.3105940272216685e-08,0.0
1885,1.6758653131887513e-08,1.933690763067375e-09
1886,3.226731948302586e-08,0.0
1887,2.4809914123125054e-08,3.9173548849191775e-09
1888,3.1703073943845084e-08,5.706553452000662e-09
1889,2.192797943223468e-08,6.265136853755848e-09
1890,2.0318598359381213e-08,6.554386366985909e-09
1891,1.5935549768641977e-08,9.561330394092238e-09
1892,1.6924984080901595e-08,3.1342561879199593e-09
1893,1.6627724974682678e-08,6.158416554491453e-10
1894,2.142523314319078e-08,0.0
1895,1.444467478961542e-08,1.2037228991346183e-09
1896,1.8870492723976895e-08,3.5382172747233653e-09
1897,1.7480140002135158e-08,5.826713556089658e-10
1898,1.3580051749784161e-08,0.0
1899,1.6029977345510815e-08,5.527578395003729e-09
1900,1.4015843596837385e-08,1.038210628578895e-09
1901,1.117747761014698e-08,3.353243460679778e-09
1902,1.5221880644844532e-08,4.910283846193408e-10
1903,1.1880484152015924e-08,5.400220270956879e-10
