year,puissent_VERB assurer_VERB,puissent_VERB rassurer_VERB
1800,3.772997558826319e-08,6.288328968651058e-09
1801,3.5717739876872656e-08,0.0
1802,5.594600338554301e-08,0.0
1803,2.3404069793286908e-08,1.950339223455444e-09
1804,3.213406074564773e-08,2.4718509461507665e-09
1805,0.0,0.0
1806,6.627838899930794e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,2.945896149242344e-08,2.2660739951163578e-09
1809,6.7770917766551975e-09,2.0331274441787173e-08
1810,1.8721014072298203e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,1.7254450312975678e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,4.8550024445148665e-08,0.0
1816,4.6352077731626196e-08,0.0
1817,3.269434145636296e-08,0.0
1818,2.8610825708597076e-08,3.5763532135746345e-09
1819,3.9333990287104825e-08,0.0
1820,8.069207524386002e-08,1.6613073583471305e-08
1821,7.59334568556369e-08,1.2819934447350079e-08
1822,5.9151133768864383e-08,7.017931125119503e-09
1823,5.336650943377208e-08,0.0
1824,2.0210670470532932e-08,0.0
1825,1.4969252504215547e-08,0.0
1826,9.688783109140786e-09,0.0
1827,5.1616730445402936e-08,0.0
1828,2.5682442839070063e-08,1.8344602503717056e-09
1829,2.914879893012312e-08,6.858540846366168e-09
1830,2.5048406016026092e-08,1.0436835840010872e-09
1831,5.3010101197514814e-08,0.0
1832,3.111892965534935e-08,0.0
1833,2.89590715851773e-08,4.6334514003376626e-09
1834,1.9602515166639023e-08,6.534171426153534e-09
1835,4.840376277570613e-08,1.2100940693926532e-08
1836,2.352262562510532e-08,1.3441500135158435e-09
1837,4.5922078584226256e-08,5.5663127440652715e-09
1838,3.219202682203104e-08,4.418513555037862e-09
1839,4.1249702320556025e-08,6.9914751765765e-10
1840,2.6752692505738196e-08,4.458782232319436e-09
1841,3.0818632978935057e-08,6.420548537278137e-10
1842,2.817471411731276e-08,2.683306021822318e-09
1843,1.7720733325177207e-08,1.1813822142769936e-09
1844,2.360081374774836e-08,5.488561272137815e-10
1845,1.674068350610014e-08,5.580227946389016e-10
1846,2.985795788390533e-08,2.9272506640865004e-09
1847,3.829188699455699e-08,6.47186837454683e-09
1848,3.298540818263973e-08,9.65426583121598e-09
1849,1.9272654583346593e-08,0.0
1850,3.530277936647508e-08,6.788996032014438e-10
1851,1.805842941848823e-08,1.2898877521649865e-09
1852,1.3021090872200602e-08,0.0
1853,1.791579506971175e-08,0.0
1854,2.7017454939937124e-08,0.0
1855,1.5920811335945473e-08,1.5920811335945473e-09
1856,2.2779632402603056e-08,0.0
1857,2.0990489346672803e-08,4.881509085841174e-10
1858,2.0553439838977283e-08,0.0
1859,5.092173349652285e-09,7.638259802433822e-09
1860,2.654766717569146e-08,0.0
1861,3.065376574795664e-08,0.0
1862,2.891511208247266e-08,9.939570055905733e-09
1863,1.6981710260211003e-08,3.995696662428827e-09
1864,2.1096802527154068e-08,0.0
1865,1.4120533187167439e-08,1.4120533631256649e-09
1866,1.8489329178805747e-08,9.731225825149181e-10
1867,1.649955905236311e-08,2.91168689159349e-09
1868,2.3711395513714706e-08,1.4819622196071691e-09
1869,2.539429999615095e-08,1.2208797528501236e-08
1870,9.17447806614291e-09,0.0
1871,1.6993883633631413e-08,2.1242354542039266e-09
1872,2.116568786902917e-08,2.4189357183956872e-09
1873,1.0176207432266438e-08,5.986004469882289e-10
1874,1.9118749250424116e-08,4.182226565063729e-09
1875,1.830888685105947e-08,5.721527140956084e-10
1876,2.9020871039620033e-08,0.0
1877,1.608052180301911e-08,1.8554447978047506e-09
1878,4.831270938865373e-09,0.0
1879,1.0385853066452455e-08,6.10932526790009e-10
1880,1.7969970400599777e-08,5.776061406947974e-09
1881,2.1614773970668466e-08,8.367009307619355e-09
1882,2.1297232422057277e-08,1.3310770263785798e-09
1883,1.8326083761621703e-08,0.0
1884,1.9805090900604227e-08,3.9610181801208455e-09
1885,1.740321664556177e-08,6.445635691854079e-10
1886,1.7424351739236954e-08,1.2906927748801422e-09
1887,1.7628096316002484e-08,5.223139698529167e-09
1888,4.2482117379449846e-08,2.53624587998047e-09
1889,1.9421923624918236e-08,1.2530273485467092e-09
1890,4.4569826940232815e-08,8.520702365899524e-09
1891,2.8046567734918426e-08,2.5496880162734215e-09
1892,2.3193495124473884e-08,0.0
1893,1.847524977449666e-08,0.0
1894,1.6384001710889606e-08,0.0
1895,1.625025980445116e-08,3.0093072478365457e-09
1896,2.5357223876198987e-08,1.179405795248556e-09
1897,2.0393496669157685e-08,0.0
1898,2.6028432742464247e-08,4.52668391659472e-09
1899,1.9899282222013426e-08,5.527578395003729e-10
