year,veulent_VERB amener_VERB,veulent_VERB ramener_VERB
1800,0.0,3.772997558826319e-08
1801,0.0,7.143547975374531e-09
1802,4.475680270843441e-09,1.0070280609397742e-07
1803,1.950339223455444e-09,5.851017448321727e-09
1804,1.730295728918918e-08,1.730295728918918e-08
1805,2.842877711017877e-09,0.0
1806,5.76333825108577e-09,2.881669125542885e-09
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,0.0,1.3596443970698147e-08
1809,2.259030518203531e-09,4.518061036407062e-09
1810,1.8721014072298203e-08,7.254392642153107e-08
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,6.293354282149721e-09,9.440030979135372e-09
1815,0.0,1.3486118000116676e-08
1816,0.0,9.270415546325239e-09
1817,0.0,3.269434145636296e-08
1818,1.1921176934492905e-08,2.1458118837358597e-08
1819,1.035105001712111e-09,2.898294049202832e-08
1820,9.493184904840746e-09,3.20394981656591e-08
1821,9.86148829262845e-10,3.254291058851777e-08
1822,1.0025615893027862e-09,4.010246357211145e-09
1823,9.882686891060644e-10,3.261286707356703e-08
1824,0.0,4.210556348027694e-09
1825,0.0,1.0566531649658373e-08
1826,1.7615968683770689e-09,3.2589543508265706e-08
1827,1.2904182611350734e-08,9.217273055917019e-10
1828,1.4675682002973645e-08,1.3758452155343548e-08
1829,0.0,4.2865881511033876e-08
1830,1.878630406793036e-08,1.7742621594152297e-08
1831,1.5591206548037917e-08,1.5591206548037917e-08
1832,4.058990921151917e-09,1.8941957335982806e-08
1833,1.0425265983826648e-08,2.3167256557599103e-08
1834,1.0267983796552471e-08,6.627517024071494e-08
1835,1.4369867074037757e-08,1.9664028627630614e-08
1836,6.72075017860152e-09,4.166864897570122e-08
1837,2.0177884252348122e-08,2.2961039292113128e-08
1838,3.787297142565649e-09,2.0830134062066463e-08
1839,6.9914751765765e-10,4.894032734625853e-09
1840,1.2102408852854296e-08,4.522479102320176e-08
1841,5.1364388298225094e-09,1.6693427085101575e-08
1842,1.341653010911159e-09,3.4212153110502186e-08
1843,6.497602011990011e-09,2.7171790151214736e-08
1844,1.097712254427563e-09,2.5796238034558883e-08
1845,7.254296274794569e-09,1.785672942844485e-08
1846,1.4050803187615202e-08,1.9319854160926297e-08
1847,3.235934187273415e-09,3.7752563741833e-08
1848,4.82713291560799e-09,3.057184372323718e-08
1849,3.3517659758786067e-09,4.524883934209356e-08
1850,8.146795238417326e-09,2.7155984128057753e-08
1851,2.579775504329973e-09,1.2253933867611977e-08
1852,0.0,2.408901877970493e-08
1853,7.763511611358354e-09,2.329053394589664e-08
1854,5.195664343204953e-09,3.16935526711859e-08
1855,9.021793090369101e-09,1.5920811335945473e-08
1856,4.659470143053568e-09,1.5531567143511893e-08
1857,0.0,1.757343248698362e-08
1858,7.829881631948865e-09,2.495774786837046e-08
1859,2.6988518087023294e-08,2.036869339860914e-08
1860,1.7393299245327398e-08,3.4786598490654796e-08
1861,1.4147891747029462e-09,3.7256114637784776e-08
1862,5.421583626485926e-09,2.5752521892741242e-08
1863,7.491931519609807e-09,3.0467187883687075e-08
1864,2.1096802527154068e-08,3.2604148714199255e-08
1865,1.6473954644879996e-08,1.4120533187167439e-08
1866,2.919367858567057e-09,2.432806489593986e-08
1867,6.308654931785895e-09,4.0278337110066786e-08
1868,9.385760613156435e-09,2.9639243948054173e-08
1869,9.278686263769487e-09,4.102156125895817e-08
1870,2.2936195165357276e-09,3.7844721134661086e-08
1871,8.496941816815706e-09,2.1242353653860846e-08
1872,1.8142017887967654e-09,3.749350341308855e-08
1873,8.979006871356887e-09,1.0774807712721213e-08
1874,0.0,2.1508592240593316e-08
1875,5.721527251978387e-09,2.9751941355016243e-08
1876,6.04601479992084e-09,2.8416270225761764e-08
1877,0.0,2.4120781816350245e-08
1878,3.0195443923020093e-09,3.744235144154118e-08
1879,1.0385853066452455e-08,9.163987790827832e-09
1880,1.0910338410496934e-08,2.5029599726167362e-08
1881,1.9523021421719022e-08,2.719277958362909e-08
1882,1.2645231528551903e-08,2.1297232422057277e-08
1883,9.479008689083912e-09,1.0742875922176154e-08
1884,1.4523733327109767e-08,1.7824582698722224e-08
1885,2.4493415295978593e-08,1.0957580620640783e-08
1886,7.744156427236248e-09,2.452316216761119e-08
1887,3.264462256069578e-09,2.7421483750345033e-08
1888,8.242799331981132e-09,1.9655905347804037e-08
1889,6.265136742733546e-10,2.5060547415023393e-08
1890,3.2771931834929546e-09,2.7528423984790606e-08
1891,5.736798147637501e-09,9.561330394092238e-09
1892,6.268512375839919e-09,1.8805536683430546e-08
1893,6.774258043407144e-09,1.4780200174868696e-08
1894,8.192000855444803e-09,1.3863386882917439e-08
1895,9.027921521465032e-09,1.5648398132839247e-08
1896,1.1204354777305525e-08,1.533227589334274e-08
1897,1.7480140002135158e-08,1.6897470089816125e-08
1898,4.52668391659472e-09,7.921697076085366e-09
1899,6.633094074004475e-09,2.4874102777516782e-08
1900,1.0901211489056095e-08,1.453494924419374e-08
1901,4.470991132876634e-09,1.7883964531506535e-08
1902,5.892340837476695e-09,1.276673788908056e-08
1903,1.0800440541913758e-08,1.6200660368781428e-08
1904,6.987012746151322e-09,1.827372564378038e-08
1905,1.186974607492175e-08,1.7546581076999246e-08
1906,2.572092316910357e-09,1.1317205839134203e-08
1907,6.1714118260169926e-09,2.5199932807140613e-08
1908,6.384805573134145e-09,3.094175227147389e-08
1909,8.251475058784763e-09,3.190570296851547e-08
1910,9.085056262847502e-09,2.0307773240801907e-08
1911,1.276889793899727e-08,2.181353409014264e-08
1912,4.688478938419394e-09,1.3023552902780011e-08
1913,9.545381374209683e-09,1.6439267724877027e-08
1914,8.036092680185902e-09,1.0045115850232378e-08
1915,8.246533234057551e-09,9.424609537234119e-09
1916,0.0,1.3184954461564757e-08
1917,8.773139548168274e-09,1.973956464951243e-08
1918,5.743188147278033e-09,2.2972752589112133e-08
1919,3.6831393490643904e-09,1.3811772170413406e-08
1920,1.514446346106979e-08,1.1358347151713133e-08
1921,6.058197943303867e-09,2.2718241510233383e-08
1922,1.1804696775641332e-08,2.3609393551282665e-08
1923,1.4862327368803108e-08,4.140219900250486e-08
1924,3.867487219366694e-09,1.4180787211159895e-08
1925,1.0998178368026856e-08,2.639562701745035e-08
1926,2.229227691330493e-09,8.916910765321973e-09
1927,3.3447675740205796e-09,2.5643217327342427e-08
1928,7.998228745975666e-09,9.14083297942625e-09
1929,2.2280812750352652e-09,1.4482528065684619e-08
1930,4.201441416995522e-09,1.6805765667982087e-08
1931,4.5621426636444085e-09,3.193499864551086e-08
1932,1.2055489939655217e-08,8.767629289252454e-09
1933,2.2941324395731044e-09,5.735331320977366e-09
1934,1.0783422155213884e-08,2.2765002327673756e-08
1935,5.98414207075848e-09,1.555876849579363e-08
1936,0.0,2.9099314957647948e-08
1937,6.295559185076627e-09,1.3850230295986421e-08
1938,2.5930428915188486e-09,1.5558256905023882e-08
1939,6.117620188206274e-09,2.4470480752825097e-08
1940,5.0715658339584024e-09,2.7893612752905028e-08
1941,2.9515025978810172e-09,1.4757512545315876e-08
1942,1.8205270180260413e-08,1.517105907566929e-08
1943,8.709705845433291e-09,2.322588166236983e-08
1944,1.927911696952833e-08,4.4984606262232774e-08
1945,8.714016175304096e-09,1.5249527862692958e-08
1946,5.568441707737293e-09,3.062643116891195e-08
1947,3.5762612871081956e-09,2.7418003867296648e-08
1948,9.784699273041042e-09,1.522064252412747e-08
1949,6.8719057111366055e-09,2.1597418964347526e-08
1950,1.1698897850465073e-08,1.701657836861159e-08
1951,1.2793682557799002e-08,2.6653504292539765e-08
1952,2.1089607837865287e-09,8.435843135146115e-09
1953,6.464296653518886e-09,1.6160740301529586e-08
1954,4.886268278880834e-09,2.14995790059902e-08
1955,1.8771215692936494e-09,4.6928039232341234e-09
1956,1.3953826538681824e-08,1.744228228517386e-08
1957,5.301022731885041e-09,7.951533653738352e-09
1958,6.617794756635931e-09,5.790570245522986e-09
1959,6.200598257066758e-09,5.425523585955716e-09
1960,8.305000243069571e-09,1.4533750203327145e-08
1961,1.111705483225478e-08,1.945484662257968e-08
1962,1.4586500007851555e-08,1.2049716779927166e-08
1963,2.5864212993553792e-09,1.3578711488548834e-08
1964,4.867174663303331e-09,1.3384730657151067e-08
1965,9.302473458205895e-09,1.1491291473930687e-08
1966,4.985167390003653e-09,1.38476865529924e-08
1967,1.0846738618397467e-08,1.7749208325312793e-08
1968,4.940557296606585e-09,1.527081394669949e-08
1969,9.991866889436096e-09,1.3171097990039016e-08
1970,6.438214850135182e-09,8.7375777724219e-09
1971,9.24911525146399e-09,1.490135304038631e-08
