year,fallait_VERB apporter_VERB,fallait_VERB rapporter_VERB
1800,6.288328968651058e-09,3.772997558826319e-08
1801,1.904946067554647e-08,2.3811825844433088e-09
1802,2.2378401354217203e-09,1.3427040812530322e-08
1803,2.7304748684287006e-08,3.90067853572873e-08
1804,1.730295728918918e-08,2.2246657849223084e-08
1805,0.0,2.842877755426798e-08
1806,4.034336598124355e-08,8.645007376628655e-09
1807,3.131650672116848e-08,2.8469550272802735e-08
1808,1.3596443970698147e-08,1.1330369531492579e-08
1809,2.710836710662079e-08,9.036122072814123e-09
1810,3.2761775514700275e-08,2.574139479349924e-08
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,4.000812481308458e-08,6.668020802180763e-08
1813,5.463909147351842e-08,6.614205716459765e-08
1814,1.5733386149463513e-08,1.2586708564299443e-08
1815,2.697223555614414e-09,1.6183340889597275e-08
1816,4.8669683394564345e-08,3.0128852301913867e-08
1817,6.227493631882908e-09,3.113746771532533e-08
1818,4.2916237674717195e-08,2.2650237241350624e-08
1819,4.0369094733705424e-08,2.070209959015301e-08
1820,5.6959109429044474e-08,5.577246042776096e-08
1821,2.859831660373402e-08,9.960103142248045e-08
1822,3.60922172149003e-08,4.3110148340019805e-08
1823,6.423746157224741e-08,4.348382276475604e-08
1824,1.1789557774477544e-08,4.884245186076441e-08
1825,2.6416328680056722e-08,4.0505039322624725e-08
1826,3.2589543508265706e-08,2.8185549894033102e-08
1827,3.133872894522938e-08,3.594736597278825e-08
1828,3.3020285172824515e-08,3.8523666034961934e-08
1829,5.401101077495696e-08,4.8009784592295546e-08
1830,4.5922078584226256e-08,6.679574937606958e-08
1831,2.8064171431196883e-08,6.236482619215167e-08
1832,3.788391467196561e-08,5.547287429408243e-08
1833,4.054269808762001e-08,5.21263281427764e-08
1834,2.7070139907436896e-08,3.547121707470069e-08
1835,3.554651328840919e-08,3.857174846189082e-08
1836,7.460032236394909e-08,3.8980349614803345e-08
1837,6.95789097449051e-08,6.74915412446353e-08
1838,2.1461350030449466e-08,3.976661844262708e-08
1839,4.194885150354821e-08,3.146163862766116e-08
1840,6.815567132889555e-08,5.095751021144679e-08
1841,3.659712533021775e-08,6.484754067059839e-08
1842,6.03743828264669e-08,6.77534757187459e-08
1843,5.847842032835615e-08,5.6706348061652534e-08
1844,5.1043620885593555e-08,4.006649589882727e-08
1845,5.022205229465726e-08,4.464182268293371e-08
1846,5.971591576781066e-08,4.859236213405893e-08
1847,6.148275133455172e-08,4.58424018745518e-08
1848,4.505324113779352e-08,1.769948809737798e-08
1849,7.876649732452279e-08,3.100383594301093e-08
1850,5.7706465383944305e-08,4.3449574604892405e-08
1851,2.5152811389261842e-08,5.546517201082679e-08
1852,9.505396292297519e-08,3.906327350478023e-08
1853,6.5094056367343e-08,6.927440665549511e-08
1854,3.533051895487915e-08,4.1565314745639625e-08
1855,7.270503488143731e-08,6.42139355022664e-08
1856,5.0736453260924463e-08,3.572260709461261e-08
1857,4.637433548282388e-08,6.248331629876702e-08
1858,3.6213201326518174e-08,3.2787628612140907e-08
1859,6.212451353349024e-08,3.3099126994784456e-08
1860,4.851814949802247e-08,3.8448344952257685e-08
1861,4.33868656557479e-08,3.4426534512022045e-08
1862,5.647482836934614e-08,4.066187742068905e-08
1863,5.544029235693415e-08,3.0467187883687075e-08
1864,3.787835112234461e-08,6.568777166648943e-08
1865,5.5070078275321066e-08,4.8009813014004976e-08
1866,5.011581194480641e-08,4.525020003143254e-08
1867,3.0572714138088486e-08,3.4454963326879806e-08
1868,5.878450082263953e-08,4.9398739321304674e-08
1869,4.0533208789383934e-08,3.320792885119772e-08
1870,5.2753250656678574e-08,5.3326655091723296e-08
1871,5.735435593123839e-08,3.823623728749226e-08
1872,8.466275147611668e-08,2.237515595027162e-08
1873,4.8486636927691507e-08,4.549363552541763e-08
1874,5.257655999457711e-08,3.525019565131515e-08
1875,6.636971505713518e-08,4.863298030954866e-08
1876,4.776351758550845e-08,5.078652520751348e-08
1877,5.504486111362894e-08,6.308512467967375e-08
1878,5.072834596830944e-08,5.012443438090486e-08
1879,4.948553566919145e-08,3.421222061206208e-08
1880,3.016387850607316e-08,5.198455355071019e-08
1881,8.367008774712303e-08,3.765154232837631e-08
1882,5.723631346654656e-08,1.3310770263785798e-08
1883,3.917990198942789e-08,4.423537092179686e-08
1884,5.2813575734944607e-08,2.706695667598069e-08
1885,4.18966337178972e-08,4.060750313783501e-08
1886,5.808117364836107e-08,2.0651084398082276e-08
1887,5.027272109714431e-08,2.6115698048556624e-08
1888,4.882273429984707e-08,1.8387781963724592e-08
1889,2.8193115397812107e-08,3.633779144252003e-08
1890,4.522526708683472e-08,2.7528423984790606e-08
1891,4.971891698346553e-08,1.5935549768641977e-08
1892,4.199903358426127e-08,1.6298132621272998e-08
1893,3.695049954899332e-08,1.6627724974682678e-08
1894,6.679631781025819e-08,3.3398158905129094e-08
