year,faut_VERB avoir_VERB,faut_VERB ravoir_VERB
1800,1.0699592166929506e-05,3.144164484325529e-09
1801,1.2077358405804262e-05,0.0
1802,1.1090735824836884e-05,0.0
1803,1.1290513612038922e-05,0.0
1804,1.0868728168134112e-05,0.0
1805,1.1070165783166885e-05,0.0
1806,9.39712299441453e-06,0.0
1807,8.330191121785901e-06,2.8469551160981155e-09
1808,7.496172656829003e-06,4.5321479902327155e-09
1809,9.998469067795668e-06,0.0
1810,9.04693024494918e-06,0.0
1811,7.89478508522734e-06,2.5070767684098882e-09
1812,9.367235179524869e-06,0.0
1813,8.917674676922616e-06,0.0
1814,8.5998690337874e-06,0.0
1815,7.449731583619723e-06,2.4275012222574333e-08
1816,1.0862609087780584e-05,6.952811659743929e-09
1817,9.11082315724343e-06,1.2454987263765815e-08
1818,9.042212695931084e-06,1.1921177378582115e-09
1819,7.528318747063167e-06,0.0
1820,7.734572136541829e-06,0.0
1821,8.467073712381534e-06,9.86148829262845e-10
1822,7.989413461473305e-06,2.0051231786055723e-09
1823,6.97322366249864e-06,2.174191138237802e-08
1824,7.35668390916544e-06,8.421112696055388e-10
1825,7.22486583981663e-06,8.805443041381977e-10
1826,6.872870017105015e-06,0.0
1827,7.287176231329795e-06,1.8434546111834038e-09
1828,7.780863597872667e-06,1.8344602503717056e-09
1829,7.740720320725814e-06,8.57317605795771e-10
1830,7.83806353865657e-06,1.0436835840010872e-09
1831,8.11834070191253e-06,0.0
1832,8.48193758429261e-06,0.0
1833,7.695004569541197e-06,2.3167257001688313e-09
1834,7.574038590973942e-06,1.8669061851994684e-09
1835,7.678047040826641e-06,0.0
1836,8.178481039067265e-06,1.3441500135158435e-09
1837,7.5353959800850134e-06,0.0
1838,6.4541854953859e-06,6.312161904276081e-10
1839,7.470391210517846e-06,1.7478688718597368e-08
1840,7.170358458097326e-06,7.64362617644565e-09
1841,6.777530870749615e-06,0.0
1842,7.285846550075803e-06,6.708265054555795e-09
1843,7.09951655153418e-06,1.1813822142769936e-09
1844,7.6098904173704796e-06,1.097712254427563e-09
1845,7.069590992614394e-06,1.674068439427856e-09
1846,7.357937192864483e-06,4.0981511517657054e-09
