year,peuvent_VERB allumer_VERB,peuvent_VERB rallumer_VERB
1800,5.973912209356058e-08,0.0
1801,9.524730337773235e-09,0.0
1802,4.699464284385613e-08,0.0
1803,4.095712213825209e-08,0.0
1804,3.460591457837836e-08,0.0
1805,3.1271653710973624e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,0.0,0.0
1808,1.8128591960930862e-08,0.0
1809,0.0,0.0
1810,2.106114038724627e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,1.4378708002027452e-08,0.0
1814,5.97868634599763e-08,0.0
1815,8.091670444798638e-09,0.0
1816,1.8540831092650478e-08,0.0
1817,3.42512151974006e-08,0.0
1818,5.0068944545955674e-08,0.0
1819,1.9666995143552413e-08,1.035105001712111e-09
1820,1.0679833017945839e-08,0.0
1821,2.1695274909916407e-08,0.0
1822,4.3110148340019805e-08,0.0
1823,1.4824030003524058e-08,3.9530747564242574e-09
1824,1.6842225392110777e-08,8.421112696055388e-10
1825,1.4088708866211164e-08,0.0
1826,3.5231937367541377e-09,0.0
1827,2.027800150017356e-08,0.0
1828,1.3758452155343548e-08,0.0
1829,1.2859763920403111e-08,0.0
1830,1.3567886369969528e-08,0.0
1831,3.1182412207897414e-09,6.236482441579483e-09
1832,2.841293600397421e-08,0.0
1833,2.6642345218874652e-08,0.0
1834,1.8669061851994684e-09,0.0
1835,1.285724948729694e-08,3.025235173481633e-09
1836,3.36037508930076e-09,6.720750067579218e-10
1837,1.3219993100221927e-08,3.478945576063097e-09
1838,1.009945904684173e-08,6.312161904276081e-10
1839,1.11863602825224e-08,0.0
1840,1.1465439264668476e-08,0.0
1841,8.346713542550788e-09,0.0
1842,2.6162233268678392e-08,1.341653010911159e-09
1843,1.1813821920725331e-08,5.906911071384968e-10
1844,1.3721403568922597e-08,2.195424508855126e-09
1845,1.6182660544927785e-08,4.464182357111213e-09
1846,9.367202125076801e-09,3.5127007969038004e-09
1847,1.4561703842730367e-08,0.0
1848,2.172209789819135e-08,0.0
1849,2.0948537127196687e-08,1.6758829879393033e-09
1850,1.2899092460827433e-08,0.0
1851,4.514607354622058e-09,6.449438760824933e-10
1852,1.1718981340891332e-08,0.0
1853,2.448492075757258e-08,0.0
1854,8.313063126763609e-09,2.5978321716024766e-09
1855,7.960405667972736e-09,0.0
1856,8.28350277259915e-09,4.141751386299575e-09
1857,1.2203773103180993e-08,0.0
1858,4.893676130990343e-09,0.0
1859,1.9859475841599306e-08,1.5276520048956854e-09
1860,8.696649622663699e-09,0.0
1861,1.4619487842537637e-08,0.0
1862,1.490935552794781e-08,4.517986262886353e-10
1863,4.994620717013731e-09,0.0
1864,8.151037178549814e-09,2.8768367688059016e-09
1865,5.6482134525026595e-09,0.0
1866,7.784980660119345e-09,0.0
1867,9.220341823379385e-09,0.0
1868,1.0867722721741302e-08,7.903798504571569e-09
1869,6.348574999037737e-09,1.953407657850903e-09
1870,1.0894693147633916e-08,0.0
1871,1.1683295220166201e-08,2.1242354542039266e-09
1872,6.652073114565837e-09,0.0
1873,1.3169209722718733e-08,0.0
1874,1.1949218503559678e-08,0.0
1875,1.1443054503956773e-08,0.0
1876,9.069021977836655e-09,0.0
1877,5.566334504436554e-09,4.329371083855449e-09
1878,4.831270938865373e-09,0.0
1879,1.832797580370027e-09,4.27652757650776e-09
1880,2.5671385017744797e-09,6.417846254436199e-10
1881,8.367009307619355e-09,0.0
1882,1.4641846846075168e-08,0.0
1883,1.9589950994713945e-08,1.8958017378167824e-09
1884,3.9610181801208455e-09,6.601696966868076e-10
1885,6.445635580831777e-09,1.2891271383708158e-09
1886,7.098810428374236e-09,6.453463874400711e-10
1887,1.1099172247952538e-08,0.0
1888,1.775372027168487e-08,6.340614699951175e-10
1889,2.255449160770695e-08,0.0
1890,1.0487018364813139e-08,0.0
1891,7.649063604731055e-09,3.1871101313640793e-09
1892,1.1283322720601063e-08,3.1342561879199593e-09
1893,1.2932674486876294e-08,0.0
1894,7.561847148451761e-09,0.0
1895,6.6204757231957956e-09,0.0
1896,5.307326134129653e-09,3.5382172747233653e-09
1897,1.1653427112179315e-09,5.826713556089658e-10
1898,4.52668391659472e-09,0.0
1899,1.492446166651007e-08,0.0
1900,1.1939421895590385e-08,1.038210628578895e-09
1901,4.470991132876634e-09,5.588738916095792e-10
1902,2.455141867585553e-09,9.820567692386817e-10
1903,7.020286574288548e-09,0.0
1904,8.061937784020756e-09,1.0749250378694342e-09
1905,4.1286072338664326e-09,0.0
1906,2.0576738091193647e-09,0.0
1907,6.1714118260169926e-09,0.0
1908,4.911389073214423e-09,0.0
1909,6.60118004702781e-09,5.500983557560346e-10
1910,1.2825961626106164e-08,1.068830135508847e-09
1911,6.384448969498635e-09,0.0
1912,6.251305251225858e-09,5.209421227725386e-10
1913,1.590896969716482e-09,3.181793939432964e-09
1914,1.3393487430235496e-09,0.0
1915,4.712304768617059e-09,1.1780761921542648e-09
1916,4.394984820521586e-09,0.0
1917,7.676496771580332e-09,1.0966424435210342e-09
1918,2.067547733020092e-08,0.0
1919,1.8415696745321952e-09,0.0
1920,1.514446346106979e-09,0.0
1921,5.300923255902035e-09,0.0
1922,1.0329110011753073e-08,7.377935484775833e-10
1923,0.0,0.0
1924,1.5469948877466777e-08,0.0
1925,1.2097995494286806e-08,1.0998177923937646e-09
1926,3.343841648018042e-09,0.0
1927,2.2298449753321847e-09,0.0
1928,5.713020723163709e-09,1.1426041224282812e-09
1929,1.5596569369336066e-08,1.1140406375176326e-09
1930,6.302162347537887e-09,0.0
1931,1.3686427990933225e-08,0.0
1932,4.383814644626227e-09,0.0
1933,4.588264879146209e-09,0.0
1934,4.7926320689839486e-09,0.0
1935,8.377798899061872e-09,1.196828414151696e-09
1936,4.849885826274658e-09,0.0
1937,1.2591118370153254e-08,0.0
1938,1.0372171566075394e-08,0.0
1939,3.058810094103137e-09,0.0
1940,0.0,0.0
1941,2.9515025978810172e-09,2.9515025978810172e-09
1942,9.102635090130207e-09,0.0
1943,5.806470415592457e-09,2.9032352077962287e-09
1944,0.0,0.0
1945,6.535512131478072e-09,0.0
1946,1.3921104269343232e-09,0.0
1947,3.5762612871081956e-09,0.0
1948,4.348755133776194e-09,0.0
1949,2.945102384188658e-09,0.0
1950,8.508289184305795e-09,1.0635361480382244e-09
1951,0.0,0.0
1952,3.1634410646574906e-09,0.0
1953,3.232148326759443e-09,0.0
1954,3.9090144454689835e-09,0.0
1955,5.631364707880948e-09,0.0
1956,3.488456634670456e-09,0.0
1957,5.301022731885041e-09,0.0
1958,2.4816730892496253e-09,0.0
1959,3.8753737996444215e-09,0.0
1960,3.460416619915918e-09,0.0
1961,2.779263708063695e-09,0.0
1962,6.341956293454132e-09,6.341956404476434e-10
1963,5.1728425987107585e-09,0.0
1964,7.300761772910391e-09,0.0
1965,6.0192477668863376e-09,0.0
1966,4.431259803538978e-09,1.1078149508847446e-09
1967,8.381570104631919e-09,0.0
1968,4.042274071025531e-09,0.0
1969,6.8126366770115965e-09,9.083515606356229e-10
1970,5.978342709767048e-09,0.0
1971,3.5968783507200897e-09,1.541519245584766e-09
1972,1.0260293725750103e-09,1.5390440033513642e-09
1973,5.513203782392395e-10,0.0
1974,3.3753431161187564e-09,0.0
1975,3.998036124386317e-09,0.0
1976,2.285410749536254e-09,1.7140580066410394e-09
1977,5.876781727920388e-09,0.0
1978,5.940591352171509e-10,0.0
1979,5.266775904289034e-09,0.0
1980,4.548120546843393e-09,5.685150683554241e-10
1981,3.1627747087981106e-09,1.2651099057237047e-09
1982,4.345251713999687e-09,0.0
1983,1.89459470334441e-09,0.0
1984,1.1598016991243298e-09,5.799008495621649e-10
1985,2.4062232206745193e-09,6.015558051686298e-10
1986,5.994485352545098e-09,5.994485463567401e-10
1987,1.2221633705067347e-09,1.8332451112712533e-09
1988,6.596209356501959e-09,5.396898483667201e-09
1989,5.488121956886971e-09,0.0
