year,peuvent_VERB attraper_VERB,peuvent_VERB rattraper_VERB
1800,1.9493819536364754e-07,0.0
1801,2.214499801311831e-07,0.0
1802,9.84649659585557e-08,0.0
1803,2.7109715006190527e-07,0.0
1804,4.449331569844617e-08,0.0
1805,5.970043304159844e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,7.024829073998262e-08,0.0
1809,3.840352036377226e-08,0.0
1810,4.44624070894406e-08,0.0
1811,1.504245972228091e-08,0.0
1812,5.3344166417446104e-08,0.0
1813,4.026038169513413e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,0.0,0.0
1816,1.1588019432906549e-08,0.0
1817,2.0395042099607963e-07,0.0
1818,8.464036227451288e-08,0.0
1819,1.8631890696951814e-08,0.0
1820,1.779972080839798e-08,0.0
1821,3.648750634965836e-08,0.0
1822,2.8071724500478012e-08,0.0
1823,1.680056804787e-08,0.0
1824,2.5263338088166165e-08,0.0
1825,2.4655239627691117e-08,0.0
1826,4.227832306469281e-08,0.0
1827,3.502563927781921e-08,0.0
1828,2.109629271274116e-08,0.0
1829,1.0287811491593857e-08,0.0
1830,6.575206867864836e-08,0.0
1831,2.182768810143898e-08,0.0
1832,3.111892965534935e-08,0.0
1833,2.4325620628928846e-08,0.0
1834,3.173740381612333e-08,0.0
1835,5.7479468296151026e-08,0.0
1836,8.736974699274924e-09,0.0
1837,2.99189295560609e-08,0.0
1838,2.7773513266993177e-08,0.0
1839,2.866504900111977e-08,0.0
1840,1.592422194107712e-08,0.0
1841,5.008027770259105e-08,0.0
1842,2.2808102073668124e-08,0.0
1843,3.5441466650354414e-08,0.0
1844,1.701453911095996e-08,0.0
1845,1.1718478631905782e-08,0.0
1846,2.985795788390533e-08,0.0
1847,2.2112217834546755e-08,0.0
1848,1.930853166243196e-08,0.0
1849,1.4245005175439474e-08,0.0
1850,1.4935791270431764e-08,6.788996032014438e-10
1851,2.7732586005413395e-08,0.0
1852,8.463708844885787e-09,0.0
1853,2.9262466227919504e-08,0.0
1854,5.143707682009335e-08,0.0
1855,1.6982198758341838e-08,0.0
1856,8.801221973442352e-09,0.0
1857,2.4895696171256532e-08,0.0
1858,2.936205500958522e-09,0.0
1859,1.476730293603623e-08,0.0
1860,1.4189270203246451e-08,0.0
1861,8.960331143725853e-09,0.0
1862,2.0782737308877586e-08,9.035972525772706e-10
1863,9.489779628779615e-09,4.994620828036034e-10
1864,2.8768367243969806e-08,0.0
1865,1.4591217123438582e-08,0.0
1866,1.897589108068587e-08,0.0
1867,1.94112459439566e-08,4.85281148598915e-10
1868,1.531360993567432e-08,0.0
1869,1.3673853160867111e-08,0.0
1870,2.0069171213776826e-08,0.0
1871,3.18635318130589e-09,0.0
1872,1.269941218851045e-08,0.0
1873,1.2570609442263958e-08,0.0
1874,2.2703515512034755e-08,0.0
1875,9.154443425529735e-09,0.0
1876,1.934724735974669e-08,0.0
1877,1.4843558382438005e-08,0.0
1878,2.0532901601200138e-08,0.0
1879,1.649517855639715e-08,0.0
1880,8.984985200299889e-09,6.417846254436199e-10
1881,1.743126887276958e-08,0.0
1882,2.9283693692150337e-08,0.0
1883,2.7805091562527195e-08,6.319338941018771e-10
1884,2.1125430293977843e-08,0.0
1885,1.2246707647989297e-08,0.0
1886,1.2906927970846027e-08,6.453463874400711e-10
1887,2.546280519766242e-08,2.6115698492645834e-09
1888,4.4384300679212174e-09,0.0
1889,3.759081934617825e-09,1.2530273485467092e-09
1890,5.243509182406569e-09,0.0
1891,1.6572972327821844e-08,0.0
1892,8.775916882086676e-09,0.0
1893,1.1700991287000306e-08,1.2316833108982905e-09
1894,1.5753848003896564e-08,0.0
1895,1.3842813118003505e-08,6.018614495673091e-10
1896,7.66613794667137e-09,6.486732040400511e-09
1897,1.2236098356765979e-08,0.0
1898,5.092519295146758e-09,5.6583548957434e-10
1899,5.527578395003729e-09,5.527578395003729e-10
1900,1.142031713641245e-08,5.191053142894475e-10
1901,1.620734302321125e-08,1.1177477832191585e-09
1902,6.874397495693074e-09,0.0
1903,1.0800440541913758e-08,2.1600881083827517e-09
1904,1.1824175416563776e-08,0.0
1905,8.257214467732865e-09,0.0
1906,1.5432553013283723e-08,0.0
1907,7.71426478252124e-09,1.5428529565042481e-09
1908,8.349361202419914e-09,9.822778146428846e-10
1909,9.901770070541716e-09,0.0
1910,1.2291546447329438e-08,5.34415089958884e-09
