year,pourront_VERB entrer_VERB,pourront_VERB rentrer_VERB
1800,2.955514730729192e-07,1.1947824418712116e-07
1801,1.976381582835529e-07,5.714838380299625e-08
1802,2.5735161557349784e-07,1.208433673127729e-07
1803,2.0478562134940148e-07,6.241085515057421e-08
1804,2.2493843232496147e-07,3.460591457837836e-08
1805,2.3311596919484145e-07,2.2743021688143017e-08
1806,5.446354407467879e-07,3.7461699520235925e-08
1807,2.2775640218242188e-07,5.693910054560547e-08
1808,3.1271821399059263e-07,2.4926814390369145e-08
1809,2.394572220509872e-07,5.421673421324158e-08
1810,2.2699229873524018e-07,4.914266327205041e-08
1811,3.8107566524558933e-07,1.7549536934780008e-08
1812,1.9470620316042186e-07,4.5342538612658245e-08
1813,2.501895153272926e-07,4.888760685162197e-08
1814,1.8250727862323401e-07,4.405347908686963e-08
1815,1.4565007688815967e-07,7.552225866902518e-08
1816,1.8772591658944293e-07,9.038654980031424e-08
1817,2.1951915130102861e-07,4.203558034987509e-08
1818,2.896846069688763e-07,6.199012148044858e-08
1819,2.2875821059642476e-07,4.864993385922389e-08
1820,2.1596996191419748e-07,4.034603762193001e-08
1821,2.3075882893408561e-07,5.719663320746804e-08
1822,1.4938167680611514e-07,3.208197085768916e-08
1823,1.4626377264903567e-07,4.842516432290722e-08
1824,2.425280456463952e-07,5.4737231636181605e-08
1825,1.2415674177645997e-07,5.459374818883589e-08
1826,3.5055776947956474e-07,5.725189922145546e-08
1827,2.5992710561695276e-07,5.1616730445402936e-08
1828,1.476740436601176e-07,4.953042775923677e-08
1829,2.666257614691858e-07,7.11573591161141e-08
1830,3.1101771469366213e-07,5.740259823028282e-08
1831,2.2607248695294402e-07,8.886987501455224e-08
1832,1.5288865995444212e-07,3.6530916958099624e-08
1833,1.9692168962137657e-07,4.054269808762001e-08
1834,2.6790104357132805e-07,6.16079063320285e-08
1835,2.0193445493532636e-07,7.638718813041123e-08
1836,4.388649870179506e-07,5.9142600150607905e-08
1837,2.3100197665826272e-07,5.98378591121218e-08
1838,2.0703890868389863e-07,3.408567295082321e-08
1839,2.726675347730634e-07,5.663094881924735e-08
1840,1.5096162542249658e-07,6.624475901162441e-08
1841,1.515249437034072e-07,4.3017674755674307e-08
1842,2.1063952715394407e-07,5.433694738599115e-08
1843,1.66574892546123e-07,3.18973185642335e-08
1844,1.8990421324360796e-07,4.006649589882727e-08
1845,2.26557247628989e-07,3.5155437672074186e-08
1846,2.49987209599567e-07,3.805426018743674e-08
1847,2.3999845666367037e-07,7.712309724183797e-08
1848,2.0032601355524093e-07,3.942158599556933e-08
1849,2.748448082456889e-07,6.368355087715827e-08
1850,2.1521117332667927e-07,3.2587180953669304e-08
1851,2.553977651587047e-07,2.579775504329973e-08
1852,2.2200960358986777e-07,7.942865209997763e-08
1853,2.1140638750694052e-07,6.330247970254277e-08
1854,2.3224620804285223e-07,4.9878380536938494e-08
1855,1.772517066456203e-07,3.767925349507095e-08
1856,3.0959591867940617e-07,4.555926480520611e-08
1857,2.62625178493181e-07,4.539803555303479e-08
1858,2.1727922216996376e-07,4.991549573674092e-08
1859,2.2660171339339286e-07,4.379269213927728e-08
1860,2.3618268585323676e-07,7.18617840789193e-08
1861,2.650371584422828e-07,6.130753149591328e-08
1862,2.2680291067445069e-07,5.69266269678792e-08
1863,2.232595477380528e-07,4.195481650981492e-08
1864,2.0521436283615913e-07,5.274200631788517e-08
1865,1.7650665995461168e-07,3.3418594114209554e-08
1866,1.931648370145922e-07,2.919367680931373e-08
1867,2.0333280303930223e-07,3.105799351033056e-08
1868,1.733895800271057e-07,4.742279102742941e-08
1869,1.215996263681518e-07,4.8835190114004945e-08
1870,1.2270864147012617e-07,4.0711746862598375e-08
1871,1.4126165126526757e-07,6.903765381593985e-08
1872,1.2820359529541747e-07,5.32165849165267e-08
1873,1.5503751171763724e-07,1.97538145840781e-08
1874,1.792382704479678e-07,2.6885741633009275e-08
1875,1.7450658162943e-07,5.89317288302027e-08
1876,1.4026754513452033e-07,5.078652520751348e-08
1877,1.3111809948895825e-07,3.0924081073635534e-08
1878,1.5158111921209638e-07,5.193616203769125e-08
1879,1.478456681525131e-07,1.9549840857280287e-08
1880,3.0035519671400834e-07,6.161132404258751e-08
1881,1.324776377487069e-07,4.113779539238749e-08
1882,1.843541639345858e-07,1.6638463051776853e-08
1883,1.9969111519912985e-07,2.6541224329434954e-08
