year,dut_VERB ajouter_VERB,dut_VERB rajouter_VERB
1800,1.8864987794131594e-08,0.0
1801,0.0,0.0
1802,2.0140561218795483e-08,0.0
1803,1.5602713787643552e-08,0.0
1804,0.0,0.0
1805,1.421438877713399e-08,0.0
1806,0.0,0.0
1807,1.4234775136401367e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,2.8081521108447305e-08,0.0
1811,1.504245972228091e-08,0.0
1812,1.600324850414836e-08,0.0
1813,2.0130190847567064e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,2.697223555614414e-09,0.0
1816,6.489290882427667e-08,0.0
1817,3.7364962679475866e-08,0.0
1818,3.457141417584353e-08,0.0
1819,3.415846450138815e-08,0.0
1820,5.933240565525466e-09,0.0
1821,6.903041693817613e-09,0.0
1822,1.604098542884458e-08,0.0
1823,9.882686669016039e-09,0.0
1824,1.0947446504872005e-08,0.0
1825,5.283265824829186e-09,0.0
1826,4.051672775062798e-08,0.0
1827,8.295545583791863e-09,0.0
1828,3.66892045633449e-08,0.0
1829,2.4862210068476998e-08,0.0
1830,2.5048406016026092e-08,0.0
1831,7.795603274018958e-09,0.0
1832,1.7588959622116818e-08,0.0
1833,2.4325620628928846e-08,0.0
1834,9.334531370086552e-09,0.0
1835,3.327758690829796e-08,0.0
1836,2.083432448785061e-08,0.0
1837,1.8090515752078318e-08,0.0
1838,2.4617431648721322e-08,0.0
1839,6.292327547896548e-09,0.0
1840,2.293087852933695e-08,0.0
1841,5.072233477676491e-08,0.0
1842,1.475818312002275e-08,0.0
1843,3.307870244384503e-08,0.0
1844,2.305195678786731e-08,0.0
1845,9.48638767539478e-09,0.0
1846,1.8148954339380907e-08,0.0
1847,1.1325769655456952e-08,0.0
1848,2.735375304041554e-08,0.0
1849,1.5920887719289567e-08,0.0
1850,2.5798184921654865e-08,0.0
1851,2.8377531435808123e-08,0.0
1852,2.7344290387532055e-08,0.0
1853,2.508211416341055e-08,0.0
1854,2.8576154775805662e-08,0.0
1855,3.1841622671890946e-08,0.0
1856,2.4332790005132665e-08,0.0
1857,1.122747050885664e-08,0.0
1858,1.468102794888182e-08,0.0
1859,8.147477359443656e-09,0.0
1860,2.288591893773173e-08,0.0
1861,1.4619487842537637e-08,0.0
1862,1.9427341513278407e-08,0.0
1863,2.2975255475898848e-08,0.0
1864,2.0617330065419992e-08,0.0
1865,2.4946274379544775e-08,0.0
1866,1.9949013108089275e-08,0.0
1867,1.261730986357179e-08,0.0
1868,1.7289560005906424e-08,0.0
1869,2.539429999615095e-08,0.0
1870,1.834895613228582e-08,0.0
1871,1.274541272522356e-08,0.0
1872,2.7213026498884574e-08,0.0
1873,2.6937019725892242e-08,0.0
1874,2.3898437007119355e-08,0.0
1875,2.9179789251543298e-08,0.0
1876,3.3857681103199866e-08,0.0
1877,2.3502300550148902e-08,0.0
1878,2.4156355138416075e-08,0.0
1879,2.3826368433788048e-08,0.0
1880,2.9522093214495726e-08,0.0
1881,4.2532295907449225e-08,0.0
1882,1.3976308999019693e-08,0.0
1883,2.211768546089843e-08,0.0
1884,1.9805090900604227e-08,0.0
1885,1.6114089618213256e-08,0.0
1886,8.38950331427668e-09,0.0
1887,1.3057849024278312e-08,0.0
