year,devaient_VERB envoyer_VERB,devaient_VERB renvoyer_VERB
1800,5.345079756580162e-08,0.0
1801,1.4287095950749062e-08,9.524730337773235e-09
1802,6.713520406265161e-09,1.1189200677108602e-08
1803,5.265916058760922e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,3.7461699520235925e-08,0.0
1807,3.701041606518629e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,2.710836710662079e-08,0.0
1810,1.8721014072298203e-08,7.020380277111826e-09
1811,7.270522672797597e-08,0.0
1812,0.0,1.3336041604361526e-08
1813,1.1502966579257645e-08,5.751483289628823e-09
1814,3.1466771410748606e-09,0.0
1815,3.236668177919455e-08,0.0
1816,4.8669683394564345e-08,4.6352077731626196e-09
1817,4.826307531402563e-08,0.0
1818,4.530047448270125e-08,2.384235475716423e-09
1819,3.726378139390363e-08,0.0
1820,7.95054262425765e-08,9.493184904840746e-09
1821,6.311352507282209e-08,4.930744257336528e-09
1822,7.017931125119503e-08,2.0051231786055723e-09
1823,5.336650943377208e-08,1.680056804787e-08
1824,2.4421225930382207e-08,1.6842225392110777e-09
1825,5.723537910284904e-08,4.4027217427355936e-09
1826,9.336463335785083e-08,4.403992281964975e-09
1827,1.8434546333878643e-08,8.295545583791863e-09
1828,3.0268594741755805e-08,2.7516904310687096e-09
1829,2.3147574523818548e-08,2.0575622983187714e-08
1830,3.339787468803479e-08,1.1480519646056564e-08
1831,5.14509785887185e-08,0.0
1832,5.0060886991332154e-08,8.117981842303834e-09
1833,4.865124125785769e-08,3.4750886612755494e-09
1834,9.241185949804276e-08,1.4935249481595747e-08
1835,5.974839467626225e-08,6.050470346963266e-09
1836,5.645430078971003e-08,5.376600054063374e-09
1837,8.906100390504434e-08,5.5663127440652715e-09
1838,6.690891751759409e-08,1.4517972601879592e-08
1839,5.103776956616457e-08,6.9914751765765e-10
1840,6.369688776430849e-08,1.0828470564661075e-08
1841,5.585877360658742e-08,1.926164561183441e-09
1842,9.525736288651387e-08,2.683306021822318e-09
1843,6.202256486176339e-08,1.063243981747064e-08
1844,8.617040947456189e-08,7.1351298203126134e-09
1845,9.988607985178533e-08,7.254296274794569e-09
1846,7.962121628679597e-08,9.367202125076801e-09
1847,7.33478415781974e-08,1.0786447290911383e-08
1848,7.401604307233356e-08,4.02261068899179e-09
1849,1.0139092410099693e-07,3.3517659758786067e-09
1850,5.295417082606946e-08,8.82569484161877e-09
1851,3.031236062156495e-08,9.029214709244116e-09
1852,2.799534470909748e-08,2.6042181744401205e-09
1853,3.0456853039595444e-08,2.9859659189668264e-09
1854,5.0917510208137173e-08,1.558699302961486e-08
1855,3.02495415382964e-08,0.0
1856,4.7630141608578924e-08,1.5531567143511893e-09
1857,4.149282872845106e-08,9.763017949637742e-09
1858,5.529853908115001e-08,1.1744822003834088e-08
1859,3.106225676674512e-08,3.5645213447565993e-09
1860,3.8448344952257685e-08,1.8308735638683515e-09
1861,4.480165571862926e-08,2.357981809808507e-09
1862,8.313094923551034e-08,8.584174260306554e-09
1863,6.592899381985262e-08,6.493007020935693e-09
1864,4.698833322436258e-08,4.794727948009836e-10
1865,5.883555331820389e-08,8.943004559114343e-09
1866,7.833637027943041e-08,1.6056523222118813e-08
1867,4.561642796829801e-08,7.76449837758264e-09
1868,4.6928803953960596e-08,1.4819622196071691e-09
1869,2.9301114423674335e-08,9.767038733343725e-09
1870,3.1537268796455464e-08,5.160643912205387e-09
1871,3.186353225714811e-08,1.0621177271019633e-09
1872,3.3260366905096816e-08,5.442605477412599e-09
1873,4.19020302899753e-08,7.183205141814142e-09
1874,3.525019565131515e-08,2.9873046258899194e-09
1875,3.20405533216217e-08,6.865832347102696e-09
1876,5.622793608495158e-08,3.627608879952504e-09
1877,3.587193120324628e-08,1.2369631985365004e-09
1878,4.227361927178208e-08,9.662541877730746e-09
1879,2.6270098985037293e-08,6.10932526790009e-10
1880,2.1820676820993867e-08,6.417846254436199e-10
1881,3.2073533162702006e-08,6.972507571312292e-10
1882,4.45910792734594e-08,5.324308105514319e-09
1883,4.2971503688704615e-08,9.479008689083912e-09
1884,4.8192386969958534e-08,1.9805090900604227e-09
1885,3.609556031847205e-08,7.090199094506033e-09
1886,4.7755634113855194e-08,1.5488312854472497e-08
1887,3.7867764035581786e-08,1.1099172247952538e-08
1888,3.7409627395845746e-08,6.340614699951175e-09
1889,3.633779144252003e-08,4.385595886446936e-09
1890,2.4906668727453507e-08,1.3108772956016423e-09
1891,3.4420789774003424e-08,1.3385862196457765e-08
1892,4.5133290882404253e-08,3.1342561879199593e-09
1893,3.387129154930335e-08,3.695050043717174e-09
1894,4.4740929183717526e-08,0.0
1895,6.560289733670288e-08,9.629783193076946e-09
1896,5.6021775662884465e-08,1.2973464080801023e-08
1897,3.612562338162206e-08,1.1070755867592652e-08
1898,3.281845906144554e-08,1.13167097914868e-09
1899,3.6482017407024614e-08,2.7637891975018647e-09
1900,5.3467847038746186e-08,3.114631885736685e-09
1901,7.097698073721403e-08,3.353243460679778e-09
1902,4.910283735171106e-08,3.928227076954727e-09
1903,3.0241231741001684e-08,2.7001101354784396e-09
1904,4.78341632970114e-08,1.0211787859759625e-08
1905,3.096455358786443e-08,7.2250627702885595e-09
1906,4.989858837234351e-08,4.115347618238729e-09
1907,3.9085609415678846e-08,1.0285686968813934e-08
1908,4.6167055955947944e-08,6.875944702500192e-09
1909,4.455796798197298e-08,2.7504918342913243e-09
1910,3.5271394693836555e-08,1.068830135508847e-09
1911,3.298632123005518e-08,2.128149656499545e-09
1912,4.428008182344456e-08,1.5628263128064646e-09
1913,1.96210621083992e-08,3.181793939432964e-09
1914,2.74566485103378e-08,8.036092680185902e-09
