year,aient_VERB usé_VERB
1800,3.458580977167003e-08
1801,2.6193008650921e-08
1802,3.8043282302169246e-08
1803,1.3652374342143503e-08
1804,1.9774807569206132e-08
1805,5.1171799242411e-08
1806,4.3225035994964855e-08
1807,8.540865792383556e-09
1808,3.852325747288887e-08
1809,1.3554183553310395e-08
1810,3.2761775514700275e-08
1811,2.757784400841956e-08
1812,2.6672082320544632e-09
1813,1.7254450312975678e-08
1814,6.293354282149721e-09
1815,1.0788894222457657e-08
1816,3.244645441213834e-08
1817,2.490997452753163e-08
1818,3.814776761146277e-08
1819,1.8631890696951814e-08
1820,4.746592452420373e-09
1821,2.070912508145284e-08
1822,4.411270992932259e-08
1823,1.087095569118901e-08
1824,2.6947560627377243e-08
1825,2.201360693732113e-08
1826,3.963592831723872e-08
1827,3.2260455640198415e-08
1828,3.0268594741755805e-08
1829,1.8860987438529264e-08
1830,2.400472176589119e-08
1831,1.2472964883158966e-08
1832,1.6235963684607668e-08
1833,1.853380560135065e-08
1834,2.14694217959277e-08
1835,2.0420337421001022e-08
1836,2.5538851033957144e-08
1837,2.922314124020886e-08
1838,3.092959488526503e-08
1839,2.6567605004856887e-08
1840,2.229391071750797e-08
1841,4.6227949468402585e-08
1842,3.4212153110502186e-08
1843,3.839492279666956e-08
1844,3.3480223038395707e-08
1845,2.3436957263811564e-08
1846,4.27378594736183e-08
1847,2.7505439703645607e-08
1848,2.574470947536156e-08
1849,2.011059585527164e-08
1850,2.1045888587423178e-08
1851,2.644269869733762e-08
1852,4.166749079104193e-08
1853,3.0456853039595444e-08
1854,8.832629738719788e-09
1855,1.0613874223963649e-08
1856,2.3815070804289462e-08
1857,2.2943092758964667e-08
1858,2.6425849952715907e-08
1859,3.8700516569178944e-08
1860,3.7990627532735743e-08
1861,2.8295781717702084e-08
1862,1.1294965851504912e-08
1863,1.4983863039219614e-08
1864,2.445311331200628e-08
1865,3.2006543193574544e-08
1866,1.9462451206209153e-08
1867,2.0867089389753346e-08
1868,2.0253484223076157e-08
1869,3.564969119906891e-08
1870,4.6445794765759274e-08
1871,2.549082545044712e-08
1872,2.1770421909650395e-08
1873,2.5141218884527916e-08
1874,1.1949218503559678e-08
1875,2.9179789251543298e-08
1876,3.808989390563511e-08
1877,1.6699003069220453e-08
1878,3.8650167510922984e-08
1879,1.9549840857280287e-08
1880,2.3104245627791897e-08
1881,1.5339516323820135e-08
1882,1.7304001787010748e-08
1883,1.579834751908038e-08
1884,2.6406787867472303e-08
1885,1.2246707647989297e-08
1886,2.710454793941608e-08
1887,3.525619263200497e-08
1888,3.297119732792453e-08
1889,3.257871128425904e-08
1890,1.4419650362640368e-08
1891,2.039750413018737e-08
1892,1.4417578242387208e-08
1893,1.4164357686752282e-08
1894,2.898708117982096e-08
1895,2.4074457982692365e-08
1896,2.8305738197786923e-08
1897,2.2724183423861177e-08
1898,3.451596342074481e-08
1899,1.6029977345510815e-08
1900,2.7512582434496835e-08
1901,1.900171220370339e-08
1902,1.6694965410124496e-08
1903,3.94216073118514e-08
1904,2.418581246388385e-08
1905,2.9932401446330914e-08
1906,3.600929332492342e-08
1907,3.3428481316377656e-08
1908,2.3083527977973972e-08
1909,2.640472018811124e-08
1910,3.7943468811363346e-08
1911,2.500575924102577e-08
1912,2.5526164293410147e-08
1913,1.9090762748419365e-08
1914,2.0759905794420774e-08
1915,2.4739600590351074e-08
1916,1.2086208478478966e-08
1917,2.3029491202919417e-08
1918,1.2635013924011673e-08
1919,2.025726608678724e-08
1920,2.4988365154854364e-08
1921,1.6660044011018726e-08
1922,3.6889677090812256e-08
1923,2.1231896241147297e-08
1924,1.2891624656674594e-08
1925,1.7597084678300234e-08
1926,2.1177662290483568e-08
1927,1.1149224654616319e-08
1928,2.0566874425753667e-08
1929,2.8965056131369238e-08
1930,3.046045193855207e-08
1931,1.4826963656844327e-08
1932,1.4247397928102146e-08
1933,2.2941325283909464e-08
1934,2.875579241390369e-08
1935,2.5133395809007197e-08
1936,1.576212937948185e-08
1937,1.1332006444320086e-08
1938,1.5558256905023882e-08
1939,2.141167065872196e-08
1940,1.7750480196809804e-08
1941,1.4757512545315876e-08
1942,9.102635090130207e-09
1943,2.0322646676618206e-08
1944,3.855823393905666e-08
1945,6.535512131478072e-09
1946,1.9489545977080525e-08
1947,1.0728784083369192e-08
1948,3.261566305923225e-08
1949,8.835307596655184e-09
1950,2.7651939404904624e-08
1951,1.9190522948520083e-08
1952,1.2653764258629963e-08
1953,1.508335856215126e-08
1954,2.34540866728139e-08
1955,1.9709776921672528e-08
1956,2.1802854632824165e-08
1957,2.3854601849393475e-08
1958,9.099467845885556e-09
1959,1.5501495198577686e-08
1960,9.689166802218097e-09
1961,1.250668635321972e-08
1962,2.0928455413127267e-08
1963,2.0691370394843034e-08
1964,1.8251904876365188e-08
1965,1.91521518644322e-08
1966,1.9940669560014612e-08
1967,2.218651040664099e-08
