year,grand_ADJ aliment_NOUN,grand_ADJ ralliement_NOUN
1800,1.2576657937302116e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,8.951360541686881e-09,0.0
1803,2.5354410126965377e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877755426798e-08,0.0
1806,2.881669125542885e-09,0.0
1807,1.4234775136401367e-08,0.0
1808,0.0,0.0
1809,6.7770917766551975e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,0.0,0.0
1813,1.4378708002027452e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,1.2454987263765815e-08,0.0
1818,9.536941902865692e-09,0.0
1819,2.070209959015301e-08,0.0
1820,2.7292905713238724e-08,0.0
1821,1.972297702934611e-08,0.0
1822,6.015369535816717e-09,2.4061478143266868e-08
1823,7.906149512848515e-09,0.0
1824,1.3473780313688621e-08,0.0
1825,2.1133063299316746e-08,0.0
1826,8.807984341885344e-10,0.0
1827,4.608636583469661e-09,0.0
1828,8.255071293206129e-09,0.0
1829,2.571952872898464e-09,1.714635211591542e-09
1830,6.262101504006523e-09,2.0873671680021744e-09
1831,3.4300654760954785e-08,0.0
1832,2.705993873419743e-09,0.0
1833,1.7375443306377747e-08,0.0
1834,6.534171426153534e-09,0.0
1835,4.5378527602224494e-09,7.563087933704082e-10
1836,8.064899859050456e-09,5.376600054063374e-09
1837,8.349468672008697e-09,0.0
1838,1.8936486156917454e-08,6.312161904276081e-09
1839,7.690622361167243e-09,0.0
1840,7.64362617644565e-09,0.0
1841,3.852329122366882e-09,0.0
1842,1.341653010911159e-08,1.7441490030023488e-08
1843,1.5357969118667825e-08,0.0
1844,2.085653250105679e-08,0.0
1845,8.37034175305007e-09,0.0
1846,9.952652035849496e-09,0.0
1847,1.0247124926365814e-08,0.0
1848,2.333114323960217e-08,0.0
1849,7.54147322368226e-09,0.0
1850,1.6972489191857676e-08,2.0366988096043315e-09
1851,1.2253933867611977e-08,1.2898877521649865e-09
1852,4.557382027314816e-09,0.0
1853,5.3747388761848924e-09,5.971931837933653e-10
1854,8.832629738719788e-09,1.0391328908454511e-09
1855,3.714855978387277e-09,0.0
1856,1.0354378687793542e-08,1.0354378465748937e-09
1857,1.610898081594314e-08,9.763018171682347e-10
1858,5.3830437884982985e-09,0.0
1859,2.5460867192350634e-08,0.0
1860,2.8378540406492903e-08,4.577183909670879e-10
1861,9.903524222920623e-09,2.8295783494058924e-09
1862,1.0391368654438793e-08,0.0
1863,1.6482248454963155e-08,0.0
1864,1.726102105692462e-08,0.0
1865,9.413688495385486e-09,0.0
1866,1.2650593461671633e-08,4.865612912574591e-10
1867,4.367530337390235e-09,0.0
1868,9.385760613156435e-09,2.9639244392143382e-09
1869,1.1720445947105418e-08,0.0
1870,8.027668307875047e-09,0.0
1871,6.37270636261178e-09,0.0
1872,6.047339518033823e-09,0.0
1873,5.9860045809045914e-09,0.0
1874,5.377148060148329e-09,0.0
1875,1.0298748520654044e-08,0.0
1876,1.0882827083946722e-08,0.0
1877,6.184816214727107e-09,0.0
1878,1.3889904337816006e-08,0.0
1879,6.109325489944695e-09,0.0
1880,5.776061406947974e-09,0.0
1881,8.367009307619355e-09,0.0
1882,9.983077475794744e-09,6.655385131892899e-10
1883,9.479008689083912e-09,0.0
1884,4.621187876807653e-09,6.601696966868076e-10
1885,1.933690763067375e-09,0.0
1886,9.034849313138693e-09,0.0
1887,1.6322312390570914e-08,6.528924623161458e-10
1888,1.5851536971922542e-08,6.340614699951175e-10
1889,6.265136853755848e-09,0.0
1890,6.554386366985909e-09,0.0
1891,5.099376032546843e-09,3.1871101313640793e-09
1892,3.761107425503951e-09,0.0
1893,4.310891643655168e-09,0.0
1894,6.301539290376468e-10,0.0
1895,1.023164486468886e-08,6.018614495673091e-10
1896,5.307326134129653e-09,0.0
1897,7.574727511894253e-09,1.1653427112179315e-09
1898,1.3014216371232123e-08,5.6583548957434e-10
1899,3.8693048765026106e-09,0.0
1900,9.863001082521805e-09,5.191053142894475e-10
1901,1.2295225282343836e-08,5.588738916095792e-10
1902,2.9461704187383475e-09,0.0
1903,4.320176216765503e-09,1.0800440541913758e-09
1904,8.599400302955473e-09,0.0
1905,4.64468330463319e-09,0.0
1906,5.658602919567102e-09,4.115347618238729e-09
1907,1.1828539925318182e-08,0.0
1908,8.349361202419914e-09,0.0
1909,6.60118004702781e-09,0.0
1910,9.619471441624228e-09,3.206490406526541e-09
1911,1.5429085564733214e-08,0.0
1912,8.335073964360618e-09,6.772247651554153e-09
1913,3.71209285532359e-09,6.363587878865928e-09
1914,4.68772043404897e-09,0.0
1915,3.534228465440492e-09,1.1780761921542648e-09
1916,6.592477230782379e-09,1.0987462051303964e-09
1917,1.0966424435210342e-09,6.57985488317081e-09
1918,1.033773866510046e-08,0.0
1919,1.8415696745321952e-09,9.207848372660976e-10
1920,4.543339038320937e-09,1.514446346106979e-09
1921,1.5145494858259667e-09,0.0
1922,0.0,8.115729421831475e-09
1923,5.307974060286824e-09,2.1231896241147297e-09
1924,9.02413699321869e-09,2.578324886925998e-09
1925,1.0998177923937646e-09,6.598906754362588e-09
1926,3.343841648018042e-09,6.687683296036084e-09
1927,3.3447675740205796e-09,4.4596899506643695e-09
1928,3.4278122562625413e-09,0.0
1929,7.798284684668033e-09,0.0
1930,7.352522590764465e-09,0.0
1931,3.4216069977333063e-09,1.1405356659111021e-09
