year,veut_VERB échauffer_VERB,veut_VERB réchauffer_VERB
1800,3.458580977167003e-08,0.0
1801,7.143547975374531e-09,0.0
1802,1.7902721083373763e-08,3.5805442166747525e-08
1803,1.755305234496518e-08,0.0
1804,6.179627121127851e-08,2.4718509461507665e-09
1805,4.5486043376286034e-08,2.842877711017877e-09
1806,0.0,2.881669125542885e-09
1807,1.1387820464392462e-08,1.1387820464392462e-08
1808,1.3596443970698147e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,1.1700633351097167e-08,0.0
1811,5.766276700569506e-08,0.0
1812,6.934741492159446e-08,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,0.0
1815,3.236668177919455e-08,3.506390555685357e-08
1816,1.8540831092650478e-08,0.0
1817,3.269434145636296e-08,1.8682481339737933e-08
1818,7.152706160695743e-08,4.768470951432846e-09
1819,1.6561680027393777e-08,1.3456364911235141e-08
1820,2.1359666035891678e-08,4.746592452420373e-09
1821,2.6626018723163725e-08,0.0
1822,0.0,1.0025615893027862e-09
1823,2.9648060007048116e-08,5.929612356680991e-09
1824,8.926379280183028e-08,0.0
1825,4.754939197937347e-08,1.3208164340028361e-08
1826,3.5231937367541377e-09,8.807984341885344e-10
1827,2.8573547083965423e-08,2.7651818612639545e-09
1828,8.805409379419871e-08,3.668920500743411e-09
1829,2.1432940755516938e-08,1.714635211591542e-09
1830,1.2524203008013046e-08,1.0436835840010872e-09
1831,1.091384405071949e-08,3.1182412207897414e-09
1832,3.92369123858316e-08,1.488296597074168e-08
1833,4.6334514003376626e-09,0.0
1834,1.5868701908061666e-08,8.401078055442213e-09
1835,3.857174846189082e-08,1.4369867074037757e-08
1836,2.352262562510532e-08,4.704525213838906e-09
1837,2.7831564608504777e-08,4.87052354003481e-09
1838,2.3354999711955315e-08,2.5248647617104325e-09
1839,4.194885150354821e-08,6.9914751765765e-10
1840,2.229391071750797e-08,3.821813088222825e-09
1841,1.219904177673925e-08,1.2841097074556274e-09
1842,1.609983613093391e-08,3.3541325272778977e-09
1843,3.18973185642335e-08,2.3627644285539873e-09
1844,1.975882035765153e-08,2.7442805805577564e-09
1845,9.48638767539478e-09,6.138250796539069e-09
1846,1.7563503984519002e-09,1.1123552745573306e-08
1847,1.294373674909366e-08,4.853901280910122e-09
1848,1.206783295515379e-08,0.0
1849,7.54147322368226e-09,1.6758829879393033e-09
1850,1.2220192857625989e-08,6.788996032014438e-10
1851,1.096404567135778e-08,1.9348316282474798e-09
1852,1.0416872697760482e-08,3.2552727180501506e-09
1853,5.971931837933653e-09,7.763511611358354e-09
1854,3.63696517347023e-09,3.63696517347023e-09
1855,1.4859423913549108e-08,1.1144567935161831e-08
1856,2.2261913201759853e-08,4.141751386299575e-09
1857,7.810414537345878e-09,7.322263684272912e-09
1858,4.404308473482388e-09,5.872411001917044e-09
1859,1.6804172275897145e-08,4.073738679721828e-09
1860,1.4189270203246451e-08,7.781213007262977e-09
1861,1.8863854478468056e-08,8.960331143725853e-09
1862,5.873382225018986e-09,6.776979422085105e-09
1863,1.3485475847119233e-08,5.494082966350788e-09
1864,2.3973640850272204e-09,2.3973640850272204e-09
1865,0.0,9.41368871743009e-10
1866,4.865612912574591e-10,1.4596839292835284e-09
1867,1.7955402498159856e-08,5.338092634588065e-09
1868,1.7289560005906424e-08,3.457911734727759e-09
1869,1.70923168951731e-08,4.395167341186834e-09
1870,1.7202146374017957e-09,5.734048791339319e-09
1871,7.434824311758348e-09,1.0621177271019633e-09
1872,4.23313739617015e-09,5.442605477412599e-09
1873,2.9930022904522957e-09,5.9860045809045914e-09
1874,6.572069999322139e-09,1.3741600746186577e-08
1875,5.149374260327022e-09,1.1443054281912168e-09
1876,1.209202959984168e-09,6.04601479992084e-09
1877,6.184815992682502e-10,5.566334504436554e-09
1878,1.1474268646338714e-08,1.2078177347163432e-09
1879,4.27652757650776e-09,6.109325489944695e-09
1880,6.417846254436199e-10,6.417846254436199e-10
1881,3.4862537301449947e-09,0.0
1882,1.3310770263785798e-09,6.655385131892899e-10
1883,3.159669414998234e-09,6.319338941018771e-10
1884,3.300848483434038e-09,4.621187876807653e-09
1885,6.445635691854079e-10,0.0
1886,3.872078213618124e-09,5.808117542471791e-09
1887,0.0,1.3057849246322917e-09
1888,1.268122939990235e-09,6.974675947901687e-09
1889,6.265136742733546e-10,6.265136742733546e-10
1890,0.0,2.6217545912032847e-09
1891,1.2748440081367107e-09,5.099376032546843e-09
1892,0.0,4.387958441043338e-09
1893,0.0,4.310891643655168e-09
1894,8.192000855444803e-09,1.8904617871129403e-09
1895,0.0,6.018614495673091e-09
1896,1.7691086373616827e-09,5.89702897624278e-10
1897,0.0,6.992056267307589e-09
1898,4.52668391659472e-09,5.092519295146758e-09
1899,1.6582735185011188e-09,3.8693048765026106e-09
1900,1.038210628578895e-09,2.07642125715779e-09
1901,0.0,0.0
1902,5.4013122863239005e-09,6.38336894454028e-09
1903,0.0,3.2401321625741275e-09
1904,1.0749250378694342e-09,2.6873125946735854e-09
1905,2.0643036169332163e-09,4.1286072338664326e-09
1906,3.600929110447737e-09,7.201858220895474e-09
1907,5.142843373384665e-10,4.6285588695127444e-09
1908,0.0,4.4202499438483756e-09
1909,0.0,1.6502950117569526e-09
1910,0.0,2.137660271017694e-09
1911,0.0,3.7242617878519013e-09
1912,2.0837684910901544e-09,2.0837684910901544e-09
1913,5.30298971401777e-10,4.242391771214216e-09
1914,0.0,4.018046340092951e-09
1915,2.3561523843085297e-09,0.0
1916,0.0,3.2962386153911893e-09
1917,0.0,1.0966424435210342e-09
1918,0.0,2.2972752589112133e-09
1919,0.0,3.6831393490643904e-09
1920,0.0,7.572231730534895e-10
1921,2.2718242842501013e-09,7.572747429129834e-10
1922,0.0,1.4755870969551665e-09
1923,0.0,3.1847844361720945e-09
1924,0.0,1.289162443462999e-09
1925,1.0998177923937646e-09,2.1996355847875293e-09
1926,0.0,1.1146138456652466e-09
