year,fallait_VERB avoir_VERB,fallait_VERB ravoir_VERB
1800,5.502287763192726e-07,0.0
1801,4.738553229799436e-07,0.0
1802,2.64065135979763e-07,0.0
1803,2.4379241381211614e-07,0.0
1804,5.06729463722877e-07,0.0
1805,3.610454655245121e-07,0.0
1806,3.227469278499484e-07,0.0
1807,5.580031938734464e-07,2.8469551160981155e-09
1808,4.260218986473774e-07,0.0
1809,4.563241589039535e-07,0.0
1810,3.9548143604406505e-07,0.0
1811,5.966842877569434e-07,0.0
1812,4.640942279365845e-07,0.0
1813,6.959294864827825e-07,0.0
1814,5.380817924560688e-07,0.0
1815,6.797003493375087e-07,0.0
1816,5.330488761501329e-07,0.0
1817,7.92448588526895e-07,0.0
1818,5.710243726753106e-07,0.0
1819,5.931151463300921e-07,0.0
1820,5.90950776313548e-07,0.0
1821,8.224481007346185e-07,0.0
1822,6.787341817471315e-07,0.0
1823,7.174830898293294e-07,0.0
1824,6.147412250356865e-07,0.0
1825,7.48462639421632e-07,8.805443041381977e-10
1826,5.672341671925096e-07,0.0
1827,6.912954972904117e-07,0.0
1828,5.695999334420776e-07,0.0
1829,8.813224781079043e-07,0.0
1830,8.307721373057575e-07,0.0
1831,6.719809562127921e-07,0.0
1832,8.10445158094808e-07,1.3529969367098715e-09
1833,6.996511388024373e-07,0.0
1834,6.272804853324487e-07,0.0
1835,7.411825890812906e-07,0.0
1836,5.813448638036789e-07,2.016224964762614e-09
1837,8.168564136212808e-07,0.0
1838,7.650340307918668e-07,0.0
1839,6.676858674836694e-07,0.0
1840,7.605408427480143e-07,0.0
1841,7.608350074406189e-07,0.0
1842,7.540089654867188e-07,0.0
1843,6.88745842580829e-07,0.0
1844,7.66752009440097e-07,5.488561161115513e-09
1845,7.979725751283695e-07,0.0
1846,7.312272032322653e-07,0.0
1847,7.555906336165208e-07,0.0
1848,7.699277375650126e-07,0.0
1849,7.859891297812283e-07,0.0
1850,8.411566341237631e-07,0.0
1851,7.204022836049262e-07,6.449438760824933e-10
1852,5.696727498616383e-07,0.0
1853,6.969244736865221e-07,5.971931837933653e-10
1854,6.193232024997997e-07,0.0
1855,6.548760325131298e-07,0.0
1856,7.144521418922523e-07,2.0708756931497874e-09
1857,7.580983378829842e-07,0.0
1858,6.904976999067003e-07,0.0
1859,6.054594337001618e-07,0.0
1860,7.071749337228539e-07,1.8308735638683515e-09
1861,6.13075258115714e-07,0.0
1862,7.04805870554992e-07,0.0
1863,6.712770641570387e-07,0.0
1864,6.487267114607675e-07,0.0
1865,6.406015131688036e-07,6.118897832863013e-09
1866,6.821589408900763e-07,0.0
1867,6.061161457182607e-07,0.0
1868,6.189662258293538e-07,0.0
1869,5.772319582320051e-07,9.767038289254515e-10
1870,7.568944511149311e-07,0.0
1871,6.63823584545753e-07,0.0
1872,6.537173931064899e-07,0.0
1873,6.752213153049524e-07,0.0
