year,fallut_VERB assembler_VERB,fallut_VERB rassembler_VERB
1800,0.0,1.5720821977538435e-08
1801,2.3811825844433088e-09,4.7623651688866175e-09
1802,6.042168365638645e-08,3.8043282302169246e-08
1803,1.1702034896643454e-08,1.1702034896643454e-08
1804,9.887403784603066e-09,1.4831105232815389e-08
1805,4.5486043376286034e-08,1.421438877713399e-08
1806,1.4408345627714425e-08,0.0
1807,1.1387820464392462e-08,2.8469551160981155e-09
1808,1.1330369531492579e-08,0.0
1809,1.3554183553310395e-08,4.518061036407062e-09
1810,3.7442028144596406e-08,2.106114038724627e-08
1811,2.0056614147279106e-08,0.0
1812,8.00162425207418e-09,2.6672082320544632e-09
1813,5.751483289628823e-09,0.0
1814,1.5733386149463513e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,6.952811659743929e-09,1.622322720606917e-08
1817,1.8682481339737933e-08,6.227493631882908e-09
1818,2.741870730460505e-08,1.1921177378582115e-09
1819,1.2421260464634543e-08,0.0
1820,1.898636980968149e-08,2.0173018810965004e-08
1821,1.2819934447350079e-08,9.86148829262845e-10
1822,6.015369535816717e-09,1.604098542884458e-08
1823,1.087095569118901e-08,0.0
1824,8.421112696055388e-10,1.6842225392110777e-09
1825,2.6416328680056722e-08,1.584979791857677e-08
1826,2.2019960965735663e-08,8.807984341885344e-10
1827,1.935627302884768e-08,1.8434546111834038e-09
1828,1.9261833017480967e-08,1.8344602503717056e-09
1829,1.628903412154159e-08,0.0
1830,6.262101504006523e-09,3.1310507520032616e-09
1831,3.1182412207897414e-09,3.1182412207897414e-09
1832,6.764984572527055e-09,6.764984572527055e-09
1833,0.0,1.1583628500844156e-09
1834,2.0535967593104942e-08,0.0
1835,2.4958190181223472e-08,5.294161553592858e-09
1836,5.376600054063374e-09,0.0
1837,1.2524203896191466e-08,9.045257876039159e-09
1838,2.0830134062066463e-08,1.8936485712828244e-09
1839,1.3283802502428443e-08,0.0
1840,6.369688665408546e-10,0.0
1841,6.420548537278137e-10,9.630822361827995e-09
1842,6.708265054555795e-09,2.683306021822318e-09
1843,5.906910960362666e-09,8.860366662588604e-09
1844,2.7442805805577564e-09,0.0
1845,6.696273757711424e-09,5.580227835366713e-09
1846,1.1123552745573306e-08,0.0
1847,1.77976389181822e-08,5.9325460100012606e-09
1848,2.413566457803995e-09,0.0
1849,0.0,5.865590679832167e-09
1850,7.467895635215882e-09,5.431196825611551e-09
1851,1.2898877521649865e-09,1.9348316282474798e-09
1852,4.557382027314816e-09,1.9531636308300904e-09
1853,7.166318205520383e-09,4.180352064508952e-09
1854,3.117398783558656e-09,2.5978321716024766e-09
1855,7.429711956774554e-09,3.714855978387277e-09
1856,2.0708756931497874e-09,5.177189232874468e-10
1857,1.3668225662399891e-08,1.9526036343364694e-09
1858,6.8511463169329545e-09,5.872411001917044e-09
1859,7.129042689513199e-09,1.018434669930457e-09
1860,9.154367819341758e-10,2.746310290291376e-09
1861,9.431927461278633e-10,1.4147891747029462e-09
1862,9.035972858839614e-09,4.517986262886353e-10
1863,6.99246927027275e-09,2.4973103585068657e-09
1864,5.274200631788517e-09,1.9178911792039344e-09
1865,2.3534221238463715e-09,9.41368871743009e-10
1866,5.838735717134114e-09,4.865612912574591e-10
1867,1.94112459439566e-09,0.0
1868,1.4819622196071691e-09,9.87974813071446e-10
1869,2.441759683335931e-09,1.0255390314739543e-08
1870,5.160643912205387e-09,5.734048791339319e-10
1871,2.1242354542039266e-09,0.0
1872,1.8142017887967654e-09,1.2094678591978436e-09
1873,7.183205141814142e-09,0.0
1874,1.7923826867161097e-09,4.182226565063729e-09
1875,1.0298748520654044e-08,5.721527251978387e-09
1876,6.04601479992084e-09,9.069021977836655e-09
1877,6.184816214727107e-09,6.80329748092845e-09
1878,7.2469061862534545e-09,1.2078177347163432e-09
1879,6.10932526790009e-10,9.774920428640144e-09
1880,1.9253538763308597e-09,0.0
1881,0.0,6.2752567586699115e-09
1882,7.986462158271479e-09,1.3310770263785798e-09
1883,6.319338829996468e-09,0.0
1884,5.941527270181268e-09,2.6406787867472303e-09
1885,2.5782542767416317e-09,0.0
1886,1.936039106809062e-09,1.936039106809062e-09
1887,1.9586774424595887e-09,4.570247291724172e-09
1888,1.268122939990235e-09,3.804368819970705e-09
1889,1.8795409673089125e-09,6.891650361495749e-09
1890,5.243509182406569e-09,0.0
