year,pourrait_VERB éveiller_VERB,pourrait_VERB réveiller_VERB
1800,0.0,3.144164484325529e-09
1801,4.7623651688866175e-09,0.0
1802,0.0,2.6854081625060644e-08
1803,7.801356893821776e-09,2.3404069793286908e-08
1804,9.145848167690929e-08,4.943701892301533e-09
1805,5.685755422035754e-09,5.685755422035754e-09
1806,8.645007376628655e-09,5.76333825108577e-09
1807,5.693910232196231e-09,1.1387820464392462e-08
1808,0.0,0.0
1809,0.0,4.518061036407062e-09
1810,0.0,2.106114038724627e-08
1811,0.0,1.504245972228091e-08
1812,2.6672082320544632e-09,8.00162425207418e-09
1813,1.4378708002027452e-08,8.627225156487839e-09
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,2.697223555614414e-09,2.697223555614414e-09
1816,6.952811659743929e-09,6.952811659743929e-09
1817,9.341240669868967e-09,3.89218364205135e-08
1818,8.344824387052086e-09,8.344824387052086e-09
1819,3.1053151161586356e-09,1.8631890696951814e-08
1820,2.3732962262101864e-09,2.610625848831205e-08
1821,1.97229765852569e-09,2.465372084259343e-08
1822,1.303330066093622e-08,1.5038423839541792e-08
1823,1.8777104315859106e-08,1.3835761869529506e-08
1824,1.0947446504872005e-08,1.431589158329416e-08
1825,2.0252519661312363e-08,9.68598712347557e-09
1826,7.927186018719112e-09,5.284790383086602e-09
1827,7.373818444733615e-09,2.6730091917670507e-08
1828,1.2841221419535032e-08,1.0089530988466322e-08
1829,6.858540846366168e-09,2.914879893012312e-08
1830,9.39315203396518e-09,2.7135772739939057e-08
1831,3.1182412207897414e-09,3.274153215215847e-08
1832,2.1647950987357945e-08,1.2176972319366541e-08
1833,1.7375443306377747e-08,2.4325620628928846e-08
1834,1.4935249481595747e-08,2.8003592333902816e-08
1835,1.5126175867408165e-08,2.3445572594482655e-08
1836,8.064899859050456e-09,2.1506400216253496e-08
1837,5.5663127440652715e-09,1.461157062010443e-08
1838,1.0730675015224733e-08,2.7142295522253335e-08
1839,2.866504900111977e-08,3.2859933440931854e-08
1840,2.165694112932215e-08,2.0383003729307347e-08
1841,1.4125206782011901e-08,1.9903700021473014e-08
1842,1.8112315203211438e-08,2.0795621225033756e-08
1843,6.97015494210973e-08,1.8902115428431898e-08
1844,2.360081374774836e-08,1.5367971784030487e-08
1845,4.743193926515232e-08,1.3950569588416784e-08
1846,1.9905304071698993e-08,2.9272506640865004e-09
1847,1.88762818709165e-08,9.168480197274675e-09
1848,1.769948809737798e-08,1.448139919091318e-08
1849,2.6814127807028854e-08,5.02764896381791e-09
1850,2.1724787302446202e-08,1.765138968323754e-08
1851,1.2253933867611977e-08,7.094382858952031e-09
1852,1.4323200403509873e-08,9.765818376195057e-09
1853,2.8665272822081533e-08,1.3735443005202796e-08
1854,2.5458755104068587e-08,1.3508727469968562e-08
1855,3.131092896069276e-08,1.2736649068756378e-08
1856,2.329735160344626e-08,1.6049286344355096e-08
1857,2.1966791052818735e-08,1.9526035899275485e-08
1858,4.061751113226819e-08,3.9149408159744326e-09
1859,2.189634606963864e-08,2.34239969643113e-08
1860,1.6020143434047895e-08,2.334363813361051e-08
1861,3.065376574795664e-08,2.0278644541349422e-08
1862,3.4788495639759276e-08,9.035972858839614e-09
1863,3.146611149418277e-08,1.8480097452311384e-08
1864,2.3014694150447212e-08,1.1507347075223606e-08
1865,2.2592853810010638e-08,2.6829013677343028e-08
1866,3.405929049904444e-08,3.259960479340407e-08
1867,5.774845845962773e-08,2.0867089389753346e-08
1868,4.00129813726835e-08,8.89177353968762e-09
1869,2.6371003158942585e-08,1.904572499711321e-08
1870,3.268407766654491e-08,1.6628741050794815e-08
1871,3.611200227737754e-08,2.1242353653860846e-08
1872,2.1770421909650395e-08,1.5118347462816928e-08
1873,1.3767810003173508e-08,4.190203295451056e-09
1874,2.5690820137924675e-08,1.5533982988813477e-08
1875,1.1443054503956773e-08,9.7265964171811e-09
1876,2.2974855795609983e-08,1.5115036333668286e-08
1877,2.9068635498674666e-08,1.1751150275074451e-08
1878,4.589707458535486e-08,1.872117572077059e-08
1879,1.649517855639715e-08,9.163987790827832e-09
1880,1.8611753915820373e-08,1.2835692508872398e-08
1881,3.765154232837631e-08,1.8128519130300447e-08
1882,1.6638463051776853e-08,2.861815673327328e-08
1883,3.728409936343269e-08,2.274962085380139e-08
1884,2.706695667598069e-08,7.2618666635548834e-09
1885,3.7384687345820566e-08,8.379326565943757e-09
1886,3.743009102663564e-08,1.2261581083805595e-08
1887,3.133883907935342e-08,1.566941953967671e-08
1888,2.9166827175686194e-08,2.6630582183884144e-08
1889,3.821733329800736e-08,1.566284169030041e-08
1890,2.4251230357208442e-08,9.831579994568074e-09
1891,3.569563133964948e-08,1.466070642663908e-08
1892,8.775916882086676e-09,5.014809900671935e-09
1893,3.3255449949365357e-08,5.542574843531156e-09
1894,4.600123659770361e-08,5.671385139294216e-09
1895,3.4306101071024386e-08,3.611168697403855e-09
1896,2.4767521367152767e-08,7.66613794667137e-09
1897,3.4960280004270317e-08,6.409385022720926e-09
1898,2.4330926606808134e-08,1.3014216371232123e-08
1899,3.205995469102163e-08,1.0502398950507086e-08
1900,2.387884379118077e-08,1.349673794948103e-08
1901,2.4031576728589243e-08,1.4530721514915967e-08
1902,1.3257766440233354e-08,1.5712908307818907e-08
1903,2.754112315983548e-08,9.1803746826713e-09
1904,4.08471514390385e-08,1.3436562973367927e-08
1905,1.7546581076999246e-08,1.3934049469810361e-08
1906,2.983626856689625e-08,1.1317205839134203e-08
1907,2.3142794347563722e-08,9.771402353919711e-09
1908,2.504808449543816e-08,1.620758460774141e-08
1909,2.2003934674330594e-08,1.2102163715610459e-08
1910,2.137660359835536e-08,8.01622590529405e-09
1911,3.298632123005518e-08,7.448523575703803e-09
1912,2.4484279492753558e-08,1.3544495303108306e-08
1913,3.3939134169713725e-08,9.545381374209683e-09
1914,3.549274296688054e-08,1.875088173619588e-08
1915,4.005459075528961e-08,2.3561523843085297e-09
1916,4.614734194774428e-08,3.2962386153911893e-09
1917,1.315970976634162e-08,2.1932848870420685e-09
1918,3.675640414257941e-08,3.44591288836682e-09
1919,2.8544329566670967e-08,9.207848705727883e-09
1920,3.558949046578164e-08,4.543339038320937e-09
1921,2.3475516641724425e-08,1.2873671018098776e-08
1922,2.0658220023506146e-08,5.902348387820666e-09
1923,1.2739137744688378e-08,7.431163684401554e-09
1924,3.351822286390416e-08,3.867487219366694e-09
1925,3.409435223034052e-08,6.598906754362588e-09
1926,2.229227646921572e-08,6.687683296036084e-09
1927,4.3481975353643065e-08,1.0034302277972529e-08
1928,3.085031252680892e-08,6.8556245125250825e-09
1929,3.4535258208734376e-08,4.4561625500705304e-09
1930,2.2057568216382606e-08,8.402882833991043e-09
1931,2.5091784650044247e-08,7.983749661377715e-09
1932,4.164623845781534e-08,1.4247397928102146e-08
1933,1.9500125958415992e-08,1.7205993074753678e-08
1934,4.553000465534751e-08,1.7972370258689807e-08
1935,2.992070946561398e-08,1.4361940969820353e-08
1936,3.394919900756577e-08,2.424942913137329e-09
1937,4.1550688223424004e-08,1.2591118370153254e-08
1938,2.074434313215079e-08,7.779128452511941e-09
1939,3.5176316970364496e-08,4.588215141154706e-09
1940,2.028626333583361e-08,0.0
1941,1.1806010391524069e-08,8.854508237732261e-09
1942,2.4273694165799498e-08,6.068423541449874e-09
1943,1.1612940831184915e-08,2.9032352077962287e-09
1944,3.534504600111177e-08,3.213186161588055e-08
1945,5.8819608739213436e-08,1.3071024262956144e-08
1946,1.8097434661967782e-08,8.352662561605939e-09
1947,1.3112957830685446e-08,8.344609447874518e-09
1948,3.152847583010043e-08,5.435944139264848e-09
1949,2.4542520904446974e-08,7.853606653895895e-09
1950,2.6588404367089424e-08,5.317680518146517e-09
1951,2.1322803078760444e-08,1.0661401539380222e-08
1952,1.687168627029223e-08,7.381362632230548e-09
1953,2.0470272588113403e-08,2.1547654771580937e-09
1954,1.2704297169818801e-08,1.7590565448699635e-08
1955,2.7218263198847126e-08,9.385607846468247e-10
1956,2.2674967681268754e-08,1.0465369904011368e-08
1957,1.1485549400447326e-08,5.301022731885041e-09
1958,9.099467845885556e-09,9.926692356998501e-09
1959,2.8677767716089875e-08,1.9376869886400527e-08
1960,2.7683332959327345e-08,6.920833239831836e-09
1961,3.196153386397782e-08,7.64297514166401e-09
1962,2.473363025501385e-08,8.244543714397423e-09
1963,3.36234755593523e-08,5.819448034571906e-09
1964,1.034274621503073e-08,4.258777774879263e-09
1965,2.2982582947861374e-08,7.1136563306595235e-09
1966,1.7725039214155913e-08,7.754704434148607e-09
1967,1.429797347185513e-08,1.1339771788243524e-08
1968,1.976222918642634e-08,8.982831367632116e-09
1969,1.862120768691966e-08,1.1808570121729645e-08
1970,2.575285940054073e-08,1.103694025061941e-08
1971,1.6956711590410123e-08,1.0276794526475896e-08
1972,1.6416469961200164e-08,9.234264020108185e-09
1973,1.9847533394568018e-08,7.718485406371656e-09
1974,2.193973003272731e-08,1.1251143128276908e-08
1975,2.1132477101559743e-08,8.567219822452898e-09
1976,1.3712464053128315e-08,3.4281160132820787e-09
1977,1.704266772151186e-08,1.1165885105413054e-08
1978,1.6633656230169436e-08,7.72276909088987e-09
1979,1.8141117053005473e-08,9.948355028654987e-09
1980,1.762396628635088e-08,7.390696055153967e-09
1981,1.9609203150139365e-08,3.1627747087981106e-09
1982,1.3656505259973528e-08,5.586751949948621e-09
1983,2.652432762317858e-08,1.515675762675528e-08
1984,2.4355836458767044e-08,1.1598016769198694e-08
1985,1.4437339324047116e-08,8.421781494405423e-09
1986,1.3187867686781374e-08,2.2179596825822046e-08
1987,1.7721369260925712e-08,3.0554083707556856e-09
1988,1.6190695006912392e-08,8.395175221664886e-09
1989,1.4817929994137558e-08,9.329808037250586e-09
1990,1.3621627381610324e-08,1.5256222951620657e-08
1991,1.817054240405014e-08,1.0550637696837839e-08
1992,1.0468894195980738e-08,7.713921945651236e-09
1993,8.862731881720265e-09,8.308811416668505e-09
1994,7.912389854425328e-09,8.967375286772494e-09
1995,1.8978578708583882e-08,8.133675954979935e-09
1996,1.4412848692302305e-08,9.60856638698715e-09
1997,2.109753616252874e-08,1.2466725429760572e-08
1998,1.7642078020685403e-08,1.0489884516573511e-08
1999,1.5995704316651427e-08,1.0511462811280126e-08
2000,1.6346715980830595e-08,1.192868470667463e-08
2001,1.3581756164171566e-08,9.20054432640427e-09
2002,1.3143664823189738e-08,1.0514931148009055e-08
2003,2.083461403401543e-08,1.0000615446870142e-08
2004,1.9821561281219147e-08,1.3654853248112886e-08
2005,9.457874483587148e-09,1.306087415997581e-08
2006,1.6059770402421236e-08,1.070651389767363e-08
2007,2.2768533725070483e-08,1.997239706952314e-08
2008,1.702975893635994e-08,2.0435710013089192e-08
2009,2.0026408975581944e-08,1.0966842545201416e-08
2010,2.1257068993918438e-08,1.5588517143783065e-08
2011,3.3650952246944144e-08,1.7972668686638826e-08
2012,4.017018184754306e-08,1.599998711299122e-08
2013,4.016339971713023e-08,1.8966050063795592e-08
2014,4.1360003422141745e-08,2.2087540685333806e-08
2015,3.923338454114855e-08,2.017083566840938e-08
2016,3.769838841094497e-08,3.0034431830472386e-08
2017,2.7671724467381864e-08,3.018733707449428e-08
2018,3.665682868358999e-08,2.478208038780849e-08
2019,3.3162841361900064e-08,2.6785372142512642e-08
