year,puissent_VERB avoir_VERB,puissent_VERB ravoir_VERB
1800,8.520685810253781e-07,0.0
1801,8.310327075378154e-07,0.0
1802,1.1211578794245725e-06,0.0
1803,9.517655144009041e-07,0.0
1804,9.986277973439428e-07,0.0
1805,9.978500656870892e-07,0.0
1806,9.88412466540467e-07,0.0
1807,9.394951803187723e-07,0.0
1808,9.064295909411157e-07,0.0
1809,9.352386314276373e-07,0.0
1810,9.313704367741593e-07,0.0
1811,8.674485343362903e-07,0.0
1812,8.34836157537211e-07,0.0
1813,8.282136150228325e-07,0.0
1814,1.161123918791418e-06,1.5733386149463513e-08
1815,1.0330365967092803e-06,0.0
1816,8.945950753513898e-07,0.0
1817,9.419084108230891e-07,0.0
1818,9.811128620640375e-07,0.0
1819,9.56437020249723e-07,0.0
1820,1.1071426797570894e-06,0.0
1821,1.0798329412864405e-06,0.0
1822,1.0577024340818753e-06,0.0
1823,7.787557478877716e-07,1.9765373782121287e-09
1824,1.0265335959047661e-06,8.421112696055388e-10
1825,1.0240730716759572e-06,1.7610886082763955e-09
1826,1.1283027561148629e-06,1.9377566218281572e-08
1827,1.2157582887084573e-06,0.0
1828,1.3263147593534086e-06,0.0
1829,1.0793628462124616e-06,8.57317605795771e-10
1830,1.0885619303735439e-06,0.0
1831,7.296684430002642e-07,0.0
1832,6.264375542741618e-07,0.0
1833,5.849732360729831e-07,0.0
1834,9.185178555526363e-07,0.0
1835,8.553852239856496e-07,3.025235173481633e-09
1836,8.743695616431069e-07,0.0
1837,7.813711704329762e-07,0.0
1838,8.483545457238506e-07,3.787297142565649e-09
1839,9.774082627700409e-07,0.0
1840,7.777389896546083e-07,1.2739377330817092e-09
1841,8.218302127716015e-07,0.0
1842,7.821836902621726e-07,2.0124795163667386e-09
1843,8.594555538365967e-07,1.1813822142769936e-09
1844,7.705939992774802e-07,0.0
1845,8.426144404438674e-07,5.580227946389016e-10
1846,7.757214461889816e-07,0.0
1847,8.47275430260197e-07,0.0
1848,7.707322424721497e-07,0.0
1849,9.28439192193764e-07,0.0
1850,8.852850896801101e-07,0.0
1851,5.59811269340571e-07,6.449438760824933e-10
1852,8.053544888753095e-07,6.510545436100301e-10
1853,8.408479743593489e-07,2.9859659189668264e-09
1854,7.377843758149538e-07,1.0391328908454511e-09
1855,6.575294833055523e-07,5.306937111981824e-10
1856,7.066863076943264e-07,0.0
1857,6.053071501810336e-07,2.9289055625270066e-09
1858,5.872411179552728e-07,4.893676019968041e-10
1859,7.235978500830242e-07,0.0
1860,6.618607812924893e-07,0.0
1861,7.069229468470439e-07,0.0
1862,7.513411333093245e-07,0.0
1863,6.777700605198334e-07,9.989241656072068e-10
1864,7.086607638484566e-07,3.3563094525845827e-09
1865,6.518979489555932e-07,0.0
1866,6.466399327109684e-07,0.0
1867,6.211598702066112e-07,6.308654931785895e-09
1868,7.775361723361129e-07,5.433861360870651e-09
1869,6.397410174940887e-07,0.0
1870,6.708837076985219e-07,1.7202146374017957e-09
1871,6.914386290191032e-07,0.0
1872,6.210617584656575e-07,0.0
1873,6.225444622032228e-07,5.387403856360606e-09
1874,6.374908139150648e-07,5.377148060148329e-09
1875,5.807349907627213e-07,5.721527251978387e-09
1876,6.989193366280233e-07,6.04601479992084e-10
1877,6.110598178565851e-07,2.4739263970730008e-09
1878,5.555961593017855e-07,1.8117265465633636e-09
1879,8.882959150469105e-07,0.0
1880,6.989034773141611e-07,4.492492600149944e-09
1881,5.996356549076154e-07,6.972507571312292e-10
1882,6.868357331768493e-07,0.0
1883,5.636850346490974e-07,6.319338941018771e-10
1884,5.453001676869462e-07,0.0
1885,5.059824275122082e-07,0.0
1886,5.814570727125101e-07,3.2267319927115068e-09
1887,6.169833568492322e-07,0.0
1888,6.676667112515133e-07,1.268122939990235e-09
1889,6.453090577451803e-07,2.5060546970934183e-09
1890,5.381151026995212e-07,3.2771931834929546e-09
1891,5.928024506829388e-07,0.0
1892,5.848522164342285e-07,1.8805537127519756e-09
1893,6.207683895809168e-07,0.0
1894,5.160960654393421e-07,1.8904617871129403e-09
1895,6.078800538489304e-07,0.0
1896,5.389884449868987e-07,0.0
1897,4.981840220352751e-07,5.826713556089658e-10
1898,5.499920803231362e-07,0.0
1899,5.792902015855361e-07,3.3165470370022376e-09
1900,6.063149839974358e-07,0.0
1901,5.024276106269099e-07,0.0
1902,5.882520213162934e-07,2.9461704187383475e-09
1903,5.616229259430838e-07,5.400220270956879e-10
1904,5.32087881310872e-07,1.0749250378694342e-09
1905,5.042061843596457e-07,1.5482277682110634e-09
1906,5.380816787692311e-07,5.144184522798412e-10
1907,5.80112725856452e-07,5.142843373384665e-10
1908,5.549869683818542e-07,1.964555629285769e-09
1909,5.825541506965237e-07,5.500983557560346e-10
1910,6.733629902555549e-07,0.0
1911,5.905615125811892e-07,0.0
1912,5.3136096767048e-07,0.0
1913,5.265868594506173e-07,0.0
