year,auront_VERB usé_VERB
1800,9.432493897065797e-09
1801,7.143547975374531e-09
1802,4.475680270843441e-09
1803,7.801356893821776e-09
1804,2.4718509905596875e-08
1805,0.0
1806,1.152667650217154e-08
1807,5.693910232196231e-09
1808,4.5321479902327155e-09
1809,2.710836710662079e-08
1810,1.0530570193623134e-07
1811,5.766276700569506e-08
1812,2.6672083208723052e-08
1813,1.1502966579257645e-08
1814,5.034683425719777e-08
1815,2.6972236000233352e-08
1816,9.270415546325239e-09
1817,1.71256075987003e-08
1818,2.384235475716423e-09
1819,1.5526575580793178e-08
1820,1.1866481131050932e-08
1821,1.676452932031225e-08
1822,1.4035862250239006e-08
1823,1.7788837070042973e-08
1824,1.51580028528997e-08
1825,1.4969252504215547e-08
1826,1.4092774947016551e-08
1827,4.885154680778214e-08
1828,1.834460228167245e-08
1829,2.4862210068476998e-08
1830,1.878630406793036e-08
1831,2.494592976631793e-08
1832,5.953186388296672e-08
1833,1.9692167896323554e-08
1834,3.9205030333278046e-08
1835,4.5378527602224494e-08
1836,3.2259599436201825e-08
1837,2.852735292435682e-08
1838,1.4517972601879592e-08
1839,2.307186797168015e-08
1840,1.52872523528913e-08
1841,1.0272877659645019e-08
1842,3.3541326160957396e-08
1843,2.126487963494128e-08
1844,2.305195678786731e-08
1845,1.785672942844485e-08
1846,2.4003455223464698e-08
1847,7.550513103637968e-09
1848,1.045878850192139e-08
1849,8.379414495607307e-09
1850,8.82569484161877e-09
1851,5.7400004749297295e-08
1852,3.841221740685796e-08
1853,1.791579506971175e-08
1854,1.7145692865483397e-08
1855,1.1675261646360013e-08
1856,2.174419400091665e-08
1857,5.857811125054013e-09
1858,3.1808895073481835e-08
1859,1.4258085379026397e-08
1860,2.4259074749011234e-08
1861,1.9335450573976232e-08
1862,1.355395884417021e-08
1863,1.1987090431375691e-08
1864,9.109982990196386e-09
1865,1.6003271596787272e-08
1866,7.784980660119345e-09
1867,2.135237053835226e-08
1868,1.333765986544222e-08
1869,1.2208797528501236e-08
1870,1.548193218070537e-08
1871,1.911811864374613e-08
1872,3.265563108811875e-08
1873,2.3944018323618366e-08
1874,2.3300975371398636e-08
1875,2.2313955128083762e-08
1876,1.209202959984168e-08
1877,8.658742167710898e-09
1878,1.2078177569208037e-08
1879,2.443730195977878e-08
1880,3.3372799634889816e-08
1881,2.370652651961791e-08
1882,2.1962771157291172e-08
1883,1.64302811356265e-08
1884,7.922036360241691e-09
1885,1.4824961702686323e-08
1886,1.2906927970846027e-08
1887,3.0685946228459215e-08
1888,1.0779045211961602e-08
1889,1.9421923624918236e-08
1890,2.3595791986963377e-08
1891,1.529812720946211e-08
1892,2.1312942521944933e-08
1893,2.155445777418663e-08
1894,1.827446460822557e-08
1895,2.4074457982692365e-08
1896,2.4767521367152767e-08
1897,3.029891004757701e-08
1898,3.281845906144554e-08
1899,2.7637891975018647e-08
1900,2.699347589896206e-08
1901,2.794369535763508e-08
1902,1.8659077838378835e-08
1903,2.7001101798873606e-08
1904,1.5586412160928376e-08
1905,2.4255568220610257e-08
1906,3.600929332492342e-08
1907,2.3142794347563722e-08
1908,3.1432890068572306e-08
1909,3.025541062129378e-08
1910,3.580580809625644e-08
1911,2.2345570727111408e-08
1912,1.8753915753677575e-08
1913,2.1742257771961704e-08
1914,1.7411533548283842e-08
1915,3.2986132936230206e-08
1916,9.888715624128963e-08
1917,5.702540661900457e-08
1918,1.722956355365568e-08
1919,2.2098836538475553e-08
1920,2.5745588771997063e-08
1921,7.875657104250422e-08
1922,5.6810101511928224e-08
1923,9.872831441271046e-08
1924,3.609654797287476e-08
1925,3.079489729884699e-08
1926,3.78968714187522e-08
1927,2.2298449309232637e-08
1928,1.2568645679778001e-08
1929,7.798284684668033e-09
1930,1.2604324695075775e-08
1931,1.0264820993199919e-08
1932,4.383814644626227e-09
1933,1.1470662641954732e-08
1934,1.3179738189705859e-08
1935,1.555876849579363e-08
1936,2.5461901032031165e-08
1937,1.1332006444320086e-08
1938,6.482607339819424e-09
1939,3.211750509990452e-08
1940,7.607348528892999e-09
1941,1.7709016475464523e-08
1942,3.034211770724937e-09
1943,1.1612940831184915e-08
1944,0.0
1945,4.357008087652048e-09
1946,6.960552134671616e-09
1947,1.6689218895749036e-08
1948,8.697510267552389e-09
1949,1.2762110479513922e-08
1950,1.3825969702452312e-08
1951,9.595261474260042e-09
1952,1.2653764258629963e-08
1953,7.54167928107563e-09
1954,3.9090144454689835e-09
1955,3.754243138587299e-09
1956,6.976913269340912e-09
1957,1.7670075402875796e-09
1958,1.6544486891589827e-09
1959,1.4726420971555854e-08
1960,3.460416619915918e-09
1961,1.598076693198891e-08
1962,5.0735651235811474e-09
1963,2.5864212993553792e-09
1964,4.258777774879263e-09
1965,4.924839203113152e-09
1966,4.431259803538978e-09
1967,4.930335695263466e-09
1968,8.084548142051062e-09
1969,9.537691525451919e-09
1970,9.197449912790034e-09
1971,5.138397263237948e-09
1972,4.104117490300041e-09
1973,7.718485406371656e-09
1974,2.812785782069227e-09
1975,2.2845920710778955e-09
1976,7.427584769459372e-09
1977,7.052138428775834e-09
1978,4.158414057542359e-09
1979,5.266775904289034e-09
1980,1.7055452605774235e-09
1981,2.5302198114474095e-09
1982,1.2415004579935385e-09
1983,4.4207211225000265e-09
1984,5.219107812592938e-09
1985,1.2031116103372597e-09
1986,2.3977941854269602e-09
1987,3.0554083707556856e-09
1988,5.99655392008458e-09
1989,2.7440609784434855e-09
1990,1.6345953479657283e-09
1991,1.7584396161396398e-09
1992,4.4079553340736766e-09
1993,2.2156829704300662e-09
1994,2.1099706426497278e-09
1995,4.337960657352369e-09
1996,5.3380921904988554e-09
1997,2.876936688878118e-09
1998,1.9072516899143466e-09
1999,3.656160929565999e-09
2000,3.5344251969604557e-09
2001,3.943090742808408e-09
2002,3.504977197366088e-09
2003,3.333538334260311e-09
2004,3.523833003171717e-09
2005,1.8014998381943315e-09
2006,2.4707338397433887e-09
2007,1.997239706952314e-09
2008,2.1287198670449925e-09
2009,1.907277002999308e-09
2010,1.8895172093635892e-09
2011,2.6767803529281764e-09
2012,5.1063788752969685e-09
2013,4.462600067256517e-09
2014,3.031623174720721e-09
2015,3.989835573037226e-09
2016,2.4856081637381067e-09
2017,2.7671724911471074e-09
2018,3.872199894061623e-09
2019,4.846876677788714e-09
