year,voudrait_VERB acheter_VERB,voudrait_VERB racheter_VERB
1800,1.5720821977538435e-08,1.8864987794131594e-08
1801,7.143547975374531e-09,1.904946067554647e-08
1802,4.2518962573012686e-08,6.713520406265161e-09
1803,3.900678446910888e-09,0.0
1804,2.4718509905596875e-08,0.0
1805,2.842877711017877e-09,1.1371510844071508e-08
1806,1.4408345627714425e-08,2.881669125542885e-09
1807,2.2775640928784924e-08,2.8469551160981155e-09
1808,6.798221985349073e-09,2.2660739951163578e-09
1809,2.0331274441787173e-08,2.9367397402779716e-08
1810,3.510190182964834e-08,1.8721014072298203e-08
1811,5.0141535368197765e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,9.777521370324394e-08,1.1502966579257645e-08
1814,1.8880061958270744e-08,6.293354282149721e-09
1815,4.8550024445148665e-08,1.0788894222457657e-08
1816,3.9399267848239106e-08,2.5493642752394408e-08
1817,3.113746771532533e-08,4.514932783195036e-08
1818,4.053200441944682e-08,1.4305412854298538e-08
1819,8.280840013696888e-09,1.0351049795076506e-08
1820,2.4919611263385377e-08,5.933240565525466e-09
1821,3.35290586406245e-08,2.5639868894700157e-08
1822,2.90742860897808e-08,7.017931125119503e-09
1823,3.162459805139406e-08,3.9530747564242574e-09
1824,2.5263338088166165e-08,1.0105335235266466e-08
1825,1.584979791857677e-08,1.0566531649658373e-08
1826,1.145037931138404e-08,1.5854372037438225e-08
1827,2.1199728195142598e-08,1.1982455028203276e-08
1828,1.2841221419535032e-08,1.9261833017480967e-08
1829,1.8860987438529264e-08,2.4862210068476998e-08
1830,1.878630406793036e-08,1.2524203008013046e-08
1831,9.354723218280014e-09,0.0
1832,2.1647950987357945e-08,3.3824925083081325e-08
1833,3.938433579264711e-08,2.3167257001688313e-09
1834,4.29388435918554e-08,9.334531370086552e-09
1835,6.050470346963266e-09,1.2100940693926532e-08
1836,9.409050427677812e-09,4.032449929525228e-09
1837,4.313892532081809e-08,1.6003149028165353e-08
1838,2.9667161172142187e-08,6.943378316748294e-09
1839,1.7478688718597368e-08,8.38977065598101e-09
1840,2.6115722917552375e-08,9.554533164646273e-09
1841,3.2102743574569104e-08,1.1556987367100646e-08
1842,8.720745015011744e-09,1.6770663080478698e-08
1843,3.839492279666956e-08,1.8902115428431898e-08
1844,4.50062032086862e-08,1.0428266250528395e-08
1845,2.287893430263921e-08,1.897277535078956e-08
1846,6.908311434017378e-08,1.0538101946622191e-08
1847,3.721324404182269e-08,4.853901280910122e-09
1848,4.022610866627474e-08,4.82713291560799e-09
1849,1.4245005175439474e-08,9.217356655710773e-09
1850,2.5798184921654865e-08,2.1045888587423178e-08
1851,2.0638204034639784e-08,9.674158363282004e-09
1852,3.059956199535918e-08,1.4974254725075298e-08
1853,3.1054046445433414e-08,1.3735443005202796e-08
1854,2.3900057044556888e-08,9.352196350675968e-09
1855,2.0697054736729115e-08,6.368324534378189e-09
1856,2.7956822634678247e-08,1.0354378687793542e-08
1857,1.9526035899275485e-08,1.0251168802710708e-08
1858,2.0553439838977283e-08,1.7127865348243176e-08
1859,2.7497735644033128e-08,6.619825576592575e-09
1860,2.0139609091529564e-08,5.950338888283113e-09
1861,5.8949545689301885e-08,2.5466203368296192e-08
1862,3.162590545002786e-08,1.536115412648087e-08
1863,1.4484400345793347e-08,1.5982786649715308e-08
1864,2.349416661218129e-08,1.102787461348953e-08
1865,2.8241066374334878e-08,9.88437331983505e-09
1866,1.4110277390955162e-08,2.919367858567057e-09
1867,1.649955905236311e-08,2.91168689159349e-09
1868,9.87974857480367e-09,6.915823469455518e-09
1869,7.325278605918584e-09,4.883519366671862e-09
1870,1.9495765002375265e-08,1.3761717099214366e-08
1871,1.1683295220166201e-08,9.559059321873065e-09
1872,1.6327815544059376e-08,8.4662747923403e-09
1873,2.8134220286801792e-08,9.577607151811662e-09
1874,1.3144139998644278e-08,7.169530746864439e-09
1875,8.010138330405425e-09,1.8881038954532414e-08
1876,1.753344314181504e-08,7.255217759905008e-09
1877,2.8450154232473324e-08,2.8450154232473324e-08
1878,1.6305540029293297e-08,4.831270938865373e-09
1879,2.504823370941267e-08,4.887460214320072e-09
1880,2.4387816210946767e-08,1.2193908105473383e-08
1881,2.719277958362909e-08,5.5780060570498335e-09
1882,1.2645231528551903e-08,1.3310770263785798e-08
1883,1.4534479397809719e-08,8.847074184359371e-09
1884,1.5183903911974994e-08,1.3203393933736152e-08
1885,1.6114089618213256e-08,1.0957580620640783e-08
1886,2.3232470169887165e-08,1.2261581083805595e-08
1887,1.7628096316002484e-08,5.876032105334161e-09
1888,1.4583413587843097e-08,5.706553452000662e-09
1889,1.1903759755682586e-08,1.0024218788373673e-08
1890,1.5075089621063853e-08,7.865263995654459e-09
1891,1.9760081571007504e-08,8.92390783491237e-09
1892,1.0656471260972467e-08,8.149066310636499e-09
1893,1.1700991287000306e-08,1.6011883374744684e-08
1894,1.0082462864602348e-08,6.301539290376468e-09
1895,9.027921521465032e-09,9.629783193076946e-09
1896,1.7691087705884456e-08,1.1204354777305525e-08
1897,1.6897470089816125e-08,1.0488084178916779e-08
1898,1.3014216371232123e-08,7.355861253444118e-09
1899,1.3818945987509323e-08,1.326618814800895e-08
1900,2.0245106924221545e-08,1.972600216504361e-08
1901,1.5089595351014395e-08,8.38310842965484e-09
1902,7.365425602756659e-09,4.910283846193408e-10
1903,1.296052865029651e-08,8.100330184390714e-09
1904,1.2361637935498493e-08,4.837162670412454e-09
1905,1.8062657147766004e-08,6.708986699521802e-09
1906,8.230695236477459e-09,1.800464666246171e-08
1907,1.9542804707839423e-08,1.4399961223432456e-08
1908,2.553922229253658e-08,9.822778146428846e-10
1909,7.151278680339601e-09,4.950885035270858e-09
1910,2.0842188419578633e-08,3.740905363258662e-09
1911,8.51259862599818e-09,2.6601871816467337e-09
1912,1.4586379215586476e-08,3.125652625612929e-09
1913,1.96210621083992e-08,1.060597942803554e-09
1914,1.7411533548283842e-08,1.4732836284281348e-08
1915,1.0602685840410686e-08,2.3561523843085297e-09
1916,1.7579939282086343e-08,0.0
1917,9.869782324756216e-09,1.2063066989753679e-08
1918,8.040463406189247e-09,4.594550517822427e-09
1919,3.6831393490643904e-09,5.524709134618888e-09
1920,2.5745588771997063e-08,6.057785384427916e-09
1921,6.815472630705699e-09,8.330022005509363e-09
1922,8.115729421831475e-09,1.4755870969551665e-09
1923,1.4862327368803108e-08,7.431163684401554e-09
1924,7.734974438733389e-09,6.445812328337297e-09
1925,7.698724324711748e-09,4.399271169575059e-09
1926,1.4489979882625903e-08,3.343841648018042e-09
1927,1.0034302277972529e-08,8.919379901328739e-09
1928,1.82816659588525e-08,1.0283437212876834e-08
1929,1.2254447234738564e-08,2.2280812750352652e-09
1930,4.201441416995522e-09,3.1510811737689437e-09
1931,1.8248570654577634e-08,7.983749661377715e-09
1932,1.8631212128639163e-08,3.287861094491973e-09
1933,1.8353059516584835e-08,1.4911860191091364e-08
1934,9.585264137967897e-09,3.5944740517379614e-09
1935,4.787313656606784e-09,3.590485242455088e-09
1936,1.4549657478823974e-08,2.424942913137329e-09
1937,3.777335333410292e-09,5.0364472592434595e-09
1938,1.2965214679638848e-08,1.0372171566075394e-08
1939,1.8352860564618823e-08,7.647025235257843e-09
1940,7.607348528892999e-09,0.0
1941,6.788455664263893e-08,0.0
1942,2.1239483061208375e-08,3.034211770724937e-09
1943,2.0322646676618206e-08,5.806470415592457e-09
