year,dut_VERB acheter_VERB,dut_VERB racheter_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-08,0.0
1803,0.0,0.0
1804,0.0,2.4718509461507665e-09
1805,5.685755422035754e-09,0.0
1806,1.4408345627714425e-08,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,0.0,1.035105001712111e-09
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,2.0051231786055723e-09
1823,0.0,0.0
1824,0.0,0.0
1825,7.044354433105582e-09,0.0
1826,1.7615968683770689e-09,1.7615968683770689e-09
1827,7.373818444733615e-09,9.217273166939322e-09
1828,7.337841001486822e-09,2.7516904310687096e-09
1829,1.714635211591542e-09,0.0
1830,1.5655253093882493e-08,0.0
1831,1.5591206103948707e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,6.534171426153534e-09,0.0
1835,9.075705520444899e-09,0.0
1836,1.9490174807401672e-08,6.720750067579218e-10
1837,7.653680356156656e-09,4.87052354003481e-09
1838,2.9667161172142187e-08,6.312161904276081e-10
1839,3.4957374772659477e-09,0.0
1840,3.821813088222825e-09,0.0
1841,7.0626033910059505e-09,1.926164561183441e-09
1842,1.7441490030023488e-08,3.3541325272778977e-09
1843,1.1223130869097986e-08,0.0
1844,1.811225303072206e-08,8.232841963717874e-09
1845,1.785672942844485e-08,5.580227946389016e-10
1846,9.952652035849496e-09,4.0981511517657054e-09
1847,2.3730184040005042e-08,3.775256551818984e-09
1848,1.287235473768078e-08,1.6090443422100975e-09
1849,3.3517659758786067e-09,4.1897072478036534e-09
1850,1.6293590476834652e-08,0.0
1851,1.483370937194195e-08,3.8696632564949596e-09
1852,7.812654523320361e-09,6.510545436100301e-10
1853,1.1943863675867306e-08,0.0
1854,7.79349651480743e-09,3.63696517347023e-09
1855,2.0697054736729115e-08,7.429711956774554e-09
1856,2.847454005916461e-08,4.141751386299575e-09
1857,1.610898081594314e-08,1.4644527368545823e-08
1858,1.3212924976357954e-08,2.936205500958522e-09
1859,1.2221216039165483e-08,3.5645213447565993e-09
1860,1.6935580049448618e-08,4.119465657481669e-09
1861,9.903524222920623e-09,9.431927239234028e-09
1862,2.4848924695675123e-08,4.517986429419807e-09
1863,4.994620717013731e-09,2.9967726078439227e-09
1864,6.712618905169165e-09,2.3973640850272204e-09
1865,7.530950973944073e-09,9.413688495385486e-09
1866,1.3137154475373336e-08,3.8924903300596725e-09
1867,2.038180824115443e-08,8.73506067478047e-09
1868,1.8277534152844055e-08,4.939874287401835e-09
1869,7.813630631403612e-09,5.860222973552709e-09
1870,1.7202147262196377e-08,2.8670243956696595e-09
1871,3.18635318130589e-09,8.496941816815706e-09
1872,2.2979889990892843e-08,7.256807155187062e-09
1873,3.052862140862089e-08,7.183205141814142e-09
1874,1.7923827755339516e-08,1.7923826867161097e-09
1875,2.2886109007913547e-08,9.7265964171811e-09
1876,1.5115036333668286e-08,8.464420275799966e-09
1877,1.608052180301911e-08,9.27722432209066e-09
1878,3.200716847118201e-08,5.435179861734696e-09
1879,3.0546626561545054e-08,7.331190321480108e-09
1880,2.5029599726167362e-08,3.8507077526617195e-09
1881,1.5339516323820135e-08,1.324776466304911e-08
1882,1.3310770263785798e-08,6.655385131892899e-10
1883,1.3902545781263598e-08,7.58320695126713e-09
1884,2.6406787867472303e-08,5.941527270181268e-09
1885,3.287274097374393e-08,6.445635580831777e-09
1886,4.001147502208369e-08,1.097088819790315e-08
1887,2.285123557044244e-08,1.4363633837888301e-08
1888,2.0924028731883482e-08,4.4384300679212174e-09
1889,3.257871128425904e-08,8.771191772893872e-09
1890,1.7696843102044113e-08,1.7041404731799048e-08
1891,2.42220359325529e-08,1.3385862196457765e-08
