year,faudrait_VERB entrer_VERB,faudrait_VERB rentrer_VERB
1800,8.803660733747165e-08,0.0
1801,2.8574191901498125e-08,0.0
1802,6.042168365638645e-08,0.0
1803,4.290746247193056e-08,3.900678446910888e-09
1804,7.909923027682453e-08,2.4718509461507665e-09
1805,3.695740957709859e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,5.97860605466849e-08,0.0
1808,5.6651849433819734e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,4.914266327205041e-08,0.0
1811,1.1532553401139012e-07,0.0
1812,7.468182872116813e-08,0.0
1813,8.91479885467561e-08,0.0
1814,4.405347908686963e-08,0.0
1815,1.0249449644561537e-07,0.0
1816,8.343373991692715e-08,0.0
1817,7.472992535895173e-08,1.0898113522728181e-08
1818,7.867976847819591e-08,1.1921177378582115e-09
1819,9.729986771844779e-08,0.0
1820,1.76810573293551e-07,8.306536791735653e-09
1821,8.283650032581136e-08,9.86148829262845e-10
1822,7.418955760840618e-08,2.0051231786055723e-09
1823,1.1068609495623605e-07,9.882686891060644e-10
1824,1.2463246434890607e-07,3.3684450784221553e-09
1825,7.836844417852262e-08,0.0
1826,1.0041102171953753e-07,5.284790383086602e-09
1827,1.1060727445055818e-07,1.2904182611350734e-08
1828,9.172300963200541e-08,2.7516904310687096e-09
1829,9.087566610332942e-08,6.858540846366168e-09
1830,1.8995041273228708e-07,3.026682549034376e-08
1831,1.4811645598911127e-07,2.0268567268999504e-08
1832,8.523880978827947e-08,4.058990921151917e-09
1833,1.1467792404573629e-07,8.108539617524002e-09
1834,8.867804268675172e-08,1.213489042584115e-08
1835,9.983276072489389e-08,7.563087933704082e-09
1836,9.409050250042128e-08,3.36037508930076e-09
1837,1.315041373572967e-07,6.957891152126194e-09
1838,8.77390533560174e-08,1.5780404538645598e-08
1839,1.1186359927251033e-07,2.0974426639952526e-09
1840,1.4650284185790952e-07,1.52872523528913e-08
1841,9.052973126699726e-08,2.3756030032018316e-08
1842,1.0531976357697204e-07,4.024959032733477e-09
1843,1.2463581811061886e-07,2.0674189471492355e-08
1844,1.3172547141948598e-07,1.4819115712327857e-08
1845,1.0993048960017404e-07,1.5066614622583074e-08
1846,1.3465353276842507e-07,2.4003455223464698e-08
1847,9.006683399093163e-08,2.6966118227278457e-09
1848,1.4400946213299903e-07,7.24069959545659e-09
1849,1.1731180649121598e-07,1.5920887719289567e-08
1850,9.708264059327121e-08,2.5798184921654865e-08
1851,1.360831589636291e-07,3.805168802273329e-08
1852,1.2890879474980466e-07,3.2552727180501506e-09
1853,1.194386385350299e-07,5.971931837933653e-10
1854,8.676759932768618e-08,6.234797567117312e-09
1855,1.0295457997244739e-07,8.491099379170919e-09
1856,1.289120064029703e-07,1.0354378687793542e-08
1857,9.47012779306533e-08,4.881508974818871e-09
