year,pourront_VERB approcher_VERB,pourront_VERB rapprocher_VERB
1800,2.2009151834367913e-08,9.432493897065797e-09
1801,1.904946067554647e-08,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,3.900678446910888e-09
1804,0.0,0.0
1805,1.7057265822018053e-08,0.0
1806,1.729001475325731e-08,2.0171682990621775e-08
1807,5.693910232196231e-09,0.0
1808,4.5321479902327155e-09,0.0
1809,2.259030518203531e-09,2.259030518203531e-09
1810,3.042164919975221e-08,0.0
1811,0.0,7.521229861140455e-09
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.0898113522728181e-08,9.341240669868967e-09
1818,2.026600220972341e-08,2.384235475716423e-09
1819,7.24573512300708e-09,0.0
1820,1.1866481131050932e-09,2.3732962262101864e-09
1821,0.0,0.0
1822,2.4061478143266868e-08,0.0
1823,8.894418535021487e-09,0.0
1824,1.6842225392110777e-09,2.5263338088166165e-09
1825,1.1447076175841175e-08,0.0
1826,2.9947145208097936e-08,0.0
1827,4.608636583469661e-09,0.0
1828,9.172301251858528e-10,0.0
1829,0.0,8.57317605795771e-10
1830,1.0436835840010872e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,2.705993873419743e-09,1.0823975493678972e-08
1833,2.3167257001688313e-09,3.4750886612755494e-09
1834,2.240287422239362e-08,1.120143711119681e-08
1835,9.075705520444899e-09,7.563087933704082e-09
1836,8.064899859050456e-09,0.0
1837,1.530736071231331e-08,0.0
1838,9.468243078458727e-09,3.787297142565649e-09
1839,2.0974426639952526e-09,4.194885327990505e-09
1840,8.917564464638872e-09,4.458782232319436e-09
1841,1.5409316489467528e-08,3.852329122366882e-09
1842,6.037438549100216e-09,1.341653010911159e-09
1843,5.906910960362666e-09,1.2404512972352677e-08
1844,9.330554107123135e-09,0.0
1845,1.562463758375543e-08,0.0
1846,7.025401593807601e-09,0.0
1847,1.6179670936367074e-09,2.1572894581822766e-09
1848,1.850401076808339e-08,8.04522137798358e-09
1849,4.1897072478036534e-09,5.865590679832167e-09
1850,4.073397619208663e-09,6.1100964288129944e-09
1851,1.2898877521649865e-09,4.514607354622058e-09
1852,1.0416872697760482e-08,0.0
1853,1.1943863675867306e-09,2.388772735173461e-09
1854,1.558699302961486e-08,6.234797567117312e-09
1855,9.021793090369101e-09,1.5920811335945473e-09
1856,9.318940286107136e-09,1.0354378465748937e-09
1857,1.4644527812635033e-09,5.369659827891837e-09
1858,1.468102750479261e-09,4.893676019968041e-10
1859,9.165912473463322e-09,5.092173349652285e-10
1860,3.204028820036342e-09,2.746310290291376e-09
1861,3.3011746669586728e-09,2.8295783494058924e-09
1862,1.0843167252971853e-08,3.162590411776023e-09
1863,1.9978483312144135e-09,2.4973103585068657e-09
1864,9.109982990196386e-09,3.3563094525845827e-09
1865,3.294791106611683e-09,1.4120533631256649e-09
1866,4.865612912574591e-10,4.379051787850585e-09
1867,1.455843445796745e-09,3.88224918879132e-09
1868,1.975949626142892e-09,9.87974813071446e-10
1869,1.4650557433881772e-09,0.0
1870,4.587239033071455e-09,2.2936195165357276e-09
1871,4.248470908407853e-09,0.0
1872,1.0885210954825197e-08,6.047339295989218e-10
1873,2.9930022904522957e-09,5.387403856360606e-09
1874,1.2546679251101978e-08,4.182226565063729e-09
1875,4.005069165202713e-09,2.8607636259891933e-09
1876,0.0,6.04601479992084e-10
1877,8.040260901509555e-09,0.0
1878,3.6234530931267273e-09,0.0
1879,1.832797580370027e-09,0.0
1880,6.417846254436199e-10,1.2835692508872398e-09
1881,1.3945015142624584e-09,8.367009307619355e-09
1882,7.986462158271479e-09,0.0
1883,6.319338941018771e-10,1.8326083761621703e-08
