year,peuvent_VERB entrer_VERB,peuvent_VERB rentrer_VERB
1800,9.746910336616565e-07,5.973912209356058e-08
1801,1.1262993666605325e-06,1.4048977448055666e-07
1802,1.188293140330643e-06,6.489736392722989e-08
1803,1.1643525112958741e-06,1.6967950955404376e-07
1804,9.862685601547128e-07,1.0628959046243835e-07
1805,1.1655798743959167e-06,1.1087222873129576e-07
1806,1.069099198502954e-06,1.3255677799861587e-07
1807,1.0135159982382902e-06,9.11025637151397e-08
1808,9.449528306504362e-07,5.891792298484688e-08
1809,9.849372872849926e-07,3.162642769893864e-08
1810,7.909628720881301e-07,9.126494404654295e-08
1811,7.370805974460382e-07,6.769107585569145e-08
1812,9.388572834723163e-07,1.6269970615212515e-07
1813,9.001071248349035e-07,9.489947672136623e-08
1814,8.62189551753545e-07,8.181360300341112e-08
1815,6.365447688949644e-07,9.440282155992463e-08
1816,9.085007377507281e-07,1.8077309960062848e-07
1817,8.54723509746691e-07,1.634717108345285e-07
1818,7.295760724446154e-07,1.5974377731708955e-07
1819,6.521161708405998e-07,4.0369094733705424e-08
1820,8.211604836105835e-07,1.5307760747873544e-07
1821,7.918774826976005e-07,1.1735171057125626e-07
1822,7.48913521420036e-07,7.920236555492011e-08
1823,8.657233934172837e-07,9.487379770689586e-08
1824,8.067426051638904e-07,1.0021123841852386e-07
1825,7.414183187393064e-07,9.245714949202011e-08
1826,8.24427331735933e-07,2.9947145208097936e-08
1827,7.834682378415891e-07,1.1060727445055818e-07
1828,7.906523933343124e-07,1.412534373912422e-07
1829,6.738516162840824e-07,9.859152783064928e-08
1830,7.806752932992822e-07,1.8160093873120786e-07
1831,8.964943276623671e-07,9.198811312671751e-08
1832,8.172101502168516e-07,8.929779937716376e-08
1833,8.282294174932758e-07,8.340212787061319e-08
1834,8.10237281712034e-07,1.1854854164994322e-07
1835,7.668971306884487e-07,1.1269001021219083e-07
1836,7.641492629772983e-07,1.4651234891971399e-07
1837,7.166627824517491e-07,1.3985361135837593e-07
1838,6.937065677448118e-07,1.29399325032864e-07
1839,7.348040185206628e-07,1.4612183463214024e-07
1840,5.936549882790132e-07,1.3758527472873538e-07
1841,5.765652417721867e-07,1.425361801921099e-07
1842,7.063803195705987e-07,1.1202802596699257e-07
1843,7.543125661868544e-07,1.3763103368091834e-07
1844,6.646647534580552e-07,1.1965063606567128e-07
1845,7.114790605555754e-07,1.4787603674903949e-07
1846,7.253727289935341e-07,1.2821358552628226e-07
1847,6.266926106945903e-07,1.251227956799994e-07
1848,7.128066386030696e-07,1.5607730574629386e-07
1849,4.96899303925602e-07,1.2317740072376182e-07
1850,6.660005169578653e-07,1.4596341202377516e-07
1851,6.817056714680803e-07,1.3672810439402383e-07
1852,7.103005259523343e-07,1.6732101926208998e-07
