year,voulut_VERB établir_VERB,voulut_VERB etablir_VERB,voulut_VERB rétablir_VERB
1800,1.1633408547595536e-07,0.0,2.2009151834367913e-08
1801,7.143547975374531e-08,0.0,3.809892135109294e-08
1802,1.2755688771903806e-07,0.0,8.951360541686881e-09
1803,1.4627543976075685e-07,0.0,1.2092102963379148e-07
1804,1.8044511307380162e-07,0.0,4.449331569844617e-08
1805,1.0802935435094696e-07,2.842877711017877e-09,7.107194477384837e-08
1806,1.4696512096179504e-07,0.0,1.152667650217154e-07
1807,1.2811298688575334e-07,0.0,9.11025637151397e-08
1808,1.11037628869326e-07,0.0,4.305540457494317e-08
1809,9.93973401364201e-08,2.259030518203531e-09,1.8072244145628247e-08
1810,1.263668423234776e-07,0.0,9.828532654410083e-08
1811,1.8301660986708157e-07,0.0,9.777599530025327e-08
1812,1.1735716043403954e-07,0.0,1.1202274663446588e-07
1813,1.6679301495514665e-07,0.0,5.7514832008109806e-08
1814,1.7306724942045548e-07,9.440030979135372e-09,9.44003133440674e-08
1815,1.3755840200246894e-07,0.0,5.664169577812572e-08
1816,1.228330006597389e-07,0.0,6.257530316133852e-08
1817,2.1329165633687808e-07,0.0,9.341240314597599e-08
1818,2.8253191430849256e-07,0.0,7.033494853203592e-08
1819,2.2565289725662296e-07,0.0,9.315944993204539e-08
1820,1.044250339532482e-07,0.0,1.0798498095709874e-07
1821,1.0354562363090736e-07,0.0,7.100271659510327e-08
1822,1.373509377344817e-07,0.0,1.3935606091308728e-07
1823,7.708495530778237e-08,0.0,6.127265805844218e-08
1824,2.3242270685841504e-07,0.0,1.0610602174665473e-07
1825,1.637812374610803e-07,0.0,8.277116592125822e-08
1826,1.9201405621060985e-07,0.0,8.191425138193154e-08
1827,1.1613764172579977e-07,0.0,7.834682236307344e-08
1828,1.3941897236691148e-07,1.8344602503717056e-09,5.961995697134626e-08
1829,1.6117570567075745e-07,0.0,6.687077558353849e-08
1830,2.0769303432643937e-07,0.0,5.4271545479878114e-08
1831,1.5279381671007286e-07,0.0,4.8332740476553226e-08
1832,1.5288865995444212e-07,0.0,6.629684889958298e-08
1833,1.656458863408261e-07,0.0,5.444305273272221e-08
1834,1.2041545005558874e-07,9.334530925997342e-10,4.947301235347368e-08
1835,1.1117739262545001e-07,1.5126175867408165e-09,6.277362984974388e-08
1836,1.4651234891971399e-07,0.0,7.863277318165274e-08
1837,1.788177996786544e-07,0.0,7.236206300831327e-08
1838,2.0640769093915878e-07,0.0,9.215756335834158e-08
1839,1.6360051802166709e-07,0.0,9.019002789045771e-08
1840,1.8089916409280704e-07,0.0,7.707323135264232e-08
1841,1.1878015016009158e-07,0.0,6.484754067059839e-08
1842,1.2879868904747127e-07,6.708265054555795e-10,5.634942823462552e-08
