year,ait_VERB éveillé_VERB,ait_VERB réveillé_VERB
1800,6.288328968651058e-09,0.0
1801,4.7623651688866175e-09,1.1905912700171939e-08
1802,2.2378401354217203e-08,4.475680270843441e-09
1803,0.0,7.801356893821776e-09
1804,4.943701892301533e-09,1.2359254952798437e-08
1805,1.9900143755080535e-08,1.1371510844071508e-08
1806,2.881669125542885e-09,2.881669125542885e-09
1807,1.4234775136401367e-08,1.1387820464392462e-08
1808,4.5321479902327155e-09,9.064295980465431e-09
1809,0.0,1.129515236897305e-08
1810,9.360507036149102e-09,1.1700633351097167e-08
1811,7.521229861140455e-09,1.504245972228091e-08
1812,5.601137331723294e-08,8.00162425207418e-09
1813,2.0130190847567064e-08,1.4378708002027452e-08
1814,0.0,6.293354282149721e-09
1815,1.3486118000116676e-08,0.0
1816,4.6352077731626196e-09,9.270415546325239e-09
1817,3.113746815941454e-09,9.341240669868967e-09
1818,1.9073883805731384e-08,3.5763532135746345e-09
1819,9.315945348475907e-09,1.0351049795076506e-08
1820,4.746592452420373e-09,2.4919611263385377e-08
1821,1.4792232327920374e-08,2.9584463767662328e-09
1822,1.2030739071633434e-08,6.015369535816717e-09
1823,7.906149512848515e-09,9.882686669016039e-09
1824,5.894778887238772e-09,5.894778887238772e-09
1825,2.6416328680056722e-08,2.4655239627691117e-08
1826,7.927186018719112e-09,1.4092774947016551e-08
1827,4.608636583469661e-09,1.2904182611350734e-08
1828,9.172301251858528e-10,1.6510142586412258e-08
1829,3.429270378774163e-08,4.286587973467704e-09
1830,1.7742621594152297e-08,2.817945699007396e-08
1831,3.1182413096075834e-08,1.5591206103948707e-09
1832,4.058990654698391e-08,4.058990921151917e-09
1833,9.266902800675325e-09,2.3167257001688313e-09
1834,1.4935249481595747e-08,4.667265685043276e-09
1835,8.31939672707449e-09,8.31939672707449e-09
1836,1.4113575197427508e-08,2.688300027031687e-09
1837,1.530736071231331e-08,1.3219993100221927e-08
1838,8.2058102535143e-09,3.1560809521380406e-09
1839,9.788065469251706e-09,6.292327547896548e-09
1840,1.8472096741106725e-08,8.280594876453051e-09
1841,1.6693427085101575e-08,3.2102742686390684e-09
1842,1.6770663080478698e-08,7.379091560011375e-09
1843,1.6539351221922516e-08,1.0041748765843295e-08
1844,7.683985892015244e-09,1.1525978393933656e-08
1845,2.3436957263811564e-08,1.0602432709561072e-08
1846,2.1661655580373917e-08,9.952652035849496e-09
1847,1.7258315665458213e-08,7.550513103637968e-09
1848,1.609044275596716e-08,0.0
1849,1.9272654583346593e-08,2.0948537127196687e-08
1850,2.0366988096043315e-08,1.0862393651223101e-08
1851,9.029214709244116e-09,1.9348316282474798e-09
1852,1.6927417689771573e-08,1.7578472011337e-08
1853,1.5527023222716707e-08,3.5831591027601917e-09
1854,1.2989160858012383e-08,1.2469595134234623e-08
1855,1.3798036491152743e-08,4.776243400783642e-09
1856,1.7084724746041502e-08,1.5531567143511893e-09
1857,1.513267733344037e-08,6.345961978126979e-09
1858,4.257498176230001e-08,7.34051397444091e-09
1859,2.1387128512628806e-08,3.055304009791371e-09
1860,4.119465657481669e-09,3.204028820036342e-09
1861,2.2165028923382124e-08,9.431927239234028e-09
1862,1.445755604123633e-08,2.710791813242963e-09
1863,1.2486552236623538e-08,9.989241434027463e-09
1864,1.5343129433631475e-08,7.671564716815737e-09
1865,2.118079933666195e-08,8.47231973466478e-09
1866,1.9949013108089275e-08,1.0217787504984699e-08
1867,2.814630661873707e-08,4.85281148598915e-09
1868,7.903798504571569e-09,7.903798504571569e-09
1869,1.0255390314739543e-08,1.953407657850903e-09
1870,1.1468097582678638e-08,4.587239033071455e-09
1871,2.1242354542039266e-09,8.496941816815706e-09
1872,9.071008832961525e-09,4.8378714367913744e-09
1873,2.5141218884527916e-08,5.387403856360606e-09
1874,3.1665429389704514e-08,0.0
1875,1.830888685105947e-08,4.577221712764867e-09
1876,9.673623679873344e-09,3.627608879952504e-09
1877,2.2265338017746217e-08,8.040260901509555e-09
1878,2.4760263173106978e-08,6.039088673581716e-10
1879,1.649517855639715e-08,9.163987790827832e-09
1880,2.3746030919369332e-08,1.9253538763308597e-09
1881,1.743126887276958e-08,4.183504653809678e-09
1882,2.861815673327328e-08,3.3276925659464496e-09
1883,1.3270612164717477e-08,1.2638677882037541e-09
1884,1.386356363042296e-08,7.922036360241691e-09
1885,1.4824961702686323e-08,1.2246707647989297e-08
1886,1.871504551331782e-08,3.872078213618124e-09
1887,2.2198344495905076e-08,5.223139698529167e-09
1888,1.268122939990235e-08,8.876860135842435e-09
1889,3.3831739187917265e-08,3.132568426877924e-09
1890,7.209825181320184e-09,2.6217545912032847e-09
1891,9.561330394092238e-09,6.3742202627281586e-09
1892,2.1312942521944933e-08,5.641661360300532e-09
1893,1.6627724974682678e-08,1.23168328869383e-08
1894,1.3863386882917439e-08,4.411077725308132e-09
1895,1.2037228991346183e-08,1.023164486468886e-08
1896,1.9460195233023114e-08,8.255840455717589e-09
1897,2.6220211779559577e-08,3.4960281336537946e-09
1898,1.0750873968845553e-08,6.7900258748920805e-09
1899,2.7637891975018647e-08,1.2160672469008205e-08
1900,3.218453059616877e-08,3.633737311048435e-09
1901,1.7883964531506535e-08,2.235495566438317e-09
1902,1.915010727771005e-08,4.910283735171106e-09
1903,1.6200660368781428e-08,3.7801539676252105e-09
1904,1.827372564378038e-08,9.13686282189019e-09
1905,2.4255568220610257e-08,3.096455536422127e-09
