year,avait_VERB établi_VERB,avait_VERB etabli_VERB,avait_VERB rétabli_VERB
1800,1.2419449149092543e-06,6.288328968651058e-09,1.2891074163690064e-07
1801,1.5501498182857176e-06,0.0,1.6906396638205479e-07
1802,1.1905309520443552e-06,0.0,7.608656460433849e-08
1803,1.6207319504246698e-06,0.0,2.1843798947429605e-07
1804,1.7006334473990137e-06,4.943701892301533e-09,2.5707248596518184e-07
1805,1.8450276684234268e-06,2.842877711017877e-09,3.496739680031169e-07
1806,1.2275910421521985e-06,8.645007376628655e-09,1.0950342499427279e-07
1807,2.482544914528262e-06,2.8469551160981155e-09,3.2739984590079985e-07
1808,1.7652716906013666e-06,1.5862518409903714e-08,1.4276265858370607e-07
1809,1.8230376781502855e-06,6.7770917766551975e-09,2.3268013649158092e-07
1810,1.5304428870877018e-06,7.020380277111826e-09,1.3338723192646285e-07
1811,1.8778005141939502e-06,1.2535384286138651e-08,3.209058263564657e-07
1812,2.2244516912905965e-06,2.6672082320544632e-09,1.8137015445063298e-07
1813,2.182687921958859e-06,1.7254450312975678e-08,1.0640243885973177e-07
1814,2.114566996169742e-06,1.2586708564299443e-08,1.8565394555025705e-07
1815,2.5785457182792015e-06,1.0788894222457657e-08,2.6702514333010186e-07
1816,1.8146838556276634e-06,2.3176038865813098e-09,1.715026911597306e-07
1817,2.922251496784156e-06,3.113746815941454e-09,2.319741412293297e-07
1818,3.1257327464118134e-06,8.344824387052086e-09,3.2067967481452797e-07
1819,2.6954135137202684e-06,2.173720581311045e-08,3.540059196893708e-07
1820,2.748276983766118e-06,4.746592452420373e-09,2.9310209015420696e-07
1821,2.5896267743519275e-06,3.94459531705138e-09,3.0669230000057723e-07
1822,2.744010998867452e-06,4.010246357211145e-09,2.526455205043021e-07
1823,2.9816067126375856e-06,4.941343334508019e-09,3.4589405117912975e-07
1824,3.0248636448959587e-06,6.736890156844311e-09,4.126345345412119e-07
1825,2.9973728032928193e-06,1.3208164340028361e-08,2.685660263068712e-07
1826,3.1030529044073774e-06,1.0569580766173203e-08,3.4174979646195425e-07
1827,3.234341193092405e-06,2.1199728195142598e-08,3.5117810170959274e-07
1828,3.2249811283691088e-06,9.172301140836225e-09,2.7058288765147154e-07
1829,3.404408289497951e-06,1.457439946506156e-08,3.643599768565764e-07
1830,3.2510743039892986e-06,8.349468672008697e-09,3.433719086842757e-07
1831,3.0044254799577175e-06,4.677361609140007e-09,2.68168747652453e-07
1832,2.86564750240359e-06,5.411987746839486e-09,3.463672157977271e-07
1833,2.7928128929488594e-06,5.791814139399776e-09,2.9769924481115595e-07
1834,3.1364024835056625e-06,2.8003592777992026e-09,2.445647169224685e-07
1835,2.984394541272195e-06,8.31939672707449e-09,3.259690970480733e-07
1836,3.099610012213816e-06,1.2097349788575684e-08,3.2797260018924135e-07
1837,2.956407797682914e-06,2.7831563720326358e-09,3.59722974963006e-07
1838,3.1339884571934817e-06,5.680945491803868e-09,4.475322725738806e-07
1839,2.930826440206147e-06,8.38977065598101e-09,3.9362004145004903e-07
1840,3.3498192806291627e-06,3.821813088222825e-09,4.66898171680441e-07
1841,3.3322646686428925e-06,5.1364388298225094e-09,3.556983756425325e-07
1842,3.449389851084561e-06,4.695785538189057e-09,4.1859573229885427e-07
1843,3.265931127316435e-06,7.678984559333912e-09,3.508705219701369e-07
1844,3.6828246265940834e-06,4.9397050894128824e-09,4.5500172518586623e-07
1845,3.3380922559445025e-06,4.464182357111213e-09,4.5925276026537176e-07
1846,3.260371840951848e-06,9.367202125076801e-09,3.4717191965683014e-07
1847,3.3750793591025285e-06,5.9325460100012606e-09,3.715931029546482e-07
1848,3.379797590241651e-06,6.43617736884039e-09,3.4111741342712776e-07
1849,3.3425485526095144e-06,4.1897072478036534e-09,4.0723955407884205e-07
1850,3.101892389167915e-06,5.431196825611551e-09,3.190828010701807e-07
1851,3.148616087855771e-06,5.159551008659946e-09,3.3537082799739437e-07
1852,2.807347300404217e-06,5.208436348880241e-09,3.001361505994282e-07
1853,3.0677813356305705e-06,8.957897534855874e-09,2.5440428430556494e-07
1854,3.0560897812392795e-06,6.754363734984281e-09,3.278464362210798e-07
1855,3.1958375075191725e-06,4.776243400783642e-09,3.1894691687739396e-07
1856,3.1425538509211037e-06,4.659470143053568e-09,3.737930569513992e-07
1857,2.677507836779114e-06,9.763018171682347e-10,2.924024045114493e-07
1858,2.7482883524498902e-06,2.4468380654951716e-09,3.2542945405111823e-07
1859,3.2467696655658074e-06,8.147477359443656e-09,3.4015718597402156e-07
