year,voulait_VERB abattre_VERB,voulait_VERB rabattre_VERB
1800,6.288328968651058e-09,0.0
1801,2.3811825400343878e-08,0.0
1802,5.594600338554301e-08,0.0
1803,0.0,0.0
1804,1.4831105232815389e-08,0.0
1805,0.0,0.0
1806,8.645007376628655e-09,0.0
1807,8.540865792383556e-09,0.0
1808,0.0,0.0
1809,2.0331274441787173e-08,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,0.0
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,0.0,2.8757416448144113e-09
1814,9.440030979135372e-09,0.0
1815,2.1577788444915313e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,1.71256075987003e-08,4.670620334934483e-09
1818,8.344824387052086e-09,5.960588467246453e-09
1819,9.315945348475907e-09,8.280840013696888e-09
1820,2.4919611263385377e-08,0.0
1821,4.437669787193954e-08,2.9584463767662328e-09
1822,3.60922172149003e-08,2.0051231786055723e-09
1823,1.087095569118901e-08,9.882686891060644e-10
1824,6.736890156844311e-08,8.421112696055388e-10
1825,2.993850500843109e-08,0.0
1826,2.4662355713189754e-08,4.403992281964975e-09
1827,7.097300169789378e-08,6.452091305675367e-09
1828,5.77854990524429e-08,9.172301251858528e-10
1829,5.744027831156018e-08,8.57317605795771e-10
1830,5.740259823028282e-08,0.0
1831,2.3386808933878456e-08,0.0
1832,3.92369123858316e-08,1.3529969367098715e-09
1833,2.6642345218874652e-08,8.108539617524002e-09
1834,4.760610750054184e-08,1.0267983796552471e-08
1835,3.100866052818674e-08,3.025235173481633e-09
1836,4.973355061110851e-08,2.016224964762614e-09
1837,3.965997663613052e-08,6.957890930081589e-10
1838,4.292270006089893e-08,3.1560809521380406e-09
1839,4.055055669027752e-08,7.690622361167243e-09
1840,5.414235459966221e-08,0.0
1841,3.723918240439161e-08,0.0
1842,4.8970335342346516e-08,0.0
1843,5.6706348061652534e-08,2.953455480181333e-09
1844,5.1592476069117765e-08,3.2931368743049916e-09
1845,4.687391452762313e-08,2.2320911785556063e-09
