year,devrait_VERB assurer_VERB,devrait_VERB rassurer_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,1.3652374342143503e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,2.842877711017877e-09
1806,2.881669125542885e-09,1.729001475325731e-08
1807,5.693910232196231e-09,0.0
1808,1.1330369531492579e-08,0.0
1809,0.0,9.036122072814123e-09
1810,4.680253518074551e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,5.394447111228828e-09,0.0
1816,6.952811659743929e-09,0.0
1817,1.71256075987003e-08,0.0
1818,3.5763532135746345e-09,7.152706427149269e-09
1819,1.3456364911235141e-08,0.0
1820,4.746592452420373e-09,1.1866481131050932e-09
1821,2.9584463767662328e-09,1.1833785507064931e-08
1822,1.604098542884458e-08,1.0025615893027862e-09
1823,9.882686891060644e-10,1.9765373782121287e-09
1824,8.421112696055388e-09,8.421112696055388e-10
1825,1.0566531649658373e-08,1.7610886082763955e-09
1826,6.1655889282974385e-09,0.0
1827,1.8434546111834038e-09,1.6591091167583727e-08
1828,3.668920500743411e-09,8.255071293206129e-09
1829,1.2002446148073886e-08,9.430493719264632e-09
1830,1.5655253093882493e-08,6.262101504006523e-09
1831,2.6505050598757407e-08,9.354723218280014e-09
1832,2.4353944638733083e-08,0.0
1833,3.4750886612755494e-09,3.4750886612755494e-09
1834,7.467624740797874e-09,6.534171426153534e-09
1835,8.31939672707449e-09,1.5126175867408165e-09
1836,1.2097349788575684e-08,6.720750067579218e-10
1837,4.174734336004349e-09,3.478945576063097e-09
1838,1.4517972601879592e-08,7.574594285131298e-09
1839,8.38977065598101e-09,7.690622361167243e-09
1840,8.280594876453051e-09,0.0
1841,2.1829865914924085e-08,0.0
1842,6.037438549100216e-09,6.708265054555795e-09
1843,1.5357969118667825e-08,1.9492807368237663e-08
1844,1.2074834465636286e-08,6.037417232818143e-09
1845,1.0602432709561072e-08,2.7901139176833567e-09
1846,9.367202125076801e-09,0.0
1847,1.5101026207275936e-08,3.235934187273415e-09
1848,2.172209789819135e-08,9.65426583121598e-09
1849,1.9272654583346593e-08,8.379414939696517e-10
1850,1.0183494048021657e-08,2.0366988096043315e-09
1851,9.674158363282004e-09,6.449438760824933e-10
1852,1.7578472011337e-08,2.6042181744401205e-09
1853,5.971931837933653e-09,1.7915795513800958e-09
1854,1.2989160858012383e-08,8.832629738719788e-09
1855,1.2736649068756378e-08,5.306937111981824e-10
1856,2.5885946719483854e-09,1.501384794266869e-08
1857,1.2203773103180993e-08,2.9289055625270066e-09
1858,5.872411001917044e-09,0.0
1859,9.675129142294736e-09,1.5276520048956854e-09
1860,8.238931314963338e-09,5.034902272882391e-09
1861,1.3676294763342867e-08,9.431927461278633e-10
1862,7.228778020618165e-09,1.2198563048571032e-08
1863,5.494082966350788e-09,2.4973103585068657e-09
1864,1.4384183621984903e-08,0.0
1865,6.118897832863013e-09,2.8241067262513297e-09
1866,1.556996132023869e-08,7.298419202328432e-09
1867,8.249779526181555e-09,6.79393608038481e-09
1868,9.87974857480367e-09,5.433861360870651e-09
1869,5.371870948067681e-09,9.767038733343725e-09
1870,8.027668307875047e-09,1.3188312664169644e-08
1871,8.496941816815706e-09,5.3105884134652115e-09
1872,1.8746751706544273e-08,8.4662747923403e-09
1873,1.855661402316855e-08,2.9930022904522957e-09
1874,8.364453130127458e-09,6.572069999322139e-09
1875,4.577221712764867e-09,0.0
1876,8.464420275799966e-09,0.0
1877,9.27722432209066e-09,4.9478527941460015e-09
1878,9.662541877730746e-09,1.6305540029293297e-08
1879,1.4051448005147904e-08,6.10932526790009e-10
1880,7.059631101924424e-09,1.0910338410496934e-08
1881,4.8807553554297556e-09,4.183504653809678e-09
1882,1.1314154946262533e-08,2.6621540527571597e-09
1883,8.847074184359371e-09,1.2638677882037541e-09
1884,9.902545450302114e-09,4.621187876807653e-09
1885,2.707166935067562e-08,2.5782542767416317e-09
1886,1.4197620856748472e-08,6.453463874400711e-10
1887,1.8933882017790893e-08,1.697520346510828e-08
1888,2.4094335415725254e-08,1.9021844099853524e-09
1889,1.1277245803853475e-08,5.012109394186837e-09
1890,2.2284913470116408e-08,6.554386366985909e-09
1891,9.561330394092238e-09,0.0
1892,2.0686091062316336e-08,0.0
1893,2.0322774574310642e-08,4.310891643655168e-09
1894,2.457600345451283e-08,2.520615716150587e-09
1895,3.7315409429083957e-08,1.8055843487019274e-09
1896,2.181900704556483e-08,1.179405795248556e-09
1897,2.155884004650943e-08,8.740070001067579e-09
1898,2.7160103499568322e-08,5.6583548957434e-10
1899,4.145683618617113e-08,7.738609753005221e-09
1900,2.180242297811219e-08,4.671947717582725e-09
1901,4.3033288932292635e-08,3.912117296778206e-09
1902,2.5042448115186744e-08,9.820567470342212e-09
1903,2.8621167658116065e-08,2.1600881083827517e-09
1904,3.0097901060344157e-08,3.7622376325430196e-09
1905,4.954328858275403e-08,6.192911072844254e-09
1906,3.549487459508782e-08,6.173021205313489e-09
1907,2.108565766434367e-08,7.199980611716228e-09
1908,3.1432890068572306e-08,5.893666887857307e-09
1909,3.5206294768386215e-08,3.300590023513905e-09
1910,4.008112952647025e-08,4.809735720812114e-09
1911,4.415910481725405e-08,2.6601871816467337e-09
1912,3.64659484830554e-08,1.0418842455450772e-09
1913,4.1363318104004065e-08,0.0
1914,2.8795998474606677e-08,6.696743715117748e-10
1915,3.7698438148936475e-08,2.3561523843085297e-09
1916,2.8567400889301098e-08,4.394984820521586e-09
1917,6.579854527899442e-08,1.315970976634162e-08
1918,2.8715941624568586e-08,6.89182577673364e-09
1919,5.064316610514652e-08,0.0
1920,4.694783584113793e-08,0.0
1921,4.922285867792198e-08,1.5145494858259667e-09
1922,5.4596721810185045e-08,1.4755870969551665e-09
1923,3.503262746562541e-08,4.246379248229459e-09
1924,3.9964035636330664e-08,6.445812328337297e-09
1925,2.5295809891190402e-08,3.299453377181294e-09
1926,4.0126099776216506e-08,0.0
1927,3.7907366134959375e-08,0.0
1928,3.884854038460617e-08,1.1426041224282812e-09
1929,5.570203143179242e-08,5.570202965543558e-09
1930,4.936693542845205e-08,1.0503603542488804e-09
1931,4.676196141417677e-08,5.7026783295555106e-09
1932,4.7126007984843454e-08,2.1919073223131136e-09
1933,6.423570653169008e-08,6.882397318719313e-09
1934,5.391711255242626e-08,1.1981580172459871e-09
1935,4.547948151412129e-08,9.574627313213568e-09
1936,6.062357016389797e-08,6.0623572828433225e-09
1937,5.791914503561202e-08,6.295559185076627e-09
1938,5.0564334941327616e-08,2.5930428915188486e-09
1939,5.505858169385647e-08,7.647025235257843e-09
1940,4.3108308034334186e-08,0.0
1941,3.836953510472085e-08,2.9515025978810172e-09
1942,3.3376331032286544e-08,0.0
1943,3.4838823381733164e-08,2.9032352077962287e-09
1944,4.177142187700156e-08,6.4263723231761105e-09
1945,1.2199622290154366e-07,2.178504043826024e-09
1946,6.26449718765798e-08,1.1136883415474585e-08
1947,5.8412268799656886e-08,2.3841741914054637e-09
1948,7.284165093324191e-08,7.610321262063735e-09
1949,1.011151837815305e-07,4.908504269707237e-09
1950,6.593923984610228e-08,1.0635361480382244e-09
1951,4.797630737130021e-08,1.0661401761424827e-09
1952,7.90860283927941e-08,7.381362632230548e-09
1953,1.0019659413273985e-07,1.508335856215126e-08
1954,6.254423112750374e-08,5.863521668203475e-09
1955,7.977766358635563e-08,3.754243138587299e-09
1956,6.715278999536167e-08,8.72114114258693e-09
1957,9.01173820011536e-08,3.534015080575159e-09
