year,durent_VERB apporter_VERB,durent_VERB rapporter_VERB
1800,6.288328968651058e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,0.0,0.0
1803,2.3404069793286908e-08,0.0
1804,0.0,0.0
1805,8.528632911009026e-09,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,1.1330369531492579e-08,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,1.2535384286138651e-08,2.5070767684098882e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,8.627225156487839e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,3.113746815941454e-09
1818,4.768470951432846e-09,0.0
1819,1.5526575580793178e-08,1.035105001712111e-09
1820,3.5599443393152796e-09,3.5599443393152796e-09
1821,8.875339574387908e-09,0.0
1822,1.4035862250239006e-08,0.0
1823,2.9648061783404955e-09,2.9648061783404955e-09
1824,0.0,0.0
1825,2.641632912414593e-09,0.0
1826,5.284790383086602e-09,0.0
1827,0.0,9.217273055917019e-10
1828,1.6510142586412258e-08,0.0
1829,1.457439946506156e-08,0.0
1830,6.262101504006523e-09,1.0436835840010872e-09
1831,0.0,3.1182412207897414e-09
1832,6.764984572527055e-09,0.0
1833,8.108539617524002e-09,0.0
1834,9.334530925997342e-10,9.334530925997342e-10
1835,5.294161553592858e-09,3.025235173481633e-09
1836,6.72075017860152e-09,8.064899859050456e-09
1837,2.0873671680021744e-09,2.0873671680021744e-09
1838,1.5780404538645598e-08,3.1560809521380406e-09
1839,8.38977065598101e-09,1.4682098203877558e-08
1840,2.165694112932215e-08,6.369688665408546e-10
1841,2.1829865914924085e-08,0.0
1842,2.0795621225033756e-08,6.708265054555795e-10
1843,1.3585895075607368e-08,7.088293507706567e-09
1844,1.2623690537338916e-08,1.6465684371524958e-09
1845,2.0088821273134272e-08,2.7901139176833567e-09
1846,3.5127007969038004e-09,5.854501328173001e-09
1847,6.47186837454683e-09,2.1572894581822766e-09
1848,3.218088684420195e-09,3.218088684420195e-09
