year,voulut_VERB ouvrir_VERB,voulut_VERB rouvrir_VERB
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,3.5717739876872656e-08,4.7623651688866175e-09
1802,1.5664880947952042e-08,0.0
1803,2.7304748684287006e-08,0.0
1804,2.2246657849223084e-08,0.0
1805,1.3077237781544682e-07,0.0
1806,6.916005901302924e-08,0.0
1807,4.839823830593559e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,2.25903047379461e-08,0.0
1810,5.8503168531842675e-08,0.0
1811,7.270522672797597e-08,0.0
1812,2.6672083208723052e-08,0.0
1813,4.026038169513413e-08,0.0
1814,6.608021863030444e-08,0.0
1815,2.697223555614414e-09,0.0
1816,9.270415546325239e-09,0.0
1817,1.71256075987003e-08,0.0
1818,2.384235386898581e-08,0.0
1819,4.34744116262209e-08,0.0
1820,3.441279616822612e-08,0.0
1821,1.7750679148775816e-08,6.903041693817613e-09
1822,3.308453244699194e-08,0.0
1823,4.842516432290722e-08,0.0
1824,3.8737120178211626e-08,1.0105335235266466e-08
1825,3.522177216552791e-09,0.0
1826,3.170874407487645e-08,8.807984341885344e-10
1827,4.3321183085254233e-08,0.0
1828,2.109629271274116e-08,0.0
1829,6.77280880267972e-08,0.0
1830,5.4271545479878114e-08,0.0
1831,2.182768810143898e-08,0.0
1832,2.1647950987357945e-08,0.0
1833,2.4325620628928846e-08,0.0
1834,2.8003592333902816e-08,9.334530925997342e-10
1835,7.184933537018878e-08,6.806779140333674e-09
1836,7.325617445985699e-08,0.0
1837,4.383471363667013e-08,0.0
1838,4.7341213615936795e-08,0.0
1839,3.985140750728533e-08,0.0
1840,6.17859825524647e-08,2.5478754661634184e-09
1841,2.3756030032018316e-08,4.494383976094696e-09
1842,3.7566284305512454e-08,0.0
1843,2.4809025944705354e-08,1.1813822142769936e-09
1844,3.567564732520623e-08,3.841992946007622e-09
1845,6.249855033502172e-08,6.696273757711424e-09
1846,4.2152407786488766e-08,0.0
1847,4.6921044827286096e-08,1.6179670936367074e-09
1848,3.378993085334514e-08,0.0
1849,3.6869426622843093e-08,1.6758829879393033e-09
1850,3.2587180953669304e-08,2.7155984128057753e-09
1851,6.191461210391935e-08,3.8696632564949596e-09
1852,6.054807499822346e-08,6.510545436100301e-10
1853,4.837264810930719e-08,0.0
1854,5.195664343204953e-08,0.0
1855,5.943769565419643e-08,5.306937111981824e-10
1856,4.193523395201737e-08,5.177189343896771e-09
1857,2.880090299584026e-08,9.763018171682347e-10
1858,3.572383633354548e-08,1.9574704079872163e-09
1859,3.920973412618878e-08,0.0
1860,6.774232019779447e-08,1.373155145145688e-09
1861,6.932466334319543e-08,9.431927461278633e-10
1862,3.885468302655681e-08,9.035972525772706e-10
1863,4.545104914654985e-08,2.9967726078439227e-09
1864,6.185199197261682e-08,7.1920918109924514e-09
1865,2.165148416111151e-08,4.706844358715045e-10
1866,3.113992264047738e-08,5.352174259343201e-09
1867,5.82337378318698e-08,2.426405742994575e-09
1868,2.865126980111654e-08,4.939874287401835e-09
1869,4.2974967584541446e-08,9.767038289254515e-10
1870,3.841812556970581e-08,1.7202146374017957e-09
1871,3.186353225714811e-08,1.0621177271019633e-09
1872,3.265563108811875e-08,1.2094678591978436e-09
1873,3.7711828326791874e-08,5.986004469882289e-10
1874,5.018671700440791e-08,5.974609140757536e-10
1875,3.032409523484603e-08,0.0
1876,3.627608791134662e-08,0.0
1877,3.3398006138440905e-08,0.0
1878,4.287753085918666e-08,6.039088673581716e-10
1879,2.443730195977878e-08,0.0
1880,2.631317030932223e-08,6.417846254436199e-10
1881,3.2770785196589713e-08,0.0
1882,4.19289278852375e-08,0.0
1883,3.222862687835004e-08,0.0
1884,3.762967182296961e-08,1.3203393933736152e-09
1885,3.287274097374393e-08,0.0
1886,5.3563748991791726e-08,3.2267319927115068e-09
1887,2.8727267675776602e-08,0.0
1888,3.61415040117663e-08,6.340614699951175e-10
1889,1.8795409673089125e-08,0.0
1890,2.5562107097698572e-08,0.0
1891,1.784781566982474e-08,0.0
1892,3.0715710863660206e-08,6.268512375839919e-10
1893,4.434059874824925e-08,6.774258043407144e-09
1894,3.591877373310126e-08,1.2603078580752936e-09
1895,3.611168608586013e-08,1.2037228991346183e-09
1896,2.5357223876198987e-08,5.89702897624278e-10
1897,2.7385553380554484e-08,5.826713556089658e-10
1898,2.1501747937691107e-08,0.0
1899,1.6029977345510815e-08,2.7637891975018647e-09
1900,4.4123950715402316e-08,0.0
1901,3.856229824350521e-08,1.676621730339889e-09
1902,1.1293653123800595e-08,1.4730852093691738e-09
1903,3.0241231741001684e-08,1.0800440541913758e-09
1904,1.6123875568041512e-08,5.912087708281888e-09
1905,2.7352022868853965e-08,6.192911072844254e-09
1906,1.9033482345776065e-08,1.5432553013283723e-09
1907,2.828563872014911e-08,3.0857059130084963e-09
1908,2.89771957540097e-08,2.9468334439286537e-09
1909,2.3654228797909127e-08,5.500983557560346e-10
1910,3.313373397872965e-08,4.809735720812114e-09
1911,2.553779587799454e-08,5.320374141248863e-10
1912,3.229841283314272e-08,0.0
