year,pouvant_VERB approcher_VERB,pouvant_VERB rapprocher_VERB
1800,2.829747991484055e-08,0.0
1801,5.2386017301842e-08,9.524730337773235e-09
1802,4.0281122437590966e-08,0.0
1803,5.851017448321727e-09,0.0
1804,0.0,0.0
1805,5.970043304159844e-08,0.0
1806,1.152667650217154e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,1.8128591960930862e-08,0.0
1809,2.9367397402779716e-08,2.259030518203531e-09
1810,2.3401267590372754e-09,4.680253518074551e-09
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,5.394447111228828e-09
1816,3.0128852301913867e-08,2.3176038865813098e-09
1817,4.514932783195036e-08,9.341240669868967e-09
1818,3.099506074022429e-08,2.384235475716423e-09
1819,4.45095160728215e-08,2.070210003424222e-09
1820,5.22125169766241e-08,3.5599443393152796e-09
1821,2.1695274909916407e-08,1.3806083387635226e-08
1822,2.105379337535851e-08,8.02049271442229e-09
1823,4.842516432290722e-08,9.882686891060644e-10
1824,4.0421340941065864e-08,8.421112696055388e-10
1825,1.0566531649658373e-08,1.1447076175841175e-08
1826,4.1397527184017235e-08,0.0
1827,2.3964910056406552e-08,9.217273055917019e-10
1828,1.7427371545863934e-08,0.0
1829,5.143905745796928e-09,0.0
1830,1.2524203008013046e-08,3.1310507520032616e-09
1831,4.365537620287796e-08,0.0
1832,2.0294953273491956e-08,1.3529969367098715e-09
1833,2.6642345218874652e-08,0.0
1834,2.14694217959277e-08,4.667265685043276e-09
1835,9.832014313815307e-09,0.0
1836,1.68018754465038e-08,0.0
1837,2.5744196108234974e-08,0.0
1838,1.9567702125300457e-08,6.312161904276081e-09
1839,2.0974425751774106e-08,4.194885327990505e-09
1840,1.7835128929277744e-08,2.5478754661634184e-09
1841,1.1556987367100646e-08,3.852329122366882e-09
1842,2.2808102073668124e-08,3.3541325272778977e-09
1843,1.5357969118667825e-08,5.906911071384968e-10
1844,9.330554107123135e-09,2.195424508855126e-09
1845,1.1718478631905782e-08,2.2320911785556063e-09
1846,9.952652035849496e-09,0.0
1847,1.0247124926365814e-08,1.0786447290911383e-09
1848,7.24069959545659e-09,8.045221711050488e-10
1849,2.4300303991253713e-08,0.0
1850,9.504594444820214e-09,3.394498016007219e-09
1851,1.870337307252612e-08,6.449438760824933e-09
1852,2.2135854038651814e-08,0.0
1853,8.957897534855874e-09,5.971931837933653e-10
1854,2.286092382064453e-08,0.0
1855,1.2205955357558196e-08,0.0
1856,8.28350277259915e-09,1.0354378465748937e-09
1857,1.0251168802710708e-08,1.4644527812635033e-09
1858,1.663849857891364e-08,9.787352039936081e-10
1859,3.258990943777462e-08,2.5460866748261424e-09
1860,8.696649622663699e-09,0.0
1861,2.0750240636857598e-08,0.0
1862,7.680577063240435e-09,0.0
1863,1.048870412745373e-08,0.0
1864,1.821996598039277e-08,1.4384183844029508e-09
1865,2.4946274379544775e-08,0.0
1866,1.897589108068587e-08,9.731225825149181e-10
1867,5.82337378318698e-09,1.94112459439566e-09
