year,aurait_VERB acheté_VERB,aurait_VERB racheté_VERB
1800,7.860410988769218e-08,0.0
1801,2.6193008650921e-08,0.0
1802,1.6336232988578558e-07,1.7902721083373763e-08
1803,2.7304748684287006e-08,0.0
1804,1.9527622896475805e-07,0.0
1805,1.1655798459742073e-07,0.0
1806,3.1698359492793315e-08,3.1698359492793315e-08
1807,6.263301344233696e-08,2.8469551160981155e-09
1808,7.931259204951857e-08,6.798221985349073e-09
1809,8.810219043198231e-08,2.259030518203531e-09
1810,1.2168659679900884e-07,0.0
1811,7.771937760026049e-08,0.0
1812,4.5342538612658245e-08,8.00162425207418e-09
1813,5.463909147351842e-08,0.0
1814,8.181360300341112e-08,0.0
1815,1.0249449644561537e-07,1.0788894222457657e-08
1816,3.7081662185300956e-08,2.3176038865813098e-09
1817,7.472992535895173e-08,4.670620334934483e-09
1818,4.410835785506606e-08,2.5034472272977837e-08
1819,9.108924103884419e-08,1.0351049795076506e-08
1820,4.50926265216367e-08,1.1866481131050932e-09
1821,1.0453177878844144e-07,0.0
1822,1.162971443591232e-07,2.0051231786055723e-09
1823,4.743689885344793e-08,1.4824030003524058e-08
1824,1.19579794954916e-07,3.3684450784221553e-09
1825,9.15766094067294e-08,2.1133063299316746e-08
1826,1.2331177856594877e-07,2.1139161532346407e-08
1827,1.4931981695553986e-07,1.3825909306319772e-08
1828,9.355747465633613e-08,2.7516904310687096e-09
1829,1.217391059071815e-07,7.715858174606183e-09
1830,1.054120417620652e-07,1.2524203008013046e-08
1831,8.731075240575592e-08,2.3386808933878456e-08
1832,9.470978312720035e-08,1.6235963684607668e-08
1833,2.583149125712225e-07,6.950177322551099e-09
1834,7.560969805808782e-08,1.8669062740173104e-08
1835,1.013453783116347e-07,5.294161553592858e-09
1836,1.3643122542816855e-07,2.016224964762614e-09
1837,1.2593783083048038e-07,9.045257876039159e-09
1838,1.1866864468856875e-07,7.574594285131298e-09
1839,8.180025901083354e-08,9.788065469251706e-09
1840,1.2038711361128662e-07,3.821813088222825e-09
1841,1.0979137954336693e-07,9.630822361827995e-09
1842,1.1404050326291326e-07,4.024959032733477e-09
1843,1.6598420415903092e-07,1.9492807368237663e-08
1844,1.5477742465463962e-07,1.5916826967554698e-08
1845,1.3392546804880112e-07,5.022205318283568e-09
1846,1.1826092816136224e-07,1.2294452567118697e-08
1847,1.3860584147096233e-07,8.089835468183537e-09
1848,1.568818248642856e-07,2.413566457803995e-09
1849,1.3071887394744408e-07,1.0893239199560867e-08
1850,1.0047713772110001e-07,1.425689166723032e-08
1851,1.5801124675363099e-07,6.449438760824933e-09
1852,1.5495098182327638e-07,1.5625309046640723e-08
1853,9.734248607173868e-08,1.1943863675867306e-09
1854,1.0131545735703185e-07,3.63696517347023e-09
1855,9.870903028286193e-08,6.368324534378189e-09
1856,1.0147290652184893e-07,1.2425253714809514e-08
1857,9.56775778604424e-08,4.881509085841174e-10
1858,1.2136317195654556e-07,9.297984604472731e-09
1859,1.2628589729501982e-07,1.171199848215565e-08
1860,7.46080957014783e-08,7.781213007262977e-09
1861,9.85636390282707e-08,6.6023493339173456e-09
1862,6.822159548391937e-08,7.680577063240435e-09
1863,8.440909482487768e-08,3.995696662428827e-09
