year,durent_VERB appeler_VERB,durent_VERB rappeler_VERB
1800,0.0,1.2576657937302116e-08
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,3.9549615138412264e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,1.556873407970727e-09
1818,0.0,0.0
1819,1.2421260464634543e-08,0.0
1820,5.933240565525466e-09,0.0
1821,0.0,0.0
1822,0.0,5.012807946513931e-09
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,1.2331177856594877e-08
1827,1.1060727445055818e-08,9.217273055917019e-10
1828,0.0,7.337841001486822e-09
1829,1.714635211591542e-09,8.57317605795771e-10
1830,1.0436835840010872e-09,1.0436835840010872e-09
1831,7.795603274018958e-09,1.5591206103948707e-09
1832,1.0823975493678972e-08,0.0
1833,1.1583628500844156e-09,2.3167257001688313e-09
1834,2.8937046536725575e-08,0.0
1835,2.117664621437143e-08,7.563087933704082e-10
1836,4.704525213838906e-09,6.72075017860152e-09
1837,1.6698937344017395e-08,2.7831563720326358e-09
1838,6.312161904276081e-09,6.312161904276081e-09
1839,4.894032734625853e-09,6.9914749545318955e-09
1840,8.280594876453051e-09,4.458782232319436e-09
1841,1.926164561183441e-09,6.420548537278137e-09
1842,7.379091560011375e-09,0.0
1843,3.5441467538532834e-09,0.0
1844,1.3721403568922597e-08,4.9397050894128824e-09
1845,3.348136878855712e-09,3.348136878855712e-09
1846,5.854501328173001e-09,0.0
1847,1.5640349459999925e-08,0.0
1848,6.43617736884039e-09,1.126331028444838e-08
1849,1.0893239199560867e-08,4.1897072478036534e-09
1850,2.0366988096043315e-09,2.7155984128057753e-09
1851,5.8044946626978344e-09,6.449438760824933e-09
1852,1.6276363368206148e-08,7.161600201754936e-09
1853,2.9859659189668264e-09,2.388772735173461e-09
1854,9.352196350675968e-09,2.5978321716024766e-09
1855,1.5920811335945473e-09,5.306937111981824e-09
1856,2.5885946719483854e-09,4.141751386299575e-09
1857,1.4644527812635033e-09,3.4170564155999728e-09
1858,1.468102750479261e-09,1.9574704079872163e-09
1859,5.092173349652285e-10,2.036869339860914e-09
1860,2.746310290291376e-09,0.0
1861,6.13075279431996e-09,9.431927461278633e-10
1862,4.066187830886747e-09,2.2589932147099034e-09
1863,9.989241434027463e-09,4.994620717013731e-09
1864,9.589455896019672e-10,4.315255264231155e-09
1865,2.3534221238463715e-09,4.706844358715045e-10
1866,3.8924903300596725e-09,8.75810357570117e-09
1867,5.82337378318698e-09,3.88224918879132e-09
1868,5.433861360870651e-09,6.421836395986702e-09
1869,1.3673853160867111e-08,2.9301114867763545e-09
1870,1.1468097582678638e-09,0.0
1871,9.559059321873065e-09,4.248470908407853e-09
1872,0.0,6.047339518033823e-09
1873,1.616221290134945e-08,8.380406590902112e-09
1874,1.7923826867161097e-09,4.779687312606029e-09
1875,2.2886108563824337e-09,7.437985338754061e-09
1876,3.02300739996042e-09,0.0
1877,3.710889595609501e-09,4.9478527941460015e-09
1878,1.1474268646338714e-08,1.2078177347163432e-09
1879,2.443730107160036e-09,3.665595160740054e-09
1880,3.2089231272180996e-09,1.2835692508872398e-09
1881,7.669758161910067e-09,0.0
1882,5.989846840748214e-09,6.655385131892899e-10
1883,6.319338829996468e-09,1.9589950994713945e-08
1884,1.3203393933736152e-09,3.9610181801208455e-09
1885,7.7347630522695e-09,0.0
1886,6.4534639854230136e-09,6.453463874400711e-10
1887,7.1818169189441505e-09,5.876032105334161e-09
1888,8.876860135842435e-09,3.804368819970705e-09
1889,0.0,3.759081934617825e-09
1890,6.554386478008212e-10,0.0
1891,3.824531802365527e-09,2.5496880162734215e-09
1892,4.387958441043338e-09,2.5074049503359674e-09
1893,1.847525021858587e-09,3.695050043717174e-09
1894,5.041231432301174e-09,1.8904617871129403e-09
1895,4.213029924926559e-09,7.824199066419624e-09
1896,0.0,0.0
1897,2.9133566670225264e-09,1.7480140668268973e-09
1898,2.26334195829736e-09,1.6975064687230201e-09
1899,5.527578395003729e-10,2.7637891975018647e-09
1900,1.5573159428683425e-09,8.30568502863116e-09
1901,6.706486921359556e-09,1.676621730339889e-09
1902,5.892340837476695e-09,4.910283735171106e-09
1903,1.6200660812870638e-09,9.1803746826713e-09
1904,1.6123875568041512e-09,5.374625189347171e-10
1905,1.5482277682110634e-09,5.160758931310738e-09
1906,1.5432553013283723e-09,3.600929110447737e-09
1907,1.5428529565042481e-09,1.5428529565042481e-09
1908,2.9468334439286537e-09,3.437972351250096e-09
1909,6.0510818578052294e-09,8.801573692096554e-09
1910,1.068830135508847e-09,1.068830135508847e-09
1911,4.788336838146279e-09,0.0
1912,2.6047106693738442e-09,3.646594803896619e-09
1913,2.6514948014977335e-09,1.590896969716482e-09
1914,6.696743604095445e-09,6.696743715117748e-10
1915,3.534228465440492e-09,1.0602685840410686e-08
1916,4.394984820521586e-09,6.592477230782379e-09
1917,0.0,0.0
1918,1.1486376294556067e-09,0.0
1919,9.207848372660976e-10,4.603924352863942e-09
1920,2.2716695191604686e-09,7.572231730534895e-10
1921,1.5145494858259667e-09,3.0290989716519334e-09
1922,7.377935484775833e-10,2.2133805899215986e-09
1923,1.0615948120573648e-09,0.0
1924,1.289162443462999e-09,2.578324886925998e-09
1925,5.499089184013428e-09,8.798542339150117e-09
1926,1.1146138456652466e-09,3.343841648018042e-09
1927,3.3447675740205796e-09,2.2298449753321847e-09
1928,1.1426041224282812e-09,2.2852082448565625e-09
1929,0.0,3.342121912552898e-09
1930,1.0503603542488804e-09,2.100720708497761e-09
1931,1.1405356659111021e-09,1.1405356659111021e-09
1932,3.287861094491973e-09,0.0
1933,3.4411986593596566e-09,1.1470662197865522e-09
1934,2.3963160344919743e-09,2.3963160344919743e-09
1935,3.590485242455088e-09,1.196828414151696e-09
1936,1.2124714565686645e-09,0.0
1937,0.0,0.0
1938,3.8895642262559704e-09,1.2965214457594243e-09
1939,0.0,7.647025235257843e-09
1940,5.0715658339584024e-09,7.607348528892999e-09
1941,2.9515025978810172e-09,0.0
1942,0.0,1.8205270180260413e-08
1943,2.9032352077962287e-09,0.0
1944,3.2131861615880553e-09,3.2131861615880553e-09
1945,2.178504043826024e-09,6.535512131478072e-09
1946,6.960552134671616e-09,1.3921104269343232e-09
1947,0.0,3.5762612871081956e-09
1948,2.174377566888097e-09,1.0871887834440486e-09
1949,0.0,2.945102384188658e-09
1950,0.0,2.1270722960764488e-09
1951,1.0661401761424827e-09,1.0661401761424827e-09
1952,0.0,2.1089607837865287e-09
1953,0.0,3.232148326759443e-09
1954,1.9545072227344917e-09,4.886268278880834e-09
1955,6.569925492527773e-09,2.815682353940474e-09
1956,1.744228317335228e-09,6.104799332717903e-09
1957,4.417518795207798e-09,6.184526224473075e-09
1958,2.4816730892496253e-09,4.9633461784992505e-09
1959,5.425523585955716e-09,3.8753737996444215e-09
1960,2.076250060767393e-09,4.152500121534786e-09
1961,2.779263708063695e-09,3.47407969059077e-09
1962,3.170978146727066e-09,1.2683912808952869e-09
1963,1.2932106496776896e-09,2.5864212993553792e-09
1964,2.4335873316516654e-09,0.0
1965,2.188817349590977e-09,2.73602163147757e-09
1966,5.539074754423723e-10,1.1078149508847446e-09
1967,1.4791006197611978e-09,0.0
1968,1.7965663401398047e-09,4.042274071025531e-09
1969,0.0,9.083515606356229e-10
1970,3.219107425067591e-09,2.7592350626548523e-09
1971,1.0276794970565106e-09,5.138397485282553e-10
1972,3.5911027485013847e-09,2.565073486948677e-09
1973,1.102640756478479e-09,3.3079223804577396e-09
1974,0.0,0.0
1975,1.7134440533084216e-09,0.0
1976,2.285410749536254e-09,1.142705374768127e-09
1977,2.3507127355770763e-09,2.938390863960194e-09
1978,1.1881182704343018e-09,5.940591130126904e-09
1979,4.096381456264453e-09,1.1703946700691858e-09
1980,2.2740602734216964e-09,3.97960553399912e-09
1981,0.0,1.8976649140967083e-09
1982,3.1037510339615437e-09,6.207502289967692e-10
1983,1.89459470334441e-09,2.5261264191556165e-09
1984,5.799008495621649e-10,1.739702604197646e-09
1985,0.0,6.015558051686298e-10
1986,5.994485463567401e-10,2.3977941854269602e-09
1987,1.8332451112712533e-09,1.2221633705067347e-09
1988,2.398621523624911e-09,1.1993107618124554e-09
1989,5.488122178931576e-10,2.7440609784434855e-09
1990,2.179460389939436e-09,1.089730194969718e-09
1991,0.0,2.9307325455363298e-09
1992,2.7549720282848966e-09,1.65298330578878e-09
1993,3.323524566667402e-09,3.323524566667402e-09
1994,5.274926606624319e-10,1.0549853213248639e-09
1995,5.422450821690461e-10,2.7112254663563817e-09
1996,2.135236876199542e-09,4.804283193493575e-09
