year,fallait_VERB ouvrir_VERB,fallait_VERB rouvrir_VERB
1800,1.2576657937302116e-08,0.0
1801,1.904946067554647e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,9.751696339321825e-09,0.0
1804,9.887403784603066e-09,0.0
1805,1.421438877713399e-08,5.685755422035754e-09
1806,2.5935023018064385e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,2.2660739062985158e-08,0.0
1809,2.259030518203531e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,4.000812481308458e-08,0.0
1813,7.764502640839055e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,7.012781111370714e-08,0.0
1816,6.489290882427667e-08,0.0
1817,4.826307531402563e-08,0.0
1818,6.675859509641668e-08,0.0
1819,4.34744116262209e-08,1.5526575580793178e-08
1820,7.475883023744245e-08,0.0
1821,1.676452932031225e-08,9.86148829262845e-10
1822,3.308453244699194e-08,0.0
1823,3.5577674140085946e-08,0.0
1824,5.136878655775945e-08,1.6842225392110777e-09
1825,5.987701001686219e-08,0.0
1826,2.7304752237000685e-08,0.0
1827,6.083400450052068e-08,0.0
1828,3.8523666034961934e-08,0.0
1829,3.086343269842473e-08,0.0
1830,4.5922078584226256e-08,0.0
1831,7.795603096383275e-08,1.5591206103948707e-09
1832,8.929779937716376e-08,2.705993873419743e-09
1833,7.52935847003755e-08,0.0
1834,5.880754372356023e-08,9.334531370086552e-09
1835,7.487457054367042e-08,3.025235173481633e-09
1836,5.645430078971003e-08,1.3441500135158435e-09
1837,5.844628248041772e-08,1.1132625488130543e-08
1838,4.86036455527028e-08,1.8936485712828244e-09
1839,6.571986688186371e-08,6.292327547896548e-09
1840,7.707323135264232e-08,7.0066574764382494e-09
1841,7.31942506604355e-08,0.0
1842,6.909512961783548e-08,2.683306021822318e-09
1843,5.1390127708828004e-08,5.31621990873532e-09
1844,8.78169785778482e-08,4.390849017710252e-09
1845,5.8034370198356555e-08,1.1160455892778032e-09
1846,5.971591576781066e-08,5.854501328173001e-10
1847,9.438141290729618e-08,2.6966118227278457e-09
1848,7.160247150750365e-08,0.0
1849,6.368355087715827e-08,0.0
1850,6.992665646521345e-08,6.788996032014438e-10
1851,5.868989205737307e-08,3.2247193804124663e-09
1852,7.487127362537649e-08,4.557382027314816e-09
1853,4.658106789179328e-08,5.971931837933653e-10
1854,5.143707682009335e-08,0.0
1855,5.3600064831016425e-08,2.653468555990912e-09
1856,6.419714537742038e-08,0.0
1857,3.612316845647001e-08,5.369659827891837e-09
1858,4.6489923022363655e-08,6.361778659424999e-09
1859,3.819129901216911e-08,1.171199848215565e-08
1860,4.3025529805618135e-08,2.288591982591015e-09
1861,5.659156343540417e-08,1.4147891747029462e-09
1862,5.1956842384015545e-08,1.8071945051545413e-09
1863,7.541877522498908e-08,2.4973103585068657e-09
1864,4.890622662401256e-08,0.0
1865,4.283228349777346e-08,5.177528628053096e-09
1866,4.0871150019938796e-08,1.216403244796993e-08
1867,7.327745521479301e-08,1.94112459439566e-09
1868,6.076044911651479e-08,9.87974813071446e-10
1869,4.737013625799591e-08,5.371870948067681e-09
1870,7.0528798801206e-08,3.4404292748035914e-09
1871,5.947859449406678e-08,0.0
1872,4.233137573805834e-08,5.442605477412599e-09
1873,4.908523720814628e-08,0.0
1874,4.062734149101743e-08,5.377148060148329e-09
1875,4.748867610260277e-08,1.1443054281912168e-09
1876,2.8416270225761764e-08,0.0
1877,4.4530676035492434e-08,0.0
1878,2.2344627481629686e-08,4.22736201599605e-09
1879,4.826366861720999e-08,7.331190321480108e-09
1880,3.914886193001621e-08,4.492492600149944e-09
1881,4.044054335849978e-08,2.091752326904839e-09
1882,4.858431168486277e-08,0.0
1883,4.107570461542309e-08,1.2638677882037541e-09
1884,5.215340692643622e-08,0.0
1885,4.640857653726016e-08,2.5782542767416317e-09
1886,5.2918402104751294e-08,7.098810428374236e-09
1887,5.810742820244741e-08,6.528924623161458e-10
1888,4.057993407968752e-08,0.0
1889,7.20490760386383e-08,0.0
1890,6.751017878059429e-08,6.554386478008212e-10
1891,2.4859458491732767e-08,1.9122659011827636e-09
1892,5.0774950466347946e-08,3.1342561879199593e-09
1893,4.9883173147691195e-08,6.158416554491453e-10
1894,3.654892921645114e-08,0.0
1895,4.814891596538473e-08,3.0093072478365457e-09
1896,2.4177818858106548e-08,7.076434549446731e-09
1897,3.729096675897381e-08,2.330685422435863e-09
1898,5.714938566825367e-08,1.6975064687230201e-09
1899,7.738609753005221e-08,2.2110313580014918e-09
1900,4.152842336679896e-08,1.5573159428683425e-09
1901,4.8622027293276915e-08,0.0
1902,2.553347577816112e-08,4.910283846193408e-10
1903,4.428180488957878e-08,2.1600881083827517e-09
1904,3.33226779503093e-08,1.0749250378694342e-09
1905,3.354493216534138e-08,2.0643036169332163e-09
1906,3.652370850204534e-08,4.629765903985117e-09
1907,3.857132568896304e-08,2.057137349353866e-09
1908,3.634427869769752e-08,5.40252820258047e-09
1909,2.7504917454734823e-08,1.6502950117569526e-09
1910,6.893954207498609e-08,0.0
1911,5.7460042057755345e-08,0.0
1912,3.6986889995205274e-08,2.0837684910901544e-09
1913,4.401481490390324e-08,0.0
1914,2.0759905794420774e-08,0.0
1915,3.180805663305364e-08,0.0
