year,faut_VERB approcher_VERB,faut_VERB rapprocher_VERB
1800,3.458580977167003e-08,1.1947824418712116e-07
1801,3.333655484993869e-08,1.7144515140898875e-07
1802,3.1329761895904085e-08,1.208433673127729e-07
1803,9.751696339321825e-09,7.606323038089613e-08
1804,1.1123329102247226e-07,7.415552971679062e-08
1805,5.970043304159844e-08,7.675770063997334e-08
1806,8.06867319624871e-08,1.0950342499427279e-07
1807,1.1387820464392462e-08,1.0533734240425474e-07
1808,2.945896149242344e-08,1.359644414833383e-07
1809,1.581321384946932e-08,8.358412628695078e-08
1810,2.3401266702194334e-08,1.2168659679900884e-07
1811,1.504245972228091e-08,6.518399686683551e-08
1812,6.401299401659344e-08,1.6269970615212515e-07
1813,2.0130190847567064e-08,1.2078115219082974e-07
1814,4.72001566720337e-08,9.125363931161701e-08
1815,4.5852800667489646e-08,1.6183341244868643e-07
1816,6.257530316133852e-08,2.109019590079697e-07
1817,6.227493543065066e-08,1.1520863552050287e-07
1818,2.6226590676969863e-08,6.914282835168706e-08
1819,2.2772310259711048e-08,8.79839276990424e-08
1820,3.9159388620646496e-08,1.091716228529549e-07
1821,2.7612166775270452e-08,1.1735171057125626e-07
1822,7.619468078701175e-08,8.72228582693424e-08
1823,3.9530746676064155e-08,9.882686669016039e-08
1824,3.2842340402794434e-08,9.852701765566962e-08
1825,3.258013947515792e-08,8.805442774928451e-08
1826,3.52319382557198e-08,7.222546827279075e-08
1827,3.594736597278825e-08,1.0139000039544044e-07
1828,3.210305266065916e-08,1.3116390107370535e-07
1829,6.086955295359076e-08,1.1059397309054475e-07
1830,4.383471008395645e-08,1.4194097275321838e-07
1831,3.741889287312006e-08,2.744052380876383e-07
1832,2.0294953273491956e-08,1.2176973029909277e-07
1833,5.21263281427764e-08,8.571885246055899e-08
1834,3.173740381612333e-08,1.2414926686687977e-07
1835,4.0084366048631637e-08,2.011781390365286e-07
1836,6.115882911217341e-08,1.317267077638462e-07
1837,3.965997663613052e-08,1.6003149028165353e-07
1838,5.3653376852480505e-08,1.1109405306797271e-07
1839,5.2436064379435265e-08,2.2792208653754642e-07
1840,2.4841785517537573e-08,1.1847620839944284e-07
1841,3.9165346521485844e-08,2.0802576727874111e-07
1842,5.702025163145663e-08,1.25444557852461e-07
1843,3.18973185642335e-08,1.8488631781110598e-07
1844,3.677336124496833e-08,1.3831174783263123e-07
