year,avaient_VERB appelé_VERB,avaient_VERB rappelé_VERB
1800,1.980823611802407e-07,1.2576657937302116e-08
1801,2.0478169915350009e-07,2.3811825844433088e-09
1802,1.0741632650024258e-07,2.2378401354217203e-09
1803,1.9308357934733067e-07,7.021220937986072e-08
1804,2.397695482159179e-07,1.4831105232815389e-08
1805,1.5351540127994667e-07,1.9900143755080535e-08
1806,1.7578182109900808e-07,8.645007376628655e-09
1807,2.903894085193315e-07,2.8469551160981155e-09
1808,3.036539055756293e-07,2.7192887941396293e-08
1809,1.8524050915402768e-07,9.036122072814123e-09
1810,2.9953622515677125e-07,2.3401266702194334e-08
1811,2.356652117896374e-07,3.008491944456182e-08
1812,2.640536251874437e-07,4.000812481308458e-08
1813,4.3711273178814736e-07,1.0640243885973177e-07
1814,2.391474538399052e-07,3.1466771410748606e-09
1815,2.6702514333010186e-07,1.2137506644194218e-07
1816,1.8309070526356663e-07,7.416332437060191e-08
1817,3.565239978797763e-07,4.203558034987509e-08
1818,6.663938165729633e-07,9.536941547594324e-08
1819,6.231331894923642e-07,8.69488232524418e-08
1820,3.7142086739549995e-07,3.441279616822612e-08
1821,4.3883622424800706e-07,3.0570614484304315e-08
1822,3.5290167943458073e-07,7.519211919770896e-08
1823,3.8740131458325777e-07,7.708495530778237e-08
1824,4.707401899395336e-07,3.621078548121659e-08
1825,5.485791234605131e-07,9.5979331149465e-08
1826,5.275982744024077e-07,6.253669226907732e-08
1827,4.0556000158176175e-07,7.834682236307344e-08
1828,5.631792987514928e-07,5.961995697134626e-08
1829,5.409673917711189e-07,6.687077558353849e-08
1830,5.510649430107151e-07,5.635891398014792e-08
1831,4.3031730001530377e-07,4.677361786775691e-08
1832,5.100798716739519e-07,7.035583848846727e-08
1833,4.749287825234205e-07,5.444305273272221e-08
1834,5.358020871426561e-07,3.9205030333278046e-08
1835,4.7344929043902084e-07,4.310960122211327e-08
1836,4.926309884467628e-07,6.98957975941994e-08
1837,5.190586875869485e-07,7.584100814028716e-08
1838,6.438405080189114e-07,7.827080850120183e-08
1839,5.670086125064699e-07,1.0417298312859202e-07
1840,7.369729928541346e-07,8.153201491722939e-08
1841,5.329055170477659e-07,9.630822717099363e-08
1842,5.098281690152362e-07,8.117000760421433e-08
1843,4.5837629158995696e-07,8.033399012674636e-08
1844,7.640077228643349e-07,1.0812465944809446e-07
1845,6.495385491689376e-07,5.245414413934668e-08
1846,5.889628482691478e-07,8.898842196458645e-08
1847,6.310071398729633e-07,1.0624650315094186e-07
1848,4.5133694470678165e-07,3.781254065415851e-08
1849,4.524883934209356e-07,7.457679629396807e-08
1850,5.01706779232336e-07,6.042206734946376e-08
1851,4.849977699450392e-07,5.159551008659946e-08
1852,4.6094660888229555e-07,8.268392548416159e-08
1853,5.404598368841107e-07,4.299791100947914e-08
1854,5.408686547525576e-07,8.001322981954218e-08
1855,5.227333303992054e-07,8.225752878843196e-08
1856,3.8984234151939745e-07,6.678573782892272e-08
1857,3.8954442516114796e-07,6.541222319356166e-08
1858,4.971975045009458e-07,5.431980554249094e-08
1859,4.027909028536669e-07,5.244938705573077e-08
1860,5.886258236387221e-07,1.0024032803812588e-07
1861,4.918750278193329e-07,8.394415118573306e-08
1862,5.376403464651958e-07,9.71367057900352e-08
1863,4.884739155386342e-07,9.589672345100553e-08
1864,4.607733501416078e-07,5.753673448793961e-08
