year,auraient_VERB emporté_VERB,auraient_VERB remporté_VERB
1800,1.8864987794131594e-08,2.5153315874604232e-08
1801,4.7623651688866175e-09,3.5717739876872656e-08
1802,0.0,2.0140561218795483e-08
1803,7.801356893821776e-09,3.900678446910888e-09
1804,2.2246657849223084e-08,1.9774807569206132e-08
1805,0.0,1.1371510844071508e-08
1806,3.1698359492793315e-08,5.76333825108577e-09
1807,3.4163463169534225e-08,5.693910232196231e-09
1808,2.2660739062985158e-08,0.0
1809,2.710836710662079e-08,2.0331274441787173e-08
1810,1.6380887757350138e-08,2.106114038724627e-08
1811,1.2535384286138651e-08,2.2563691359778204e-08
1812,0.0,2.6672083208723052e-08
1813,4.3136125782439194e-08,5.751483289628823e-09
1814,9.440030979135372e-09,9.440030979135372e-09
1815,8.091670444798638e-09,1.0788894222457657e-08
1816,1.8540831092650478e-08,1.1588019432906549e-08
1817,9.341240669868967e-09,1.8682481339737933e-08
1818,2.6226590676969863e-08,2.2650237241350624e-08
1819,2.070210003424222e-09,2.070209959015301e-08
1820,2.3732962262101864e-08,3.322614716694261e-08
1821,9.861488514673056e-09,1.1833785507064931e-08
1822,1.604098542884458e-08,2.105379337535851e-08
1823,4.644862983127496e-08,1.9765373338032077e-08
1824,2.2737005167527968e-08,3.452656116564867e-08
1825,1.2327619813845558e-08,9.68598712347557e-09
1826,9.688783109140786e-09,2.554315514657901e-08
1827,2.488663675137559e-08,1.013900075008678e-08
1828,2.2930752408001354e-08,1.3758452155343548e-08
1829,2.2290258527846163e-08,8.573175946935407e-09
1830,2.400472176589119e-08,2.2961039292113128e-08
1831,1.4032085715598441e-08,2.3386808933878456e-08
1832,9.470978667991403e-09,1.3529969367098715e-09
1833,1.853380560135065e-08,1.1583628278799551e-08
1834,3.453776287187793e-08,6.534171426153534e-09
1835,1.8907719834260206e-08,2.571449897459388e-08
1836,2.9571300075303952e-08,2.755507466645213e-08
1837,7.653680356156656e-09,2.365682938432201e-08
1838,3.471689069556305e-08,1.5780404538645598e-08
1839,2.027527834513876e-08,3.635567225046543e-08
1840,1.9746034141121527e-08,2.356784811752277e-08
1841,3.146068650039524e-08,1.6051371787284552e-08
1842,1.341653010911159e-08,5.1653639587811995e-08
1843,2.3627643841450663e-08,3.721353891705803e-08
1844,1.756339607084101e-08,2.085653250105679e-08
1845,1.7298706467272496e-08,1.562463758375543e-08
1846,1.5221703009160592e-08,1.7563504428608212e-08
1847,4.422443566909351e-08,1.6179670936367074e-08
1848,1.528592186161859e-08,1.689496542667257e-08
1849,1.8434713311421547e-08,7.54147322368226e-09
1850,8.146795238417326e-09,1.2899092460827433e-08
1851,4.901573547044791e-08,7.739326512989919e-09
1852,2.799534470909748e-08,7.812654523320361e-09
1853,2.5679307569248522e-08,5.971931837933653e-10
1854,3.117398605922972e-08,2.8056588163849483e-08
1855,3.3964397516683675e-08,1.5920811335945473e-08
1856,1.5531567143511893e-08,4.141751386299575e-09
1857,2.2943092758964667e-08,5.369659827891837e-09
1858,2.936205589776364e-08,9.297984604472731e-09
1859,4.6338776371612767e-08,1.4258085379026397e-08
1860,2.746310379109218e-08,1.2358396972445007e-08
1861,2.782418562219391e-08,9.431927239234028e-09
1862,1.8975542914745347e-08,1.2198563048571032e-08
1863,2.3974180862751382e-08,4.994620717013731e-09
1864,3.16452037907311e-08,4.794728170054441e-09
1865,1.835669216632141e-08,1.6003271596787272e-08
1866,4.6223323835192787e-08,1.3623716377253459e-08
1867,1.649955905236311e-08,7.76449837758264e-09
1868,2.2723421366777075e-08,1.0373735648272486e-08
1869,1.70923168951731e-08,2.2952539424636598e-08
1870,3.096386436141074e-08,1.3761717099214366e-08
1871,4.6733180880664804e-08,2.442870794538976e-08
1872,2.4794090336399677e-08,1.2094679036067646e-08
1873,1.7359413462259e-08,9.577607151811662e-09
