year,doit_VERB assurer_VERB,doit_VERB rassurer_VERB
1800,3.427139176892524e-07,1.2576657582030748e-07
1801,3.000290007548756e-07,8.334139067756041e-08
1802,2.394488944901241e-07,1.4098392853156838e-07
1803,2.398917331447592e-07,7.216254971353919e-08
1804,2.4224138428508013e-07,1.1864884186252311e-07
1805,3.041879210741172e-07,1.3645812657614442e-07
1806,2.362968700708734e-07,9.509508203109363e-08
1807,1.508886242618246e-07,1.0818429529990681e-07
1808,1.5862518409903714e-07,1.1330369886763947e-07
1809,1.1746958961111886e-07,6.09938268780752e-08
1810,8.89248141788812e-08,1.4040760731859336e-07
1811,1.8803075363393873e-07,3.5099073869560016e-08
1812,2.053750307595692e-07,6.13457871168066e-08
1813,2.645682286583906e-07,1.00650957790549e-07
1814,3.5872119497071253e-07,2.391474538399052e-07
1815,3.182723844474822e-07,9.170560133497929e-08
1816,2.9201808615653135e-07,1.0892738089296472e-07
1817,2.0550729118440358e-07,7.7843672841027e-08
1818,2.002757781838227e-07,1.0252212234718172e-07
1819,2.6291667154509923e-07,9.833497216504838e-08
1820,2.9428872494463576e-07,1.4121113167675503e-07
1821,2.919000507972669e-07,5.719663320746804e-08
1822,3.46886309898764e-07,8.221005032282847e-08
1823,2.1247777226562903e-07,3.9530746676064155e-08
1824,1.9536980744305765e-07,5.4737231636181605e-08
1825,1.5585634116632718e-07,7.396572243578703e-08
1826,1.9553725394416688e-07,5.813269510213104e-08
1827,2.166059118735575e-07,1.7420646258869965e-07
1828,3.0452039823103405e-07,8.713686128203335e-08
1829,2.5548064286340377e-07,5.744027831156018e-08
1830,3.037119142845768e-07,4.383471008395645e-08
1831,2.2763160245631298e-07,8.886987501455224e-08
1832,3.8560412463084504e-07,1.2582871988797706e-07
1833,2.4325620984200214e-07,1.3437009727113036e-07
1834,2.716348603826191e-07,8.307732457524253e-08
1835,2.5109451939897554e-07,4.9160071569076536e-08
1836,1.7406742358616611e-07,7.863277318165274e-08
1837,2.4004722831705294e-07,7.236206300831327e-08
1838,1.6979716122023092e-07,6.312161815458239e-08
1839,2.9993427119734406e-07,4.544459031308179e-08
1840,3.0192325084499316e-07,7.45253601053264e-08
1841,2.5553782734277775e-07,1.2584274600158096e-07
1842,2.3344762212218484e-07,9.659901678560345e-08
1843,2.5990408403231413e-07,9.391988697871057e-08
1844,2.607066562632099e-07,8.617040947456189e-08
1845,2.527843321331602e-07,6.807878349945895e-08
1846,2.874560038890195e-07,6.264316709803097e-08
1847,3.775256516291847e-07,1.2188685616365547e-07
1848,4.955856525157287e-07,6.757986170669028e-08
1849,3.2763512081146473e-07,6.284561493430374e-08
1850,2.9871583251406264e-07,7.603675555856171e-08
1851,3.166674389376567e-07,4.837079004005318e-08
1852,2.5911970169545384e-07,5.338647213193326e-08
1853,2.2872498561810062e-07,7.703791737867505e-08
1854,2.769289153548016e-07,8.001322981954218e-08
1855,2.1227748447927297e-07,7.429711956774554e-08
1856,2.526468279029359e-07,6.316170697573398e-08
1857,2.7141189207213756e-07,6.83411300883563e-08
1858,2.3147087802044553e-07,6.166031596421817e-08
1859,2.3423997674854036e-07,6.059686086246074e-08
1860,2.622726356094063e-07,7.781212474355925e-08
1861,2.8861697387583263e-07,4.527325359049428e-08
1862,3.0948206131142797e-07,8.719713662230788e-08
1863,2.9618101393680263e-07,7.691716064073262e-08
1864,2.7761475962506665e-07,6.760566151342573e-08
1865,2.287526399413764e-07,3.95374932793402e-08
1866,2.6176996925642015e-07,5.741423336758089e-08
1867,2.5428732897125883e-07,5.532205094027631e-08
1868,2.771269294044032e-07,7.558007553143398e-08
1869,2.783606021239393e-07,6.495080384638641e-08
1870,2.1846726383500936e-07,8.715754518107133e-08
1871,4.4821368305747455e-07,9.240424247991541e-08
