year,devaient_VERB appliquer_VERB
1800,0.0
1801,0.0
1802,6.713520406265161e-09
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,8.540865792383556e-09
1808,1.1330369531492579e-08
1809,0.0
1810,4.680253518074551e-09
1811,0.0
1812,1.3336041604361526e-08
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,3.113746815941454e-09
1818,5.960588467246453e-09
1819,6.210630232317271e-09
1820,1.1866481131050932e-09
1821,5.9168927535324656e-09
1822,1.1028177482330648e-08
1823,4.941343334508019e-09
1824,6.736890156844311e-09
1825,3.522177216552791e-09
1826,8.807984341885344e-10
1827,9.217273166939322e-09
1828,1.0089530988466322e-08
1829,1.714635211591542e-09
1830,1.878630406793036e-08
1831,2.0268567268999504e-08
1832,9.470978667991403e-09
1833,2.3167257001688313e-09
1834,1.8669061851994684e-09
1835,0.0
1836,8.064899859050456e-09
1837,6.957890930081589e-10
1838,2.5248647617104325e-09
1839,4.894032734625853e-09
1840,8.917564464638872e-09
1841,1.9903700021473014e-08
1842,2.95163662400455e-08
1843,1.1223130869097986e-08
1844,8.232841963717874e-09
1845,1.9530798311961917e-08
1846,2.5759806732139623e-08
1847,1.7258315665458213e-08
1848,8.84974404868899e-09
1849,2.513824526317876e-08
1850,1.8330290174617403e-08
1851,3.1602251482354404e-08
1852,2.929745512858517e-08
1853,1.1943863675867306e-09
1854,5.195664343204953e-09
1855,1.6982198758341838e-08
1856,1.5531567143511893e-08
1857,3.4170564155999728e-09
1858,1.1744822003834088e-08
1859,2.1387128512628806e-08
1860,1.9224172476128842e-08
1861,1.6034276129062164e-08
1862,1.0391368654438793e-08
1863,2.4973104473247076e-08
1864,1.3904711160250827e-08
1865,2.3534221682552925e-08
1866,9.731225825149181e-10
1867,2.0867089389753346e-08
1868,1.0373735648272486e-08
1869,9.278686263769487e-09
1870,1.0321287824410774e-08
1871,3.18635318130589e-09
1872,6.047339518033823e-09
1873,1.1373408881354408e-08
1874,1.8521287614703397e-08
1875,1.0298748520654044e-08
1876,2.7811667635546655e-08
1877,1.5462040536817767e-08
1878,1.8117265909722846e-08
1879,3.29903571127943e-08
1880,2.759673911612026e-08
1881,1.045876096839038e-08
1882,1.7304001787010748e-08
1883,1.3902545781263598e-08
1884,1.0562715146988921e-08
1885,1.353583467533781e-08
1886,1.4197620856748472e-08
1887,2.546280519766242e-08
1888,2.1558090423923204e-08
1889,1.3156786771162388e-08
1890,1.8352281472289178e-08
1891,7.649063604731055e-09
1892,2.0686091062316336e-08
1893,3.633465794905533e-08
1894,1.071261657159539e-08
1895,1.0833506536300774e-08
1896,1.7691087705884456e-08
1897,1.1653426668090106e-08
1898,1.4711722506888236e-08
1899,2.04520400615138e-08
1900,2.180242297811219e-08
1901,2.0119459875900247e-08
1902,1.7677022512430085e-08
1903,1.0800440541913758e-08
1904,1.9886112312406112e-08
1905,2.115911179600971e-08
