year,pouvaient_VERB égaler_VERB
1800,1.8864987794131594e-08
1801,1.1905912700171939e-08
1802,4.2518962573012686e-08
1803,1.950339267864365e-08
1804,2.2246657849223084e-08
1805,8.528632911009026e-09
1806,2.5935023018064385e-08
1807,2.8469551160981155e-09
1808,4.5321479902327155e-09
1809,1.129515236897305e-08
1810,2.106114038724627e-08
1811,2.0056614147279106e-08
1812,2.1337665856435706e-08
1813,4.026038169513413e-08
1814,3.1466771410748606e-09
1815,5.1247248222807684e-08
1816,1.3905623319487859e-08
1817,9.341240669868967e-09
1818,2.384235475716423e-09
1819,1.7596784473994376e-08
1820,3.5599443393152796e-09
1821,3.4515210245444905e-08
1822,2.606660132187244e-08
1823,6.917880934764753e-09
1824,1.9368560089105813e-08
1825,2.905796137042671e-08
1826,1.0569580766173203e-08
1827,2.1199728195142598e-08
1828,1.4675682002973645e-08
1829,1.800366966620004e-08
1830,1.7742621594152297e-08
1831,3.585977381703742e-08
1832,2.3000948701223933e-08
1833,4.2859426230279496e-08
1834,3.267085801894609e-08
1835,2.647080776796429e-08
1836,2.5538851033957144e-08
1837,1.3219993100221927e-08
1838,3.787297231383491e-08
1839,1.957613093850341e-08
1840,4.395085184683012e-08
1841,1.219904177673925e-08
1842,1.341653010911159e-08
1843,1.594865928211675e-08
1844,2.25031016043431e-08
1845,2.5669049108500985e-08
1846,9.367202125076801e-09
1847,1.294373674909366e-08
1848,2.172209789819135e-08
1849,7.54147322368226e-09
1850,7.467895635215882e-09
1851,9.674158363282004e-09
1852,1.5625309046640723e-08
1853,2.030456869306363e-08
1854,8.313063126763609e-09
1855,5.306937111981824e-09
1856,3.882891874695815e-08
1857,1.2203773103180993e-08
1858,3.9149408159744326e-09
1859,8.147477359443656e-09
1860,1.5562426014525954e-08
1861,1.4619487842537637e-08
1862,1.400575744270327e-08
1863,1.048870412745373e-08
1864,1.2466292886870178e-08
1865,1.2708479601997169e-08
1866,1.216403244796993e-08
1867,9.7056229719783e-10
1868,5.9278488784286765e-09
1869,6.348574999037737e-09
1870,7.454262984651905e-09
1871,3.18635318130589e-09
1872,6.652073114565837e-09
1873,1.616221290134945e-08
1874,9.559374625212058e-09
1875,8.58229043387837e-09
1876,1.0278225381910033e-08
1877,6.80329748092845e-09
1878,7.2469061862534545e-09
1879,8.55305515301552e-09
1880,7.059631101924424e-09
1881,1.3945015142624584e-09
1882,1.7304001787010748e-08
1883,1.8958017378167824e-09
1884,7.922036360241691e-09
1885,1.160214413431504e-08
1886,4.5174246565693466e-09
1887,7.834709769838355e-09
1888,1.1413106904001324e-08
1889,4.385595886446936e-09
1890,6.554386366985909e-09
1891,6.374220040683554e-10
1892,3.1342561879199593e-09
1893,1.0469308087124318e-08
1894,1.8904617871129403e-09
1895,3.611168697403855e-09
1896,8.255840455717589e-09
1897,5.2440420894583895e-09
1898,5.6583548957434e-10
1899,5.527578395003729e-09
1900,5.710158568206225e-09
1901,1.5089595351014395e-08
1902,7.365425602756659e-09
1903,1.0800440541913758e-09
1904,6.449550227216605e-09
1905,4.64468330463319e-09
1906,5.144184633820714e-09
1907,8.742834012309686e-09
1908,4.911389073214423e-09
1909,4.400786846048277e-09
1910,4.809735720812114e-09
1911,6.384448969498635e-09
1912,6.251305251225858e-09
1913,4.242391771214216e-09
1914,6.027069510139427e-09
1915,8.246533234057551e-09
1916,0.0
1917,4.386569774084137e-09
1918,3.44591288836682e-09
1919,6.4454939163738345e-09
1920,1.1358347151713133e-08
1921,9.844571380313027e-09
1922,5.902348387820666e-09
1923,1.0615948120573648e-08
1924,7.734974438733389e-09
1925,8.798542339150117e-09
1926,6.687683296036084e-09
1927,1.1149224876660924e-09
1928,6.8556245125250825e-09
1929,5.570202965543558e-09
1930,6.302162347537887e-09
1931,7.983749661377715e-09
1932,8.767629289252454e-09
1933,4.588264879146209e-09
1934,7.188948103475923e-09
1935,5.98414207075848e-09
1936,3.6374143697059935e-09
1937,1.2591118148108649e-09
1938,1.2965214457594243e-09
1939,1.2235240376412548e-08
1940,2.5357829169792012e-09
1941,0.0
1942,1.2136847082899749e-08
1943,2.9032352077962287e-09
1944,9.639558484764166e-09
1945,6.535512131478072e-09
1946,5.568441707737293e-09
1947,5.960435700558264e-09
1948,1.0871887834440486e-09
1949,9.817008539414473e-09
1950,4.2541445921528975e-09
1951,8.529121409139861e-09
1952,8.435843135146115e-09
1953,6.464296653518886e-09
1954,6.840775057526116e-09
1955,9.385607846468247e-10
1956,9.593255967388359e-09
1957,1.7670075402875796e-09
1958,8.272243445794913e-10
1959,2.325224457422337e-09
1960,5.536666680683311e-09
1961,2.08444772553662e-09
1962,1.2683912808952869e-09
1963,1.2932106496776896e-09
1964,3.041984220075733e-09
1965,8.755269398363907e-09
1966,6.6468897053084675e-09
1967,5.423369309198733e-09
1968,4.940557296606585e-09
1969,3.1792304344691047e-09
1970,3.219107425067591e-09
1971,5.652237344833111e-09
1972,4.104117490300041e-09
1973,2.205281512956958e-09
1974,6.1881286761433785e-09
1975,2.2845920710778955e-09
1976,5.713526873840635e-10
1977,1.1753563677885381e-09
1978,3.5643548113029055e-09
1979,1.1703946700691858e-09
1980,5.6851505725319385e-09
1981,1.2651099057237047e-09
1982,6.828252629986764e-09
1983,6.946847541655643e-09
1984,2.8995041922996734e-09
1985,6.015558051686298e-10
1986,5.395036861699509e-09
1987,5.49973533381376e-09
1988,5.99655392008458e-09
1989,6.036934507847036e-09
1990,3.814055737905164e-09
1991,7.033758464558559e-09
1992,2.2039776670368383e-09
1993,4.4313659408601325e-09
1994,7.384897138251745e-09
1995,5.4224509327127635e-09
1996,1.6014276571496566e-09
1997,3.3564262480467733e-09
1998,3.814503379828693e-09
1999,7.312321859131998e-09
2000,6.627047355323157e-09
2001,7.448059946568719e-09
2002,6.133709984368352e-09
2003,6.250384210204629e-09
2004,4.845270407116686e-09
2005,6.7556245042510454e-09
2006,7.823991232669414e-09
2007,3.1955835755326234e-09
2008,8.940623352771127e-09
2009,2.860915504498962e-09
2010,9.919965293647692e-09
2011,8.030340836739924e-09
2012,5.446804340891731e-09
2013,4.462600067256517e-09
2014,6.063246349441442e-09
2015,1.7289288223309995e-08
2016,6.006886099640951e-09
2017,8.804639684001359e-09
2018,8.518839855753413e-09
