year,excellent_ADJ emplacement_NOUN
1800,0.0
1801,1.6668277424969347e-08
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,9.270415546325239e-09
1817,1.401186100480345e-08
1818,0.0
1819,0.0
1820,1.542642635854463e-08
1821,0.0
1822,8.02049271442229e-09
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,1.1583628500844156e-09
1834,0.0
1835,0.0
1836,2.688300027031687e-09
1837,0.0
1838,0.0
1839,4.894032734625853e-09
1840,0.0
1841,2.5682194149112547e-09
1842,6.037438549100216e-09
1843,3.5441467538532834e-09
1844,6.586273748609983e-09
1845,1.1160455892778032e-09
1846,0.0
1847,0.0
1848,1.6090443422100975e-09
1849,1.6758829879393033e-09
1850,1.3577992064028876e-09
1851,6.449438760824933e-10
1852,1.3021090872200602e-09
1853,1.1943863675867306e-09
1854,6.234797567117312e-09
1855,1.0613874223963649e-09
1856,4.659470143053568e-09
1857,0.0
1858,9.787352039936081e-10
1859,5.092173349652285e-09
1860,9.154367819341758e-10
1861,5.659156698811785e-09
1862,2.2589932147099034e-09
1863,1.0988165932701577e-08
1864,8.63051052846231e-09
1865,5.177528628053096e-09
1866,1.4596839292835284e-09
1867,0.0
1868,9.87974813071446e-10
1869,0.0
1870,8.601073631098188e-09
1871,6.37270636261178e-09
1872,0.0
1873,2.3944017879529156e-09
1874,5.974609140757536e-10
1875,2.8607636259891933e-09
1876,2.418405919968336e-09
1877,4.329371083855449e-09
1878,9.058632954861423e-09
1879,3.0546627449723474e-09
1880,6.417846254436199e-10
1881,1.4642266066289267e-08
1882,1.3310770263785798e-09
1883,1.8958017378167824e-09
1884,1.9805090900604227e-09
1885,6.445635580831777e-09
1886,7.744156427236248e-09
1887,1.3710741875172516e-08
1888,1.2047167707862627e-08
1889,3.132568426877924e-09
1890,1.3108772956016423e-09
1891,1.9122659011827636e-09
1892,4.387958441043338e-09
1893,6.158416554491453e-10
1894,1.449354058991048e-08
1895,4.814891596538473e-09
1896,5.307326134129653e-09
1897,5.826713334045053e-09
1898,6.224190496340043e-09
1899,4.4220627160029835e-09
1900,1.1939421895590385e-08
1901,5.58873880507349e-09
1902,4.910283735171106e-09
1903,3.2401321625741275e-09
1904,9.674325340824907e-09
1905,1.7030505006232488e-08
1906,3.0865106026567446e-09
1907,4.6285588695127444e-09
1908,4.4202499438483756e-09
1909,5.5009836685826485e-09
1910,2.67207544979442e-09
1911,1.5961122423746588e-09
1912,1.0418842455450772e-09
1913,4.242391771214216e-09
1914,2.0090231700464756e-09
1915,4.712304768617059e-09
1916,3.2962386153911893e-09
1917,7.676496771580332e-09
1918,2.2972752589112133e-09
1919,1.8415696745321952e-09
1920,4.543339038320937e-09
1921,7.572747762196741e-09
1922,7.377935484775833e-10
1923,8.492758496458919e-09
1924,9.02413699321869e-09
1925,4.399271169575059e-09
1926,3.343841648018042e-09
1927,5.574612327308159e-09
1928,3.4278122562625413e-09
1929,7.798284462623428e-09
1930,2.100720708497761e-09
1931,4.5621426636444085e-09
1932,5.4797681947604815e-09
1933,2.2941324395731044e-09
1934,2.3963160344919743e-09
1935,8.377798899061872e-09
1936,1.091224355320719e-08
1937,8.813782592653752e-09
1938,6.4826072287971215e-09
1939,9.176430282309411e-09
1940,7.607348528892999e-09
1941,0.0
1942,3.034211770724937e-09
1943,0.0
1944,3.2131861615880553e-09
1945,2.178504043826024e-09
1946,6.960552134671616e-09
1947,4.7683483828109274e-09
1948,1.0871887834440486e-09
1949,3.9268033269479474e-09
1950,9.571825110299415e-09
1951,4.264560704569931e-09
1952,4.2179215675730575e-09
1953,6.464296653518886e-09
1954,2.9317608341017376e-09
1955,9.385607846468247e-09
1956,1.0465369459922158e-08
1957,3.534015080575159e-09
1958,1.4062814024384807e-08
1959,4.650448914844674e-09
1960,5.536666736194462e-09
1961,6.94815938118154e-09
1962,6.976152100435229e-09
1963,3.879632060055371e-09
1964,1.2167936658258327e-09
1965,5.472043540510896e-09
1966,2.215629901769489e-09
1967,7.88853687927471e-09
1968,1.2575964686289964e-08
1969,1.3625273409534344e-09
1970,7.357959935783143e-09
1971,7.70759622792383e-09
1972,2.0520587451500205e-09
1973,2.7566018356850464e-09
1974,5.06301445213353e-09
1975,3.998036124386317e-09
1976,2.285410749536254e-09
1977,3.526069047854463e-09
1978,9.50494638551902e-09
1979,5.266776015311336e-09
1980,1.0233271119375331e-08
1981,4.427884725544118e-09
1982,5.586752060970923e-09
1983,4.4207211225000265e-09
1984,1.1598016991243298e-09
1985,7.820225356169885e-09
1986,4.196139880008332e-09
1987,6.110817019067127e-09
1988,1.1993107618124554e-09
1989,2.1952488715726304e-09
1990,6.538381391862913e-09
1991,3.5168791212569772e-09
1992,3.856960972825618e-09
1993,1.661762283333701e-09
1994,6.329911927949183e-09
1995,3.7957155196721715e-09
1996,6.4057106285986265e-09
1997,8.630810177656656e-09
1998,4.291316413329582e-09
1999,1.3710603763428253e-09
2000,8.836062992401139e-10
2001,4.381211921034023e-09
2002,2.6287327870022636e-09
2003,5.000307501390466e-09
2004,5.285749615779878e-09
2005,1.0808999029165989e-08
2006,7.412201963319376e-09
2007,7.988958938831558e-10
2008,5.960415494499216e-09
2009,8.582746291452281e-09
2010,2.4091344918986124e-08
2011,2.8679789654262322e-08
2012,3.846805585183688e-08
2013,2.621777550615434e-08
2014,4.807288433994472e-08
2015,3.258365932623519e-08
2016,4.515521290215929e-08
2017,2.6413919940182495e-08
2018,4.001273445908282e-08
2019,2.7550668413311996e-08
