year,peuvent_VERB approcher_VERB,peuvent_VERB rapprocher_VERB
1800,8.803660733747165e-08,9.432493897065797e-09
1801,2.3097470602806425e-07,0.0
1802,1.9021641151084623e-07,2.2378401354217203e-09
1803,1.852822322234715e-07,2.145373123596528e-08
1804,4.943701981119375e-08,3.9549615138412264e-08
1805,1.705726617728942e-07,2.842877711017877e-09
1806,1.498467980809437e-07,5.4751712497136396e-08
1807,1.6227643584443285e-07,2.8469550272802735e-08
1808,1.1783584596969376e-07,2.039466551195801e-08
1809,1.0843346842648316e-07,0.0
1810,6.786367379163494e-08,0.0
1811,8.524060746140094e-08,2.5070767684098882e-09
1812,9.335229123053068e-08,2.1337665856435706e-08
1813,7.764502640839055e-08,8.627225156487839e-09
1814,1.0384034254684593e-07,1.2586708564299443e-08
1815,3.236668177919455e-08,4.045835311217161e-08
1816,1.1356259221884102e-07,4.1716869958463576e-08
1817,7.472992535895173e-08,1.5568733857662664e-08
1818,4.530047448270125e-08,1.7881765401739358e-08
1819,1.0454560595007933e-07,2.2772310259711048e-08
1820,1.3053129066520341e-07,2.8479554714522237e-08
1821,7.001656854299654e-08,1.1833785507064931e-08
1822,1.2030739071633434e-07,1.9048670196752937e-08
1823,8.400284201570685e-08,1.680056804787e-08
1824,1.0189546628680546e-07,2.6105450245950124e-08
1825,2.8177417732422327e-08,8.805443485471187e-09
1826,8.631824499616414e-08,1.145037931138404e-08
1827,1.4194600339578756e-07,2.6730091917670507e-08
1828,6.787502826455238e-08,5.503380862137419e-09
1829,7.287199821348622e-08,1.628903412154159e-08
1830,8.34946831673733e-08,6.262101504006523e-09
1831,7.483778574624012e-08,4.677361609140007e-09
1832,5.817886972181441e-08,1.352996914505411e-08
1833,5.3284690437749305e-08,1.853380560135065e-08
1834,6.16079063320285e-08,1.8669062740173104e-08
1835,5.52105419160398e-08,1.8907719834260206e-08
1836,5.8470526198561856e-08,1.4113575197427508e-08
1837,6.888311787633938e-08,9.045257876039159e-09
1838,4.986607748946881e-08,1.5780404538645598e-08
1839,4.334714631681891e-08,6.292327547896548e-09
1840,4.522479102320176e-08,9.554533164646273e-09
1841,5.521671653241356e-08,3.2102743574569104e-08
1842,6.03743828264669e-08,1.1404051036834062e-08
1843,5.079943576902224e-08,1.3585895075607368e-08
1844,6.147188713612195e-08,2.195424464446205e-08
1845,3.236532108985557e-08,2.7901139176833567e-08
1846,6.030136034951283e-08,1.6978054517835517e-08
1847,3.074137566727586e-08,1.88762818709165e-08
1848,6.033916122305527e-08,1.930853166243196e-08
1849,2.76520690789539e-08,4.1897072478036534e-09
1850,6.245876704724651e-08,1.5614691761811628e-08
1851,4.127640806927957e-08,1.0319102017319892e-08
1852,4.362065553209504e-08,1.9531636308300904e-09
1853,5.4344578614973216e-08,9.555090940693844e-09
1854,5.0917510208137173e-08,4.1565315633818045e-09
1855,5.943769565419643e-08,1.539011762474729e-08
1856,5.384276846598368e-08,8.801221973442352e-09
1857,3.5635014938861787e-08,1.4156376515472857e-08
1858,3.3766365703513657e-08,1.1744822003834088e-08
1859,5.29586046127406e-08,2.189634606963864e-08
1860,5.904567146330919e-08,9.15436793036406e-09
1861,6.130753149591328e-08,6.13075279431996e-09
1862,3.7951085829490694e-08,1.8071945717679228e-08
1863,4.7948361725502764e-08,1.6482248454963155e-08
1864,2.9247839705703882e-08,1.726102105692462e-08
1865,1.6003271596787272e-08,6.589582213223366e-09
1866,4.379051787850585e-08,1.3623716377253459e-08
1867,3.8337212515671126e-08,2.8631587767335986e-08
1868,3.408512938563035e-08,1.679557115608077e-08
1869,3.1742874995188686e-08,1.1720445947105418e-08
1870,3.4404294524392753e-08,3.096386436141074e-08
1871,5.8416475212652585e-08,3.18635318130589e-09
1872,3.1446163006876304e-08,1.5723081503438152e-08
1873,3.23244258026989e-08,1.1972009161809183e-08
1874,3.345781252050983e-08,9.559374625212058e-09
1875,2.4030413214859436e-08,5.721527251978387e-09
1876,3.688068872520489e-08,1.0278225381910033e-08
1877,4.0201303619369355e-08,9.895705588292003e-09
1878,2.294853729267743e-08,1.1474268646338714e-08
1879,3.9099681714560575e-08,1.8938909107646396e-08
1880,3.914886193001621e-08,1.4119262203848848e-08
1881,5.856906426515707e-08,9.761510710859511e-09
1882,2.7952617998039386e-08,4.6587693702804245e-09
1883,2.9700892412165558e-08,1.2006744043446815e-08
1884,3.1027976632458376e-08,7.2618666635548834e-09
1885,2.6427105837001363e-08,1.2891271383708158e-09
1886,3.6784744139595205e-08,1.4197620856748472e-08
1887,3.133883907935342e-08,1.3057849024278312e-08
1888,4.1848057463766963e-08,1.6485598663962264e-08
1889,4.009687515349469e-08,1.9421923624918236e-08
1890,2.6217545467943637e-08,6.554386366985909e-09
1891,3.6970476458009216e-08,1.4023283867459213e-08
1892,3.384996816180319e-08,8.149066310636499e-09
1893,2.894455697344256e-08,1.4780200174868696e-08
1894,2.5836310868498913e-08,1.0082462864602348e-08
1895,4.33340261452031e-08,1.1435367319734269e-08
1896,3.007484750128242e-08,1.2973464080801023e-08
1897,1.806281169081103e-08,6.409385022720926e-09
1898,3.451596342074481e-08,2.6594268121016285e-08
1899,2.04520400615138e-08,1.2713430308508578e-08
1900,2.9589003247565415e-08,6.748368974740515e-09
1901,3.409130755471779e-08,3.912117296778206e-09
1902,2.356936334990678e-08,9.820567470342212e-09
1903,2.5381035939631147e-08,6.480264325148255e-09
1904,4.03096898082822e-08,1.1824175416563776e-08
1905,4.18021492976095e-08,1.5482276793932215e-08
1906,2.36632491379396e-08,1.5432553013283723e-09
1907,2.828563872014911e-08,9.257117739025489e-09
1908,2.701263923654551e-08,8.840499887696751e-09
1909,1.7053048750881317e-08,7.701377313651392e-09
1910,2.778958396731923e-08,6.412980813053082e-09
1911,1.9685383989553884e-08,3.7242617878519013e-09
1912,1.82329742415277e-08,7.814131564032323e-09
1913,2.8105844762649212e-08,1.0605979205990934e-08
1914,2.6117300322425763e-08,6.696743604095445e-09
1915,2.3561524287174507e-08,8.246533234057551e-09
1916,2.197492321442951e-08,9.888715624128963e-09
1917,1.4256351654751143e-08,1.315970976634162e-08
1918,2.6418664589300533e-08,1.2635013924011673e-08
1919,1.9336480860943084e-08,8.287063479883727e-09
1920,1.9687803387569147e-08,4.543339038320937e-09
1921,1.8931869405491852e-08,9.844571380313027e-09
1922,2.7298360905092522e-08,8.115729421831475e-09
1923,2.0170300985000722e-08,6.369568872344189e-09
1924,1.675911143195208e-08,1.675911143195208e-08
1925,2.1996356736053713e-08,5.499089184013428e-09
1926,2.452150482668003e-08,7.802296586589819e-09
1927,1.4493992672726108e-08,2.5643217327342427e-08
1928,1.7139061725401916e-08,6.8556245125250825e-09
1929,5.570203143179242e-08,1.2254447234738564e-08
1930,3.361153133596417e-08,7.352522590764465e-09
1931,3.877821086462063e-08,1.2545892325022123e-08
1932,4.383814555808385e-08,3.287861094491973e-09
1933,2.1794258842078307e-08,1.1470662641954732e-08
1934,2.995395220750652e-08,1.1981580172459871e-08
1935,1.555876849579363e-08,7.180970484910176e-09
1936,1.9399543305098632e-08,9.699771652549316e-09
1937,2.5182236740306507e-08,7.554670666820584e-09
1938,3.759912203804561e-08,1.4261735792331365e-08
1939,2.9058696782158222e-08,1.988226472349197e-08
1940,5.0715659227762444e-08,1.2678914806940611e-08
1941,8.854508237732261e-09,2.9515025978810172e-09
1942,5.158160121254696e-08,9.102635090130207e-09
1943,4.3548528338988035e-08,1.1612940831184915e-08
1944,3.213186161588055e-08,1.6065930807940276e-08
1945,3.485606470121638e-08,1.5249527862692958e-08
1946,1.2528993842408909e-08,6.960552134671616e-09
1947,4.0530959921625254e-08,1.7881307101674793e-08
1948,2.6092530802657166e-08,6.523132700664291e-09
1949,1.668891336237266e-08,1.1780409536754632e-08
1950,3.296961992305114e-08,1.2762433776458693e-08
1951,2.7719645245838365e-08,1.1727541604500402e-08
1952,3.585233443459401e-08,1.5817205323287453e-08
1953,3.770839640537815e-08,1.0773827163745864e-08
1954,3.0294863506696856e-08,1.07497895029951e-08
1955,2.1586897602787758e-08,1.1262729415761896e-08
1956,2.703553825256222e-08,1.3081712602058815e-08
1957,3.180613461495341e-08,5.301022731885041e-09
1958,3.557064687242928e-08,4.9633461784992505e-09
1959,2.015194411342236e-08,9.300897829689347e-09
1960,2.906750040665429e-08,9.689166802218097e-09
1961,3.752005994783758e-08,8.33779090214648e-09
1962,2.980719671086263e-08,1.4586500007851555e-08
1963,3.814971449855875e-08,1.5518526907953856e-08
1964,2.798625509115027e-08,1.2776333768727e-08
1965,2.9001830270658502e-08,7.1136563306595235e-09
1966,2.437192847537517e-08,8.862519607077957e-09
1967,2.7116845657815247e-08,1.0846738618397467e-08
1968,2.380450325745187e-08,9.88111459321317e-09
1969,3.088395317263348e-08,7.72098829315837e-09
1970,3.632992928714884e-08,1.103694025061941e-08
1971,3.083038535578453e-08,5.652237344833111e-09
1972,3.078088184338412e-08,7.182205497002769e-09
1973,1.7090931336838366e-08,1.3783009400469837e-08
1974,3.09406438248061e-08,9.00091468025721e-09
1975,2.6843956391076063e-08,3.998036124386317e-09
1976,2.7996280849151844e-08,1.199840671262109e-08
1977,2.11564152863275e-08,7.052138428775834e-09
1978,2.257424647211792e-08,8.316828115084718e-09
1979,2.1067103617156135e-08,5.851973128301324e-09
1980,2.4446148216838992e-08,1.0801786132219604e-08
1981,2.909752794266751e-08,5.060439622894819e-09
1982,2.7313010519947056e-08,9.311253101884631e-09
1983,2.5892795463278162e-08,6.946847541655643e-09
1984,3.131464509920079e-08,1.2177918229383522e-08
1985,3.549179083961462e-08,1.2031115659283387e-08
1986,3.416856841909066e-08,6.593933843390687e-09
1987,3.5442738521851425e-08,7.944062296871834e-09
1988,1.9788627625416666e-08,1.4391728697660255e-08
1989,3.0733485090195245e-08,1.0976243913773942e-08
1990,3.2691904294779306e-08,1.4166492867673242e-08
1991,2.6376593353916178e-08,9.37834432335194e-09
1992,3.03046938654461e-08,7.162927584403178e-09
1993,3.0465642453236796e-08,1.3294098266669607e-08
1994,3.0594573985354145e-08,8.967375286772494e-09
1995,2.8196744494835002e-08,1.4640617607142303e-08
1996,3.4697599460287165e-08,1.2277611816102763e-08
1997,2.109753616252874e-08,9.58978851883785e-09
1998,2.43174582692518e-08,1.5258013519314773e-08
1999,2.7421206638678086e-08,1.4624643718263997e-08
2000,2.4299172451947015e-08,1.1045078629479121e-08
2001,2.4096664219541708e-08,1.1829271784336015e-08
2002,2.716357272447567e-08,7.886198361006791e-09
2003,2.375146124222738e-08,1.2500768420409258e-08
2004,3.611928889313276e-08,1.3214373595360485e-08
2005,2.7923247714056743e-08,1.0808999029165989e-08
2006,3.253132874192488e-08,1.1941880373456115e-08
2007,3.7148659259855776e-08,9.98619853476157e-09
2008,1.830699147831183e-08,1.575252639440805e-08
2009,3.1946889578193804e-08,1.0966842545201416e-08
2010,3.448369056968659e-08,1.4171378737160012e-08
2011,3.020937811015756e-08,1.5295887223487625e-08
