year,voulaient_VERB avoir_VERB,voulaient_VERB ravoir_VERB
1800,7.860410988769218e-08,0.0
1801,1.3096504858367553e-07,0.0
1802,4.2518962573012686e-08,0.0
1803,9.55666195068261e-08,0.0
1804,1.1370514130248921e-07,0.0
1805,1.051864728651708e-07,0.0
1806,2.305335300434308e-08,0.0
1807,2.0213381901612593e-07,0.0
1808,7.478044494746428e-08,0.0
1809,1.219876537561504e-07,0.0
1810,1.3338723192646285e-07,0.0
1811,9.526891631139733e-08,0.0
1812,6.13457871168066e-08,0.0
1813,2.243078540686838e-07,0.0
1814,6.608021863030444e-08,0.0
1815,1.5104451733805035e-07,0.0
1816,5.7940098940889584e-08,0.0
1817,1.7748357095115352e-07,0.0
1818,1.4782260393531033e-07,0.0
1819,2.0598589856035687e-07,0.0
1820,2.0291682290007884e-07,0.0
1821,1.8835442006093217e-07,0.0
1822,1.3534581455587613e-07,1.0025615893027862e-09
1823,1.7986489808663464e-07,1.087095569118901e-08
1824,1.5915902906726842e-07,3.3684450784221553e-09
1825,1.514536194235916e-07,0.0
1826,1.5149733201269555e-07,0.0
1827,2.1844937236892292e-07,0.0
1828,1.0456423638061096e-07,5.503380862137419e-09
1829,1.6717693540613254e-07,0.0
1830,2.1186777132697898e-07,2.0873671680021744e-09
1831,1.0757932500382594e-07,0.0
1832,1.2312271735481772e-07,0.0
1833,1.2973663388038403e-07,1.1583628500844156e-09
1834,1.9229133840781287e-07,6.534171426153534e-09
1835,1.6714423622943286e-07,3.781543966852041e-09
1836,2.009504243005722e-07,6.720750067579218e-10
1837,1.6629358867703559e-07,2.0873671680021744e-09
1838,2.2408174515931023e-07,0.0
1839,1.7268943963699712e-07,2.7965900706306e-09
1840,1.5414646270528465e-07,1.9109065441114126e-09
1841,1.4510439427795063e-07,0.0
1842,2.542432468999323e-07,6.037438549100216e-09
1843,2.0201635209105007e-07,2.953455480181333e-09
1844,2.579623696874478e-07,0.0
1845,2.081425094502265e-07,2.7901139176833567e-09
1846,1.9963849240411946e-07,5.854501328173001e-10
1847,1.7581909617092606e-07,1.0786447290911383e-09
1848,1.9791245620126574e-07,8.045221711050488e-10
1849,1.4915359258793615e-07,0.0
1850,1.7719280265282578e-07,4.752297222410107e-09
1851,1.6639552313790773e-07,3.2247193804124663e-09
1852,1.438830565803073e-07,0.0
1853,1.30188112734686e-07,4.777545470346922e-09
1854,1.9691567842983204e-07,5.195664343204953e-09
1855,1.6239226852121647e-07,2.653468555990912e-09
1856,2.1174703590531863e-07,5.694908100650764e-09
1857,1.723172715628607e-07,5.369659827891837e-09
1858,1.7959790454824542e-07,1.468102750479261e-09
1859,2.0521459020983457e-07,1.5276520048956854e-09
1860,2.1695851160075108e-07,0.0
1861,1.6270074354451936e-07,4.2443675241088386e-09
1862,1.7484606473772146e-07,9.035972525772706e-10
1863,1.9578914134399383e-07,4.994620828036034e-10
1864,1.802817735097051e-07,0.0
1865,1.8497898679470381e-07,1.882737743486018e-09
1866,1.2407312510731572e-07,0.0
1867,1.6839256034018035e-07,0.0
1868,1.6548578685160464e-07,0.0
1869,1.533424978106268e-07,1.4650557433881772e-09
1870,1.3130971865393803e-07,1.1468097582678638e-09
1871,1.5613130699421163e-07,0.0
1872,2.0137639467066037e-07,6.047339295989218e-10
1873,1.0834668273673742e-07,0.0
1874,1.4518300872623513e-07,0.0
1875,1.676407492823273e-07,5.721527140956084e-10
1876,1.529641764363987e-07,0.0
1877,1.292626592430679e-07,9.27722432209066e-09
1878,1.7573748323229665e-07,0.0
1879,1.6128618085531343e-07,0.0
1880,1.3862548087217874e-07,6.417846254436199e-10
1881,1.3735839843320719e-07,4.183504653809678e-09
1882,1.3377324137309188e-07,0.0
1883,1.0237329206574941e-07,0.0
1884,1.6570258765113977e-07,0.0
1885,1.637191502368296e-07,3.86738152613475e-09
1886,1.503657074408693e-07,4.5174246565693466e-09
1887,1.0903303859777225e-07,0.0
1888,1.3188478931169811e-07,0.0
1889,1.196641079559413e-07,6.265136742733546e-10
1890,1.2584422393047134e-07,1.3108772956016423e-09
1891,8.796423855983448e-08,0.0
1892,9.4654538429495e-08,1.2537024751679837e-09
