year,avait_VERB accompagné_VERB,avait_VERB raccompagné_VERB
1800,3.521464293498866e-07,0.0
1801,3.143161109164794e-07,0.0
1802,3.0434625841735397e-07,0.0
1803,2.3599105247740226e-07,0.0
1804,4.202146612897195e-07,0.0
1805,3.6673122849606443e-07,0.0
1806,2.737585589329683e-07,0.0
1807,6.51952746011375e-07,0.0
1808,3.1271821399059263e-07,0.0
1809,4.947276579514437e-07,0.0
1810,3.9782153749001736e-07,0.0
1811,9.326325312031258e-07,0.0
1812,7.094773764038109e-07,2.6672082320544632e-09
1813,8.655982242089522e-07,0.0
1814,7.268824333550583e-07,0.0
1815,6.608197509194724e-07,0.0
1816,5.956242148386082e-07,0.0
1817,6.040668836249097e-07,0.0
1818,1.0359502766732476e-06,0.0
1819,9.315945135313086e-07,0.0
1820,6.502831411125953e-07,0.0
1821,7.455284958268749e-07,0.0
1822,9.163412642010371e-07,0.0
1823,8.479345297018881e-07,0.0
1824,9.760069588082843e-07,0.0
1825,8.514863338859868e-07,0.0
1826,9.450967013435729e-07,0.0
1827,1.0175868965234258e-06,0.0
1828,9.60339889388706e-07,0.0
1829,1.02535182122665e-06,0.0
1830,9.768878044269513e-07,0.0
1831,8.356886382898665e-07,0.0
1832,9.213908924721181e-07,0.0
1833,1.0460016710567288e-06,0.0
1834,1.056668907040148e-06,0.0
1835,8.992511766336975e-07,0.0
1836,9.845898603089154e-07,0.0
1837,1.0631657687554252e-06,0.0
1838,9.929030966304708e-07,0.0
1839,1.0158613577004871e-06,0.0
1840,1.0274308124280651e-06,0.0
1841,9.367580560137867e-07,0.0
1842,1.129001020672149e-06,0.0
1843,9.823193067859393e-07,0.0
1844,1.082344283531711e-06,0.0
1845,9.893743708744296e-07,5.580227946389016e-10
1846,9.87068915492273e-07,0.0
1847,9.821060302783735e-07,0.0
1848,7.707322424721497e-07,0.0
1849,8.496726877638139e-07,8.379414939696517e-10
1850,7.943125410747598e-07,0.0
1851,8.532607580491458e-07,0.0
1852,8.724130680093367e-07,0.0
1853,9.095252266888565e-07,0.0
1854,9.404152478964534e-07,0.0
1855,8.926268151299155e-07,0.0
