year,veut_VERB entrer_VERB,veut_VERB rentrer_VERB
1800,3.584347609830729e-07,5.0306631749208464e-08
1801,3.000290007548756e-07,1.3334621939975477e-07
1802,3.0434625841735397e-07,7.161088433349505e-08
1803,3.5106106111015833e-07,4.4857802805609026e-08
1804,4.82010932500998e-07,4.943701981119375e-08
1805,3.695741099818406e-07,3.980028751016107e-08
1806,3.342736079048336e-07,1.181484350354367e-07
1807,2.0213381901612593e-07,6.832692633906845e-08
1808,2.22075257738652e-07,1.1330369886763947e-07
1809,2.936739633696561e-07,1.2876473931555665e-07
1810,3.6739990605383355e-07,7.488405628919281e-08
1811,3.560049037787394e-07,4.763445815569867e-08
1812,2.720552458868042e-07,4.5342538612658245e-08
1813,3.163315795973176e-07,9.202373263406116e-08
1814,2.391474538399052e-07,4.405347908686963e-08
1815,2.535390137836657e-07,2.4275012222574333e-08
1816,1.6454987417091615e-07,6.952811304472561e-08
1817,2.8957845188415376e-07,7.940054302935096e-08
1818,3.2067967481452797e-07,4.2916237674717195e-08
1819,3.18812340083241e-07,8.280839836061205e-08
1820,3.35821425778704e-07,9.611849804969097e-08
1821,3.915010893251747e-07,7.297501269931672e-08
1822,3.980169367423514e-07,8.922798144794797e-08
1823,2.8264483376005956e-07,8.597937295462543e-08
1824,2.821072655478929e-07,8.5053237341981e-08
1825,3.081904935697821e-07,1.0830694918695372e-07
1826,3.4263058523720247e-07,1.1009980482867832e-07
1827,2.5255329205720045e-07,7.92685455053288e-08
1828,2.3389368664084031e-07,8.346793833879929e-08
1829,3.189221615684801e-07,4.9724420136953995e-08
1830,2.630082747145934e-07,8.55820516676431e-08
1831,2.307498476739056e-07,4.053713453799901e-08
1832,2.8007036689814413e-07,3.92369123858316e-08
1833,3.115996207725402e-07,1.1351956175076339e-07
1834,2.6976795197697356e-07,7.654315226091057e-08
1835,3.1764969321557146e-07,8.470658485748572e-08
1836,3.205797725058801e-07,9.274634749090183e-08
1837,2.9571035042863514e-07,7.653680000885288e-08
1838,2.71422948117106e-07,7.069621688060579e-08
1839,3.1112065812521905e-07,5.3135210009713774e-08
1840,2.7517054945747077e-07,7.516232614079854e-08
1841,2.471911102475133e-07,4.8154113585496816e-08
1842,3.233383836231951e-07,6.439934452373564e-08
1843,2.669923730991286e-07,6.674809327478215e-08
1844,2.925403066456056e-07,1.0538037997775973e-07
1845,2.3660166448280506e-07,9.03996948409258e-08
1846,3.319502184240264e-07,6.732676638421253e-08
1847,2.3999845666367037e-07,5.824681537092147e-08
1848,2.485973595867108e-07,5.953464210506354e-08
1849,2.488686163815146e-07,5.53041381579078e-08
1850,3.2179841014112753e-07,9.979824255879066e-08
1851,2.721663179272582e-07,7.28786559989203e-08
1852,2.3307752883283683e-07,6.054807499822346e-08
1853,3.308450118311157e-07,5.4344578614973216e-08
1854,3.2836598506946757e-07,6.806320129726373e-08
1855,2.57917150747744e-07,6.527533003009012e-08
1856,3.965726875776454e-07,8.95653755605963e-08
1857,2.733645203534252e-07,9.665387779023149e-08
1858,3.1025905400383635e-07,9.444794812907276e-08
1859,3.0960413255343155e-07,6.925355933162791e-08
1860,2.3709812069228065e-07,7.918528410755243e-08
1861,3.178559495609079e-07,8.86601156935285e-08
1862,3.103856442976394e-07,8.629353942524176e-08
1863,3.1665896926824644e-07,9.489779273508248e-08
1864,2.8480684477472096e-07,8.198984602358905e-08
1865,2.8570545396178204e-07,5.318734253023649e-08
1866,2.661490157152002e-07,1.0023162388961282e-07
1867,2.7903666932616034e-07,7.23068893648815e-08
1868,2.652712396411516e-07,5.5820578381826635e-08
1869,2.3831573514598858e-07,7.862465878361036e-08
1870,2.2133428956294665e-07,5.3326655091723296e-08
1871,2.8464754109336354e-07,7.647247457498452e-08
1872,3.120427152225602e-07,7.196333484671413e-08
1873,2.7595481810749334e-07,5.447263973223926e-08
1874,2.551158218011551e-07,6.392831863877291e-08
1875,3.1411184409080306e-07,5.9503882710032485e-08
1876,2.57560230920717e-07,5.985554452081487e-08
1877,2.659470794696972e-07,6.555904974447913e-08
1878,2.2706973368258332e-07,7.790424660925055e-08
1879,2.9752413865935523e-07,7.086817532808709e-08
1880,2.0729643779304752e-07,5.647704881539539e-08
1881,2.6844153921956604e-07,4.8807553554297556e-08
1882,2.2428648094319215e-07,6.721938916598447e-08
1883,2.919534551892866e-07,6.256145468341856e-08
1884,2.6076702397404006e-07,6.535680086017237e-08
1885,3.1261333788279444e-07,5.994441210077639e-08
1886,2.600745858671871e-07,4.1947515683204983e-08
1887,2.539751733365847e-07,5.092561039532484e-08
1888,2.358708712790758e-07,6.974676125537371e-08
1889,2.0236392117567448e-07,7.267558288504006e-08
1890,2.221937052127032e-07,5.177965434199905e-08
1891,2.186357477285128e-07,7.01164211136529e-08
1892,2.1062201938093494e-07,7.772955257223657e-08
1893,2.173920989889666e-07,7.636436549773862e-08
1894,1.9534772377483023e-07,5.8604314290278126e-08
1895,2.154664002773643e-07,5.476939080040211e-08
1896,2.1465184829594364e-07,4.3048309805726603e-08
1897,2.0801367384137848e-07,6.409384667449558e-08
1898,2.2011001021837728e-07,5.035935757291554e-08
1899,2.07284188036283e-07,4.0351324059884064e-08
1900,2.1075675249448977e-07,7.319385275650347e-08
1901,2.6267073849339795e-07,5.7005138387467014e-08
1902,2.0574088921421207e-07,4.2228439411928775e-08
1903,2.0088819496777433e-07,7.020286574288548e-08
1904,1.8972427540120407e-07,5.965834048993202e-08
1905,2.2655731868326257e-07,6.450948575320581e-08
1906,1.918780867526948e-07,2.8807432883581896e-08
1907,2.1651371184816526e-07,5.451413898072133e-08
1908,2.2543275690622977e-07,5.6480974564010467e-08
1909,2.0628688446322485e-07,5.996071905656208e-08
1910,2.1216278867086658e-07,4.11499598840237e-08
1911,1.910014333361687e-07,4.62872549178428e-08
1912,1.9795800199062796e-07,3.64659484830554e-08
1913,2.253770645666009e-07,4.295421618394357e-08
1914,2.1496546764865343e-07,3.683209115479258e-08
1915,1.4843760709482012e-07,5.419150639340842e-08
1916,1.6151568615896394e-07,6.702352095544484e-08
1917,2.1274863115650078e-07,5.592876561877347e-08
1918,1.4243106249978155e-07,5.398596769623509e-08
1919,2.1454286525113275e-07,6.261336693569319e-08
1920,1.9612080848219193e-07,4.997673030970873e-08
1921,1.9916325300073368e-07,5.6038331308627676e-08
1922,2.2207585459455004e-07,5.6810101511928224e-08
1923,2.4522839225937787e-07,5.732611896291928e-08
1924,1.959526940709111e-07,3.480738541838946e-08
1925,2.0346628559764213e-07,5.49908882874206e-08
1926,2.619342467369279e-07,6.35329868714507e-08
1927,2.330187953702989e-07,6.912519268098549e-08
1928,2.1252436965824018e-07,4.227635130860108e-08
1929,2.33948540540041e-07,5.124586976990031e-08
1930,2.19525318811975e-07,5.146765857944047e-08
1931,1.8932891521217243e-07,3.9918749195066994e-08
1932,1.9946357099343004e-07,6.575722011348262e-08
1933,1.6173633810012689e-07,6.079451253526713e-08
1934,1.5695870558829483e-07,7.308764082836205e-08
1935,1.627686572192033e-07,5.0266791618014395e-08
1936,1.5519634644078906e-07,6.062357016389797e-08
1937,1.863485437070267e-07,4.784624962894668e-08
1938,1.5169301548212388e-07,4.797129449229942e-08
1939,2.0341087747510755e-07,5.6587985852729616e-08
1940,1.4200384157447843e-07,5.5787225505810056e-08
1941,1.5938114472646703e-07,5.017554371988808e-08
1942,1.4867637787574495e-07,6.371844563091145e-08
1943,1.6258117341294565e-07,3.774205836748479e-08
1944,1.735120491730413e-07,1.927911696952833e-08
1945,2.1131489802428405e-07,6.535512397931598e-08
1946,1.9071913470725121e-07,6.960551957035932e-08
1947,1.8954185065922502e-07,6.07964452115084e-08
1948,2.283096449673394e-07,5.3272248834446145e-08
1949,1.5903553673979332e-07,3.7304630495782476e-08
1950,1.7867407109406486e-07,4.2541444145172136e-08
1951,1.5352418358816067e-07,4.797630737130021e-08
1952,1.9929679240249243e-07,5.483298082253896e-08
1953,1.292859224122367e-07,4.8482224457302436e-08
1954,1.3974727153254207e-07,6.352148318455875e-08
1955,1.9428208020144666e-07,5.349796339260138e-08
1956,1.5000362907358067e-07,7.412970148834575e-08
1957,1.4842864004549483e-07,3.3573144264664734e-08
1958,1.629631896093997e-07,3.6397871383542224e-08
1959,1.898933277288961e-07,5.03798602835559e-08
1960,1.5225833749354933e-07,5.813500081330858e-08
1961,1.7022989595716354e-07,5.141637871020066e-08
1962,1.6742764330501814e-07,4.5662087444497956e-08
1963,1.7910967642364994e-07,5.237503231114715e-08
1964,1.8921141986538714e-07,5.536411151751963e-08
1965,1.674445258004198e-07,4.7059572239049885e-08
1966,1.678339600630352e-07,5.428293192721867e-08
1967,1.8685972236198722e-07,5.472672626183339e-08
1968,1.8190233674886258e-07,5.6591840547071115e-08
1969,1.8167031612392748e-07,5.268439196015606e-08
1970,1.9728530276097445e-07,6.530189722298019e-08
1971,1.6288720416923752e-07,5.960541216154525e-08
1972,1.7339895919121773e-07,5.6944628568089684e-08
1973,1.4885650045926013e-07,4.851619195278545e-08
1974,1.2320002440446842e-07,4.612968851347432e-08
1975,1.427870017778332e-07,4.968987710185502e-08
1976,1.2169812180218287e-07,4.513686135965145e-08
1977,1.1283421486041334e-07,5.465406971438824e-08
1978,1.2237617852406402e-07,4.514849294423584e-08
1979,1.2991381481697317e-07,4.154901134256761e-08
1980,1.4781392110307934e-07,5.344041653643217e-08
1981,1.2334821519743855e-07,4.8706731092806876e-08
1982,1.2973680441064062e-07,5.2143018791639406e-08
1983,1.3009551480536174e-07,5.494324994970157e-08
1984,1.3743650129072194e-07,4.871167291753409e-08
1985,1.2873293542270403e-07,5.2936911743017845e-08
1986,1.1569356672680442e-07,5.7547062226603884e-08
1987,1.478817637234897e-07,5.1330861339238254e-08
1988,1.5291212207557692e-07,6.716140177331908e-08
1989,1.4378879598098138e-07,6.915033878840404e-08
1990,1.329470791233689e-07,6.32043537507343e-08
1991,1.6060414509411203e-07,5.3925479193139836e-08
1992,1.3940159249159478e-07,5.3997453619558655e-08
1993,1.3958802469460352e-07,7.865674689355728e-08
1994,1.4295051187218633e-07,4.6946848186735224e-08
1995,1.4423719107981015e-07,7.103410837316915e-08
1996,1.537370621917944e-07,6.352329506853494e-08
1997,1.5295712785245996e-07,6.712852496093547e-08
1998,1.4065980735722405e-07,7.485962782993738e-08
1999,1.6315618722728686e-07,9.003296241871794e-08
2000,1.7672125807166594e-07,7.554833558742757e-08
2001,1.375700549033354e-07,6.528005513928292e-08
2002,1.4063721209822688e-07,7.272827673432403e-08
2003,1.4709237916576967e-07,9.167230530238157e-08
