year,ont_VERB envoyé_VERB,ont_VERB renvoyé_VERB
1800,5.879587661183905e-07,8.489244152087849e-08
1801,8.334138783538947e-07,8.572257570449437e-08
1802,9.219901357937488e-07,8.280008501060365e-08
1803,6.728670314259944e-07,6.826187615160961e-08
1804,7.53914548567991e-07,5.6852570651244605e-08
1805,5.628897952192347e-07,5.685755510853596e-08
1806,1.2650527878577122e-06,7.204172902675055e-08
1807,9.765055892785313e-07,1.395007984683616e-07
1808,7.115472158147895e-07,4.078933102391602e-08
1809,8.358413197129266e-07,5.421673421324158e-08
1810,9.05629065073299e-07,8.190443878675069e-08
1811,8.173070114025904e-07,7.019814773912003e-08
1812,5.65448146971903e-07,1.360276229434021e-07
1813,5.435151706478791e-07,1.0640243885973177e-07
1814,9.471498287894065e-07,4.090680150170556e-08
1815,7.39039251129725e-07,5.664169577812572e-08
1816,9.108183007811022e-07,9.502176112619054e-08
1817,6.554437277372926e-07,8.718490818182545e-08
1818,5.650638286169851e-07,9.775365583664097e-08
1819,9.326296321887639e-07,1.3042323132594902e-07
1820,1.1166358717673575e-06,1.0561168295453172e-07
1821,9.920656793838134e-07,7.790576006527772e-08
1822,9.66469315244467e-07,1.1529458276982041e-07
1823,7.6195516385269e-07,4.743689885344793e-08
1824,9.936912874763948e-07,6.06320114115988e-08
1825,9.562711511534872e-07,6.251864448358901e-08
1826,8.305929100060894e-07,5.372870504061211e-08
1827,8.470673833471665e-07,1.115290046982409e-07
1828,9.640089047024958e-07,1.430879024155729e-07
1829,7.450090038219059e-07,1.1659519572049248e-07
1830,1.0196788480243413e-06,1.0123730476152559e-07
1831,9.806868774830946e-07,1.2005229166334175e-07
1832,8.794480095275503e-07,1.244757186213974e-07
1833,7.772614480927587e-07,8.108539617524002e-08
1834,9.595897836334188e-07,8.774458848392896e-08
1835,8.659735613036901e-07,8.621920244422654e-08
1836,9.603951411918388e-07,1.2702217588866915e-07
1837,9.622763172956184e-07,9.880205453782764e-08
1838,1.1431325219746213e-06,7.890202624594167e-08
1839,9.620270020604949e-07,1.1396104326877321e-07
1840,1.215973611579102e-06,1.872688528692379e-07
1841,8.173358310159529e-07,1.4125207314918953e-07
1842,1.286645215259341e-06,1.4691100602703955e-07
1843,7.938888302305713e-07,9.864541539172933e-08
1844,8.413964565079368e-07,9.550096535804187e-08
1845,7.48866568756057e-07,1.3057733383448067e-07
1846,8.799315764917992e-07,9.191567329480677e-08
1847,9.858812290985952e-07,1.6988654749638954e-07
1848,1.0909320735663641e-06,1.9871697531925747e-07
1849,9.896089068206493e-07,1.5334329361849086e-07
1850,9.16514466098306e-07,1.194863301634541e-07
1851,1.0506136050025816e-06,1.3672810439402383e-07
1852,7.558743391200551e-07,1.0937716155012822e-07
1853,1.0074649026137195e-06,5.3747385209135246e-08
1854,1.0562786201262497e-06,1.0910895298366086e-07
1855,1.1393993872843566e-06,8.331890910540096e-08
1856,1.1053299431296182e-06,9.215396801209863e-08
