year,fallut_VERB appliquer_VERB
1800,0.0
1801,1.1905912700171939e-08
1802,0.0
1803,1.3652374342143503e-08
1804,2.2246657849223084e-08
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,2.2660739951163578e-09
1809,6.7770917766551975e-09
1810,9.360507036149102e-09
1811,7.521229861140455e-09
1812,1.8670457180292033e-08
1813,0.0
1814,0.0
1815,8.091670444798638e-09
1816,4.6352077731626196e-09
1817,1.5568733857662664e-08
1818,0.0
1819,1.035105001712111e-09
1820,3.441279616822612e-08
1821,6.903041693817613e-09
1822,0.0
1823,3.9530747564242574e-09
1824,6.736890156844311e-09
1825,1.4088708866211164e-08
1826,1.8496766784892316e-08
1827,1.8434546111834038e-09
1828,1.8344602503717056e-09
1829,1.2859763920403111e-08
1830,4.174734336004349e-09
1831,7.795603274018958e-09
1832,2.0294953273491956e-08
1833,2.89590715851773e-08
1834,2.5203233278148218e-08
1835,2.647080776796429e-08
1836,1.9490174807401672e-08
1837,1.948209416013924e-08
1838,3.1560809521380406e-09
1839,9.788065469251706e-09
1840,1.2102408852854296e-08
1841,1.0914932957462042e-08
1842,1.475818312002275e-08
1843,5.31621990873532e-09
1844,1.0428266250528395e-08
1845,2.399498022498392e-08
1846,8.781752214304106e-09
1847,1.0247124926365814e-08
1848,1.045878850192139e-08
1849,6.703531951757213e-09
1850,2.0366988096043315e-08
1851,1.096404567135778e-08
1852,8.463708844885787e-09
1853,1.4332636411040767e-08
1854,2.234135720868835e-08
1855,6.368324534378189e-09
1856,4.659470143053568e-09
1857,1.8549734193129552e-08
1858,1.2723557318849998e-08
1859,1.884104072757964e-08
1860,1.0985241161165504e-08
1861,4.2443675241088386e-09
1862,8.132375661773494e-09
1863,1.1487627737949424e-08
1864,7.671564716815737e-09
1865,3.294791106611683e-09
1866,2.432806400776144e-09
1867,9.7056229719783e-09
1868,1.1855697756857353e-08
1869,7.325278605918584e-09
1870,6.880858549607183e-09
1871,2.1242354542039266e-09
1872,4.8378714367913744e-09
1873,4.788803575905831e-09
1874,6.572069999322139e-09
1875,4.005069165202713e-09
1876,1.0278225381910033e-08
1877,1.4843558382438005e-08
1878,2.4156354694326865e-09
1879,7.331190321480108e-09
1880,4.492492600149944e-09
1881,4.8807553554297556e-09
1882,4.6587693702804245e-09
1883,1.0110942305630033e-08
1884,9.902545450302114e-09
1885,1.933690763067375e-09
1886,1.355227396970804e-08
1887,4.570247291724172e-09
1888,7.60873763994141e-09
1889,5.6386229019267375e-09
1890,1.9663159989136147e-09
1891,8.92390783491237e-09
1892,3.1342561879199593e-09
1893,3.695050043717174e-09
1894,5.671385139294216e-09
1895,7.824199066419624e-09
1896,5.307326134129653e-09
1897,2.9133566670225264e-09
1898,7.355861253444118e-09
1899,1.1055156790007459e-08
1900,5.19105292084987e-09
1901,5.029864968975062e-09
1902,2.9461704187383475e-09
1903,1.0260418292773466e-08
1904,4.837162670412454e-09
1905,0.0
1906,9.773950537805831e-09
1907,8.742834012309686e-09
