year,voulaient_VERB abattre_VERB
1800,0.0
1801,0.0
1802,6.713520406265161e-09
1803,0.0
1804,0.0
1805,0.0
1806,3.458002950651462e-08
1807,0.0
1808,0.0
1809,2.259030518203531e-09
1810,9.360507036149102e-09
1811,0.0
1812,8.00162425207418e-09
1813,2.8757416448144113e-09
1814,0.0
1815,5.394447111228828e-09
1816,2.3176038865813098e-09
1817,7.784366928831332e-09
1818,7.152706427149269e-09
1819,1.1386155129855524e-08
1820,2.7292905713238724e-08
1821,5.9168927535324656e-09
1822,1.2030739071633434e-08
1823,9.882686891060644e-10
1824,1.6842225392110777e-09
1825,6.163809906922779e-09
1826,2.290075862276808e-08
1827,1.2904182611350734e-08
1828,7.337841001486822e-09
1829,1.2002446148073886e-08
1830,1.982998831806526e-08
1831,0.0
1832,1.3529969367098715e-09
1833,4.6334514003376626e-09
1834,4.667265685043276e-09
1835,4.5378527602224494e-09
1836,1.9490174807401672e-08
1837,4.87052354003481e-09
1838,3.1560809521380406e-09
1839,3.4957374772659477e-09
1840,2.5478755105723394e-08
1841,5.1364388298225094e-09
1842,5.366612043644636e-09
1843,7.678984559333912e-09
1844,2.360081374774836e-08
1845,1.3392547515422848e-08
1846,2.2832555401919308e-08
1847,2.534815024546333e-08
1848,1.367687652020777e-08
1849,4.1897072478036534e-09
1850,1.0862393651223101e-08
1851,2.4507867735223954e-08
1852,6.510545436100301e-09
1853,1.3735443005202796e-08
1854,2.5458755104068587e-08
1855,5.306937111981824e-09
1856,5.694908100650764e-09
1857,3.4170564155999728e-09
1858,2.0553439838977283e-08
1859,8.147477359443656e-09
1860,1.9224172476128842e-08
1861,9.431927239234028e-09
1862,1.355395884417021e-08
1863,1.7980635647063536e-08
1864,1.821996598039277e-08
1865,1.694463946932956e-08
1866,1.3137154475373336e-08
1867,7.76449837758264e-09
1868,5.9278488784286765e-09
1869,2.490594752657671e-08
1870,1.490852596930381e-08
1871,4.248470908407853e-09
1872,1.1489944995446422e-08
1873,3.591602570907071e-09
1874,1.0156835372754358e-08
1875,3.432916173551348e-09
1876,7.859819461941697e-09
1877,3.710889595609501e-09
1878,3.6234530931267273e-09
1879,3.0546627449723474e-09
1880,3.8507077526617195e-09
1881,1.324776466304911e-08
1882,3.9932310791357395e-09
1883,2.5277355764075082e-09
1884,7.2618666635548834e-09
1885,2.5782542767416317e-09
1886,1.097088819790315e-08
1887,3.9173548849191775e-09
1888,1.268122939990235e-09
1889,3.759081934617825e-09
1890,4.5880703680722945e-09
1891,5.736798147637501e-09
1892,6.268512375839919e-09
1893,1.847525021858587e-09
1894,4.411077725308132e-09
1895,5.416753268150387e-09
1896,1.7691086373616827e-09
1897,1.7480140668268973e-09
1898,6.224190496340043e-09
1899,1.6029977345510815e-08
1900,2.07642125715779e-09
1901,1.1177477832191585e-09
1902,0.0
1903,2.1600881083827517e-09
1904,7.524475265086039e-09
1905,1.2901897328276846e-08
1906,4.629765903985117e-09
