year,voulait_VERB emporter_VERB,voulait_VERB remporter_VERB
1800,2.829748035892976e-08,0.0
1801,2.3811825844433088e-09,0.0
1802,1.1189200677108602e-08,0.0
1803,2.145373123596528e-08,0.0
1804,1.4831105898949204e-08,2.4718509461507665e-09
1805,8.528633133053631e-09,1.9900143755080535e-08
1806,8.645007376628655e-09,0.0
1807,3.701041828563234e-08,0.0
1808,1.1330369531492579e-08,1.3596443970698147e-08
1809,1.3554183553310395e-08,0.0
1810,3.7442028144596406e-08,0.0
1811,4.512738049911036e-08,0.0
1812,8.00162425207418e-09,4.267533171287141e-08
1813,1.4378708002027452e-08,5.751483289628823e-09
1814,1.5733386149463513e-08,1.5733386149463513e-08
1815,2.697223555614414e-09,0.0
1816,6.952811659743929e-09,1.1588019432906549e-08
1817,6.850242906253357e-08,1.556873407970727e-09
1818,1.9073883805731384e-08,0.0
1819,1.0351049795076506e-08,0.0
1820,3.5599444281331216e-08,2.3732962262101864e-09
1821,1.7750679148775816e-08,0.0
1822,3.107940926838637e-08,0.0
1823,1.7788837070042973e-08,9.882686891060644e-10
1824,1.7684335773537896e-08,0.0
1825,3.434122675116669e-08,0.0
1826,3.082794597375482e-08,0.0
1827,1.2904182611350734e-08,1.013900075008678e-08
1828,1.6510142586412258e-08,1.4675682002973645e-08
1829,1.0287811325060403e-08,3.429270423183084e-09
1830,2.2961038625979313e-08,1.0436835395921662e-08
1831,4.521449681327283e-08,0.0
1832,1.352996914505411e-08,1.3529969367098715e-09
1833,4.054269864273152e-08,3.4750886612755494e-09
1834,2.5203233944282033e-08,3.733812370398937e-09
1835,1.5882484660778573e-08,3.781543966852041e-09
1836,5.1077700624624356e-08,6.720750067579218e-10
1837,1.8090516196167528e-08,8.349468672008697e-09
1838,2.6511080220004146e-08,6.943378316748294e-09
1839,3.0762491332048114e-08,6.9914751765765e-10
1840,4.0766008790882324e-08,1.9109065441114126e-09
1841,2.6966303856568175e-08,6.420548537278137e-10
1842,2.683306066231239e-08,2.0124795163667386e-09
1843,2.5990408047960045e-08,2.953455480181333e-09
1844,5.1592476069117765e-08,6.586273748609983e-09
1845,4.8547981634783355e-08,9.48638767539478e-09
1846,2.634525531064469e-08,2.9272506640865004e-09
1847,3.343798482546845e-08,4.0988499705463255e-08
1848,2.896279838182636e-08,6.43617736884039e-09
1849,4.7762666932626985e-08,7.54147322368226e-09
1850,2.987158254086353e-08,2.7155984128057753e-09
1851,2.4507866847045534e-08,7.739326512989919e-09
1852,3.776116219711412e-08,0.0
1853,2.7470887120628618e-08,2.9859659189668264e-09
1854,2.182179059673217e-08,1.0391328908454511e-09
1855,2.600399184871094e-08,6.8990182455763716e-09
1856,3.831119954611495e-08,2.0708756931497874e-09
1857,5.076769515888202e-08,6.8341128311999455e-09
1858,3.523446845399292e-08,3.9149408159744326e-09
1859,4.0228168796119235e-08,1.5276520048956854e-09
1860,2.608994814634613e-08,3.204028820036342e-09
1861,3.112536062221949e-08,2.357981809808507e-09
1862,2.981870939056108e-08,1.8071945051545413e-09
1863,3.446288343589288e-08,4.994620828036034e-10
1864,3.548098703731739e-08,9.589455896019672e-10
1865,2.7299697724636474e-08,4.706844247692743e-09
1866,3.3572729041253524e-08,6.3252967308358166e-09
1867,2.426405742994575e-08,2.91168689159349e-09
1868,3.6555068971821925e-08,2.9639244392143382e-09
1869,2.7836058236196948e-08,4.883519144627257e-10
1870,2.4656409802759072e-08,3.4404292748035914e-09
1871,2.9739295692721157e-08,3.18635318130589e-09
1872,1.572308139241585e-08,2.4189357183956872e-09
