year,pourront_VERB assurer_VERB,pourront_VERB rassurer_VERB
1800,2.5153315874604232e-08,3.144164484325529e-09
1801,9.524730337773235e-09,0.0
1802,4.923248297927785e-08,0.0
1803,5.851017448321727e-09,1.950339223455444e-09
1804,2.4718509461507665e-09,7.4155526164076946e-09
1805,8.528632911009026e-09,0.0
1806,2.881669125542885e-09,0.0
1807,5.693910054560547e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,0.0
1810,3.042164919975221e-08,0.0
1811,0.0,0.0
1812,5.3344164641089264e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,8.496028414128887e-08,0.0
1815,1.6183340889597275e-08,5.394447111228828e-09
1816,2.7811246638975717e-08,0.0
1817,6.227493631882908e-09,0.0
1818,2.6226590676969863e-08,0.0
1819,9.315945348475907e-09,0.0
1820,8.306536791735653e-09,0.0
1821,2.6626018723163725e-08,0.0
1822,8.02049271442229e-09,0.0
1823,1.9765373782121287e-09,0.0
1824,2.189489300974401e-08,0.0
1825,2.553578504205234e-08,3.522177216552791e-09
1826,2.025836387531399e-08,8.807984341885344e-10
1827,2.027800150017356e-08,1.8434546111834038e-09
1828,4.861319524707142e-08,1.2841221419535032e-08
1829,1.0287811491593857e-08,4.286587973467704e-09
1830,5.218417697960831e-09,0.0
1831,3.4300654760954785e-08,4.677361609140007e-09
1832,9.470978667991403e-09,2.705993873419743e-09
1833,5.791814139399776e-09,0.0
1834,7.187588835222414e-08,4.667265685043276e-09
1835,2.3445572594482655e-08,7.563087933704082e-10
1836,1.6129799718100912e-08,2.016224964762614e-09
1837,3.270208637218275e-08,1.3915781860163179e-09
1838,6.943378316748294e-09,7.574594285131298e-09
1839,3.425822825420255e-08,1.3982950353153e-09
1840,1.7198159341091923e-08,6.369688665408546e-10
1841,4.044945711711989e-08,0.0
1842,1.8783142152756227e-08,2.0124795163667386e-09
1843,1.594865928211675e-08,1.1813822142769936e-09
1844,9.330554107123135e-09,0.0
1845,6.138250796539069e-09,8.928364714222425e-09
1846,7.025401593807601e-09,1.7563503984519002e-09
1847,2.1572894581822766e-08,1.6179670936367074e-09
1848,8.04522137798358e-09,8.045221711050488e-10
1849,2.76520690789539e-08,8.379414939696517e-10
1850,1.3577992064028876e-08,1.3577992064028876e-09
1851,1.870337307252612e-08,0.0
1852,3.2552727180501506e-09,2.6042181744401205e-09
1853,1.0152284346531815e-08,1.1943863675867306e-09
1854,5.195664343204953e-09,0.0
1855,2.653468555990912e-09,0.0
1856,2.174419400091665e-08,0.0
1857,1.1715622250108026e-08,0.0
1858,2.202154192332273e-08,0.0
1859,7.638259802433822e-09,3.055304009791371e-09
1860,2.1512764902809067e-08,9.154367819341758e-10
1861,2.5937801240161207e-08,2.357981809808507e-09
1862,2.4848924695675123e-08,2.2589932147099034e-09
1863,2.1976331865403154e-08,1.4983863039219614e-09
1864,5.753673537611803e-09,0.0
1865,8.001635798393636e-09,0.0
1866,1.0217787504984699e-08,1.9462451650298362e-09
1867,1.164674756637396e-08,4.85281148598915e-10
1868,1.5807597009143137e-08,1.4819622196071691e-09
1869,1.12320943657096e-08,0.0
1870,1.834895613228582e-08,0.0
1871,1.911811864374613e-08,0.0
1872,1.2094678591978436e-09,1.2094678591978436e-09
1873,4.788803575905831e-09,9.577607151811662e-09
1874,2.2703515512034755e-08,3.5847653734322193e-09
1875,1.602027666081085e-08,0.0
1876,1.934724735974669e-08,0.0
1877,8.040260901509555e-09,2.4739263970730008e-09
1878,6.6429977074733415e-09,0.0
1879,2.443730195977878e-08,0.0
1880,2.2462462112571302e-08,0.0
1881,9.761510710859511e-09,3.4862537301449947e-09
1882,1.4641846846075168e-08,0.0
1883,1.516641390253426e-08,5.0554711528150165e-09
1884,2.0465261485469455e-08,6.601696966868076e-10
1885,1.933690763067375e-09,7.090199094506033e-09
1886,1.2906927970846027e-08,0.0
1887,1.3057849024278312e-08,6.528924623161458e-10
1888,2.3460273723685532e-08,2.53624587998047e-09
1889,2.318100555953606e-08,3.132568426877924e-09
