year,fallut_VERB avoir_VERB
1800,6.60274537267469e-08
1801,1.5477687043130572e-07
1802,1.3874608839614666e-07
1803,1.8723255834629526e-07
1804,1.2359254242255702e-07
1805,1.7625842474444653e-07
1806,1.0950342499427279e-07
1807,1.822051274302794e-07
1808,1.4956088989492855e-07
1809,1.0617443280125372e-07
1810,1.2168659679900884e-07
1811,1.3788921648938413e-07
1812,8.801787032552966e-08
1813,1.0352670187785407e-07
1814,2.171207285073251e-07
1815,1.6453063267363177e-07
1816,6.257530316133852e-08
1817,7.472992535895173e-08
1818,1.4782260393531033e-07
1819,1.552657522552181e-07
1820,1.483310114736014e-07
1821,1.3017164235407108e-07
1822,2.245737960038241e-07
1823,1.5812298670425662e-07
1824,1.7515914407795208e-07
1825,9.069606221601134e-08
1826,1.6118610801640898e-07
1827,1.3641563612054597e-07
1828,1.0548146178734896e-07
1829,2.2033061952697608e-07
1830,1.753388403358258e-07
1831,2.463410453401593e-07
1832,1.6641862998767465e-07
1833,1.2741990929043823e-07
1834,1.3348379468425264e-07
1835,1.520180603620247e-07
1836,1.317267077638462e-07
1837,1.3567887435783632e-07
1838,1.6411621572842705e-07
1839,1.2235081214839738e-07
1840,1.4331799036426673e-07
1841,1.316212490110047e-07
1842,1.5093596061888093e-07
1843,1.222730645622505e-07
1844,1.201994876964818e-07
1845,1.1774280750387334e-07
1846,1.0830827790186959e-07
1847,1.1002175881458243e-07
1848,8.20612626739603e-08
1849,1.131220983552339e-07
1850,1.1880742789571741e-07
1851,8.706741994046752e-08
1852,9.961134850300368e-08
1853,1.003284566536422e-07
1854,1.2469594423691888e-07
1855,8.809515605889828e-08
1856,1.439258596747095e-07
1857,1.039761414745044e-07
1858,1.2136317195654556e-07
1859,1.0846328990510301e-07
1860,1.1671819066805256e-07
1861,9.47908702642053e-08
1862,1.0978706654896087e-07
1863,1.0738434497170601e-07
1864,1.1842978153708827e-07
1865,5.9306238142653456e-08
1866,8.514822269489741e-08
1867,8.443892340892489e-08
1868,1.0373735648272486e-07
1869,7.227608023185894e-08
1870,9.747883211730368e-08
1871,6.160282595146782e-08
1872,5.744972497723211e-08
1873,9.577607329447346e-08
1874,6.034355237716227e-08
1875,1.3960526246137306e-07
1876,8.948101992700686e-08
1877,7.112538469300489e-08
1878,7.669642343444139e-08
1879,6.1704184872724e-08
1880,6.28948910730287e-08
1881,6.83305714233029e-08
1882,6.522277118392594e-08
1883,5.750598575104959e-08
1884,9.308392634466145e-08
1885,5.9299846810745294e-08
1886,7.873225627008651e-08
1887,6.006610675513002e-08
1888,4.9456794215529953e-08
1889,6.703696442400542e-08
1890,5.636772471007134e-08
1891,5.991766727220238e-08
1892,5.767031296954883e-08
1893,4.557228194812524e-08
1894,5.671385494565584e-08
1895,4.1528441130367355e-08
1896,4.599682768002822e-08
1897,4.8944393427063915e-08
1898,5.941272718246182e-08
1899,6.467266899790047e-08
1900,4.4123950715402316e-08
1901,5.3651895370876446e-08
1902,3.928226988136885e-08
1903,3.726151831529023e-08
1904,4.568431322127253e-08
1905,4.902721073563043e-08
1906,4.0639058340730116e-08
1907,4.577130496841164e-08
1908,5.549869541709995e-08
1909,5.611003217609323e-08
1910,4.1684376839157267e-08
1911,5.852411533169288e-08
1912,5.83455168623459e-08
1913,5.090870303092743e-08
1914,5.6252648761301316e-08
1915,5.301343009023185e-08
1916,3.4061130804730055e-08
1917,3.838248474608008e-08
1918,2.986458014220261e-08
1919,2.3940405213807026e-08
1920,4.543338860685253e-08
1921,2.2718241510233383e-08
1922,6.49258353746518e-08
1923,4.0340601970001444e-08
1924,4.2542360745301266e-08
1925,3.739380360912037e-08
1926,5.461607699430715e-08
1927,6.13207333799437e-08
1928,5.3702393643106916e-08
1929,4.9017788938954254e-08
1930,6.19712636762415e-08
1931,5.2464642408267537e-08
1932,3.616647248350091e-08
1933,5.1617981000617874e-08
1934,2.995395220750652e-08
1935,4.787313656606784e-08
1936,1.576212937948185e-08
1937,3.903246792447135e-08
1938,2.852347158466273e-08
1939,2.9058696782158222e-08
1940,3.296517903095264e-08
1941,6.493305448884712e-08
1942,3.034211815133858e-08
1943,6.096794180621146e-08
1944,5.7837350908584995e-08
1945,3.267756198965799e-08
1946,6.12528623378239e-08
1947,4.887557025767819e-08
1948,3.913879709216417e-08
1949,3.7304630495782476e-08
1950,3.828730044119766e-08
1951,5.543929049167673e-08
1952,3.057992969957013e-08
1953,3.124409886368085e-08
1954,1.7590565448699635e-08
1955,3.0972504561077585e-08
1956,2.616342520411763e-08
1957,2.6505112771246786e-08
1958,4.549733745307094e-08
1959,2.9452841943111707e-08
1960,2.4914999841030294e-08
1961,2.91822690456911e-08
1962,2.219684702708946e-08
1963,2.392439668597035e-08
1964,2.7377858202726202e-08
1965,2.3529786119524942e-08
1966,3.821961414018915e-08
1967,4.3879985867079085e-08
1968,3.9973599541553995e-08
1969,3.0429777808649305e-08
1970,3.219107469476512e-08
1971,2.8261185391897925e-08
1972,3.5911028817281476e-08
1973,2.1501493918663073e-08
1974,2.5877628928583363e-08
1975,2.8557401776652114e-08
1976,2.171140245366132e-08
1977,2.1744092748576804e-08
1978,2.970295653881294e-08
1979,2.5163485517509798e-08
1980,2.2740602290127754e-08
1981,2.4669642328944974e-08
1982,1.8001756529884005e-08
1983,3.031351525351056e-08
1984,1.739702604197646e-08
1985,1.7445119127046382e-08
1986,1.3187867686781374e-08
1987,1.2221633483022742e-08
1988,1.5591039570495013e-08
1989,1.1525056464734007e-08
1990,1.6345952147389653e-08
1991,2.1687421636329418e-08
1992,1.3774860363469088e-08
1993,2.1048988330107932e-08
1994,1.2132331583813993e-08
1995,1.9520822291951845e-08
1996,1.7081895009596337e-08
1997,1.5343662340683295e-08
1998,2.193339376788117e-08
1999,1.8737825513426287e-08
2000,1.3254094710646314e-08
2001,1.3143635513301888e-08
2002,1.445803121669087e-08
2003,1.0417307017007715e-08
2004,1.2333415178034102e-08
2005,1.6663873836364473e-08
2006,1.4824403926638752e-08
2007,1.1583990655594789e-08
2008,1.0217855006544596e-08
2009,1.0966842545201416e-08
2010,1.4643758206034363e-08
2011,7.647943611743813e-09
2012,1.6680838044180746e-08
2013,1.5061274893923837e-08
2014,1.515811653973742e-08
2015,2.1722438958704515e-08
2016,3.06558334273177e-08
2017,1.3081178806828575e-08
2018,1.6005094138904497e-08
2019,1.632632162795744e-08
