year,devait_VERB assembler_VERB,devait_VERB rassembler_VERB
1800,0.0,6.288328968651058e-09
1801,4.7623651688866175e-09,9.524730337773235e-09
1802,0.0,6.713520406265161e-09
1803,3.900678446910888e-09,3.900678446910888e-09
1804,2.4718509461507665e-09,5.6852570651244605e-08
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,8.540865792383556e-09,7.971474502710407e-08
1808,0.0,2.2660739951163578e-09
1809,1.129515236897305e-08,4.518061036407062e-09
1810,4.680253518074551e-09,1.1700633351097167e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,4.800974906515876e-08
1813,0.0,4.888760685162197e-08
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,3.9399267848239106e-08
1817,2.6466848268569265e-08,0.0
1818,1.4305412854298538e-08,1.0729059418679299e-08
1819,7.24573512300708e-09,1.7596784473994376e-08
1820,8.306536791735653e-09,2.610625848831205e-08
1821,1.676452932031225e-08,9.861488514673056e-09
1822,2.3058916553964082e-08,2.7069162911175226e-08
1823,1.7788837070042973e-08,9.882686669016039e-09
1824,1.7684335773537896e-08,3.789500624407083e-08
1825,9.68598712347557e-09,2.201360693732113e-08
1826,9.688783109140786e-09,4.051672775062798e-08
1827,1.1982455028203276e-08,2.1199728195142598e-08
1828,5.503380862137419e-09,2.8434133270138773e-08
1829,2.8291481157793896e-08,4.2865881511033876e-08
1830,1.0436835840010872e-09,9.39315203396518e-09
1831,0.0,6.236482441579483e-09
1832,8.117981842303834e-09,2.570694235259907e-08
1833,0.0,1.7375443306377747e-08
1834,4.667265685043276e-09,2.14694217959277e-08
1835,1.5882484660778573e-08,1.739510224751939e-08
1836,2.419469957715137e-08,8.064899859050456e-09
1837,9.045257876039159e-09,1.3915782304252389e-08
1838,6.943378316748294e-09,3.029837714052519e-08
1839,2.6567605004856887e-08,3.216078425793967e-08
1840,2.293087852933695e-08,2.4841785517537573e-08
1841,2.953452238330101e-08,1.6051371787284552e-08
1842,3.3541325272778977e-09,1.8112315203211438e-08
1843,1.6539351221922516e-08,1.1813821920725331e-08
1844,2.9638231424655714e-08,2.195424464446205e-08
1845,8.928364714222425e-09,2.0088821273134272e-08
1846,8.196302303531411e-09,2.0490753982471688e-08
1847,1.0786447290911383e-08,5.9325460100012606e-09
1848,1.045878850192139e-08,1.448139919091318e-08
1849,1.6758829879393033e-09,4.608678239037545e-08
1850,1.2899092460827433e-08,4.2091777174846357e-08
1851,2.3217978650791338e-08,1.870337307252612e-08
1852,4.557382027314816e-09,2.018269107395554e-08
1853,1.0749477752369785e-08,1.1346670270029335e-08
1854,1.1950028522278444e-08,2.8576154775805662e-08
1855,6.368324534378189e-09,1.6451505047143655e-08
1856,7.248064815001953e-09,1.0872097000458325e-08
1857,1.0739319655783675e-08,4.881508974818871e-09
1858,7.829881631948865e-09,2.5447114637699997e-08
1859,1.476730293603623e-08,2.2405561850291633e-08
1860,4.57718396518203e-09,4.119465657481669e-08
1861,8.017138064531082e-09,8.488735048217677e-09
1862,2.2138133104476765e-08,2.5752521892741242e-08
1863,2.097740825490746e-08,2.7969877081091e-08
1864,8.63051052846231e-09,1.342523781033833e-08
1865,5.6482134525026595e-09,2.023943146411966e-08
1866,9.731225825149181e-10,1.4596838404656864e-08
1867,9.7056229719783e-10,1.6014277903764196e-08
1868,6.421836395986702e-09,9.385760613156435e-09
1869,1.5138908793232986e-08,1.5138908793232986e-08
1870,6.307453670473251e-09,6.307453670473251e-09
1871,1.0621177271019633e-09,1.0621177271019633e-09
1872,7.861540751719076e-09,1.269941218851045e-08
1873,1.0774807712721213e-08,5.986004469882289e-10
1874,7.169530746864439e-09,1.4339061493728877e-08
1875,2.8607636259891933e-09,5.721527140956084e-10
1876,3.02300739996042e-09,7.255217759905008e-09
1877,8.040260901509555e-09,1.2988113695655557e-08
1878,7.850815109122777e-09,1.1474268646338714e-08
1879,4.27652757650776e-09,2.1382637882538802e-08
1880,8.343199908722454e-09,3.2089231272180996e-09
1881,0.0,3.4862537301449947e-09
1882,1.7304001787010748e-08,9.983077475794744e-09
1883,1.1374810426900694e-08,1.2638677882037541e-09
1884,6.601696966868076e-10,1.7164412113856997e-08
1885,1.933690763067375e-09,1.160214413431504e-08
1886,1.936039106809062e-09,1.5488312854472497e-08
1887,2.6115698492645834e-09,8.48760173255414e-09
1888,6.974675947901687e-09,3.1703073499755874e-09
1889,3.132568426877924e-09,1.6915869593958632e-08
1890,7.865263995654459e-09,1.2453334363726754e-08
1891,3.824531802365527e-09,8.286486163910922e-09
1892,7.522214851007902e-09,4.387958441043338e-09
1893,6.158416554491453e-10,1.4164357686752282e-08
1894,1.2603078580752936e-09,1.8904617871129403e-09
1895,4.213029924926559e-09,1.1435367319734269e-08
1896,1.7691086373616827e-09,7.076434549446731e-09
1897,2.330685422435863e-09,7.574727511894253e-09
1898,5.6583546736987955e-09,5.6583546736987955e-09
1899,3.8693048765026106e-09,4.9748205555033564e-09
1900,2.595526460424935e-09,1.557315876254961e-08
1901,2.235495566438317e-09,6.706486921359556e-09
1902,3.437198747846537e-09,6.38336894454028e-09
1903,2.7001101354784396e-09,1.674068350610014e-08
1904,2.1498500757388683e-09,9.13686282189019e-09
1905,5.160759042333041e-10,5.676835002077496e-09
1906,1.5432553013283723e-09,7.201858220895474e-09
1907,1.5428529565042481e-09,1.542852956504248e-08
1908,1.4734167219643268e-09,9.822778146428846e-09
1909,6.60118004702781e-09,1.870334465081669e-08
1910,1.068830135508847e-09,1.068830179917768e-08
1911,2.6601871816467337e-09,1.649316061502759e-08
1912,5.209421227725386e-10,1.3544495303108306e-08
1913,2.121195885607108e-09,1.6969567084856862e-08
1914,4.018046340092951e-09,8.036092680185902e-09
1915,0.0,2.0027295377644805e-08
1916,2.197492410260793e-09,1.7579939282086343e-08
1917,3.289927441585405e-09,2.4126133979507358e-08
1918,0.0,1.722956355365568e-08
1919,0.0,1.012863304339362e-08
1920,7.572231730534895e-09,9.086678076641874e-09
1921,7.572747429129834e-10,1.438822039290244e-08
