year,doivent_VERB acheter_VERB,doivent_VERB racheter_VERB
1800,3.144164484325529e-09,0.0
1801,4.524246932646747e-08,0.0
1802,2.2378401354217203e-09,4.475680270843441e-09
1803,1.1702034896643454e-08,0.0
1804,2.4718509461507665e-09,2.2246657849223084e-08
1805,1.7057265822018053e-08,0.0
1806,0.0,2.881669125542885e-09
1807,3.131650672116848e-08,0.0
1808,2.2660739062985158e-08,2.2660739951163578e-09
1809,4.518061036407062e-09,0.0
1810,1.4040760554223652e-08,0.0
1811,3.259199843341776e-08,0.0
1812,1.600324850414836e-08,1.600324850414836e-08
1813,3.738464116054274e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,2.697223555614414e-09,5.394447111228828e-09
1816,1.8540831092650478e-08,1.1588019432906549e-08
1817,1.8682481339737933e-08,3.113746815941454e-09
1818,7.152706427149269e-09,2.384235475716423e-09
1819,6.210630232317271e-09,9.315945348475907e-09
1820,1.542642635854463e-08,5.933240565525466e-09
1821,1.577838126820552e-08,0.0
1822,1.804610860745015e-08,0.0
1823,9.882686669016039e-09,8.894418535021487e-09
1824,3.9579230559638745e-08,4.210556348027694e-09
1825,4.4027217427355936e-09,1.4088708866211164e-08
1826,1.76159691278599e-08,1.2331177856594877e-08
1827,1.1982455028203276e-08,1.1060727445055818e-08
1828,1.0089530988466322e-08,3.668920500743411e-09
1829,4.4580517055692326e-08,6.858540846366168e-09
1830,2.0873671680021744e-09,4.174734336004349e-09
1831,3.1182412207897414e-09,4.677361786775691e-08
1832,1.488296597074168e-08,4.058990921151917e-09
1833,6.950177322551099e-09,8.108539617524002e-09
1834,7.467624740797874e-09,7.467624740797874e-09
1835,2.949604294144592e-08,6.806779140333674e-09
1836,1.1425274948351216e-08,1.008112526790228e-08
1837,2.7135774516295896e-08,1.0436836284100082e-08
1838,9.468243078458727e-09,8.2058102535143e-09
1839,6.9914749545318955e-09,5.5931801412612e-09
1840,2.356784811752277e-08,7.64362617644565e-09
1841,3.274479709602929e-08,5.778493683550323e-09
1842,2.3478927246856074e-08,2.0124795163667386e-09
1843,2.3036953678001737e-08,1.4767278067040479e-08
1844,2.305195678786731e-08,0.0
1845,1.1718478631905782e-08,4.464182357111213e-09
1846,2.2247105491146613e-08,8.196302303531411e-09
1847,1.6718992412734224e-08,2.6966118227278457e-09
1848,2.976732105253177e-08,1.6090443422100975e-09
1849,2.9327951622803994e-08,1.256912263158938e-08
1850,1.968808760466345e-08,1.5614691761811628e-08
1851,1.9348316726564008e-08,3.2247193804124663e-09
1852,3.6459056218518526e-08,2.6042181744401205e-09
1853,2.6873692604567623e-08,3.5831591027601917e-09
1854,2.8056588163849483e-08,2.0782657816909023e-09
1855,1.0083180512765466e-08,7.429711956774554e-09
1856,2.485050742961903e-08,3.1063134287023786e-09
1857,1.0251168802710708e-08,1.4156376515472857e-08
1858,2.104280660830682e-08,9.787352039936081e-10
1859,2.3933214521321133e-08,8.147477359443656e-09
1860,1.1900677776566226e-08,4.119465657481669e-09
1861,1.4147890858851042e-08,5.187560159214399e-09
1862,1.445755604123633e-08,1.7620147119146168e-08
1863,1.5982786649715308e-08,4.994620717013731e-09
1864,1.821996598039277e-08,3.3563094525845827e-09
