year,voudraient_VERB acheter_VERB,voudraient_VERB racheter_VERB
1800,6.288328968651058e-09,0.0
1801,1.6668277424969347e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,5.851017448321727e-09
1804,4.2021465418429216e-08,2.4718509461507665e-09
1805,1.421438877713399e-08,0.0
1806,8.645007376628655e-09,0.0
1807,0.0,8.540865792383556e-09
1808,2.2660739062985158e-08,0.0
1809,6.7770917766551975e-09,2.259030518203531e-09
1810,4.680253518074551e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,6.293354282149721e-09,0.0
1815,1.6183340889597275e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,1.556873407970727e-09
1818,0.0,0.0
1819,2.070210003424222e-09,0.0
1820,3.085285271708926e-08,1.1866481131050932e-09
1821,1.3806083387635226e-08,0.0
1822,2.0051231786055723e-09,0.0
1823,2.9648061783404955e-09,0.0
1824,1.0105335235266466e-08,0.0
1825,4.4027217427355936e-09,0.0
1826,7.0463874735082754e-09,0.0
1827,2.5808365222701468e-08,0.0
1828,1.834460228167245e-08,0.0
1829,8.57317605795771e-10,8.57317605795771e-10
1830,5.218417697960831e-09,0.0
1831,1.5591206548037917e-08,1.5591206103948707e-09
1832,1.352996914505411e-08,1.3529969367098715e-09
1833,8.108539617524002e-09,0.0
1834,9.334530925997342e-10,0.0
1835,9.832014313815307e-09,3.025235173481633e-09
1836,9.409050427677812e-09,6.720750067579218e-10
1837,4.87052354003481e-09,3.478945576063097e-09
1838,2.5248647617104325e-09,1.2624323808552163e-09
1839,6.9914749545318955e-09,1.3982950353153e-09
1840,1.6561189752906103e-08,8.917564464638872e-09
1841,1.3483152372373297e-08,2.5682194149112547e-09
1842,8.049918065466954e-09,4.024959032733477e-09
1843,1.7720733769266417e-09,2.953455480181333e-09
1844,7.683985892015244e-09,1.6465684371524958e-09
1845,7.254296274794569e-09,1.0602432709561072e-08
1846,5.854501328173001e-09,1.7563503984519002e-09
1847,2.588747349818732e-08,4.853901280910122e-09
1848,1.528592186161859e-08,0.0
1849,3.3517659758786067e-09,8.379414939696517e-10
1850,5.431196825611551e-09,0.0
1851,1.3543821175687754e-08,0.0
1852,1.9531636308300904e-09,3.906327261660181e-09
1853,2.388772735173461e-09,5.971931837933653e-10
1854,7.79349651480743e-09,1.558699391779328e-09
1855,2.653468555990912e-09,1.0613874223963649e-09
1856,1.5531567143511893e-09,8.28350277259915e-09
1857,3.4170564155999728e-09,0.0
1858,4.893676019968041e-10,4.893676019968041e-10
1859,9.165912473463322e-09,5.092173349652285e-10
1860,1.1900677776566226e-08,9.154367819341758e-10
